mos_into_deployment,pdf_resolution,statistic,plottype,value
0,87,mean,meas,0.2248956064978802
0,87,mean,ref,0.34790825688073396
0,87,sd,meas,0.17304386198163693
0,87,sd,ref,0.15724696242066183
0,87,kurtosis,meas,448.8465253873541
0,87,kurtosis,ref,4.134233916833726
0,87,skewness,meas,18.83249421275838
0,87,skewness,ref,1.0987725404750315
0,87,KL,NA,0.8792185620802702
0,87,hellinger,NA,0.3823198671019228
0,87,euclidean,NA,0.2709389448693559
1,54,mean,meas,0.2786178899605589
1,54,mean,ref,0.6377401960784314
1,54,sd,meas,0.13176663167426675
1,54,sd,ref,0.26886980431301677
1,54,kurtosis,meas,5.338391141707155
1,54,kurtosis,ref,9.268303656089687
1,54,skewness,meas,1.6384890604240334
1,54,skewness,ref,1.3077392414310867
1,54,KL,NA,3.4516661116967615
1,54,hellinger,NA,0.6222871127159175
1,54,euclidean,NA,0.3894948628512782
2,26,mean,meas,0.2513304501434085
2,26,mean,ref,0.5166905109489051
2,26,sd,meas,0.0804881690367158
2,26,sd,ref,0.2011590769812079
2,26,kurtosis,meas,10.043271329760376
2,26,kurtosis,ref,2.5662461766683107
2,26,skewness,meas,1.724967985085344
2,26,skewness,ref,0.2527344111586075
2,26,KL,NA,3.2774079524681126
2,26,hellinger,NA,0.6062907676564255
2,26,euclidean,NA,0.38753475689304345
3,21,mean,meas,0.24087084904364883
3,21,mean,ref,0.3862763157894737
3,21,sd,meas,0.08669740275219813
3,21,sd,ref,0.15786137423188065
3,21,kurtosis,meas,7.307307483004979
3,21,kurtosis,ref,4.674045321207382
3,21,skewness,meas,1.6810434265454621
3,21,skewness,ref,1.0745723061532257
3,21,KL,NA,1.2148325806249105
3,21,hellinger,NA,0.4356174040628594
3,21,euclidean,NA,0.3231360820505268
4,29,mean,meas,0.25425301495822206
4,29,mean,ref,0.43542285714285717
4,29,sd,meas,0.1137386200374986
4,29,sd,ref,0.19358972750521825
4,29,kurtosis,meas,8.233474423933492
4,29,kurtosis,ref,5.415074821924226
4,29,skewness,meas,2.0675327830236676
4,29,skewness,ref,1.294932882068928
4,29,KL,NA,1.117714661400129
4,29,hellinger,NA,0.4688615599819304
4,29,euclidean,NA,0.351746694314888
5,31,mean,meas,0.24928907386989
5,31,mean,ref,0.4565918674698795
5,31,sd,meas,0.13949948642716
5,31,sd,ref,0.20789976264130564
5,31,kurtosis,meas,16.538254552102632
5,31,kurtosis,ref,6.466190132765398
5,31,skewness,meas,2.7824734398218762
5,31,skewness,ref,1.316711402586224
5,31,KL,NA,1.2183599942923282
5,31,hellinger,NA,0.4832607641154895
5,31,euclidean,NA,0.3501609726400747
6,36,mean,meas,0.25288308287001965
6,36,mean,ref,0.5175183016105417
6,36,sd,meas,0.19202544823234335
6,36,sd,ref,0.3000747182642896
6,36,kurtosis,meas,14.991462781195914
6,36,kurtosis,ref,5.973638640595606
6,36,skewness,meas,3.162259812345879
6,36,skewness,ref,1.5848942153504768
6,36,KL,NA,1.4444703761063464
6,36,hellinger,NA,0.520005212327121
6,36,euclidean,NA,0.3962619084564046
7,28,mean,meas,0.2141294514624818
7,28,mean,ref,0.438748959778086
7,28,sd,meas,0.12288908947181117
7,28,sd,ref,0.20908177414630486
7,28,kurtosis,meas,10.283866541468614
7,28,kurtosis,ref,6.1177923566126475
7,28,skewness,meas,2.3855503931582964
7,28,skewness,ref,1.4850142245022042
7,28,KL,NA,1.2587686752495655
7,28,hellinger,NA,0.5707263759443538
7,28,euclidean,NA,0.4242247398901544
8,30,mean,meas,0.22241642068626832
8,30,mean,ref,0.41112745098039216
8,30,sd,meas,0.1565733546047136
8,30,sd,ref,0.19640905093774977
8,30,kurtosis,meas,24.185305385752763
8,30,kurtosis,ref,7.098556256430866
8,30,skewness,meas,3.9109584679767533
8,30,skewness,ref,1.7040554865849042
8,30,KL,NA,2.404686775364297
8,30,hellinger,NA,0.6289813687785949
8,30,euclidean,NA,0.4714821668385221
