mos_into_deployment,pdf_resolution,statistic,plottype,value
0,25,mean,meas,0.1991162061030559
0,25,mean,ref,0.1991162061030559
0,25,sd,meas,0.07385550588213571
0,25,sd,ref,0.07385550588213571
0,25,kurtosis,meas,61.829127336025
0,25,kurtosis,ref,61.829127336025
0,25,skewness,meas,4.316857267179644
0,25,skewness,ref,4.316857267179644
0,25,KL,NA,0
0,25,hellinger,NA,0
0,25,euclidean,NA,0
1,11,mean,meas,0.20145724969200499
1,11,mean,ref,0.20145724969200499
1,11,sd,meas,0.06784186704072812
1,11,sd,ref,0.06784186704072812
1,11,kurtosis,meas,5.793625928758704
1,11,kurtosis,ref,5.793625928758704
1,11,skewness,meas,1.2695455739794355
1,11,skewness,ref,1.2695455739794355
1,11,KL,NA,0
1,11,hellinger,NA,0
1,11,euclidean,NA,0
2,23,mean,meas,0.24819394346414045
2,23,mean,ref,0.24819394346414045
2,23,sd,meas,0.14051592346236677
2,23,sd,ref,0.14051592346236677
2,23,kurtosis,meas,12.203888410438582
2,23,kurtosis,ref,12.203888410438582
2,23,skewness,meas,2.5604434095909494
2,23,skewness,ref,2.5604434095909494
2,23,KL,NA,0
2,23,hellinger,NA,0
2,23,euclidean,NA,0
3,26,mean,meas,0.2739881992953344
3,26,mean,ref,0.2739881992953344
3,26,sd,meas,0.15242814380214517
3,26,sd,ref,0.15242814380214517
3,26,kurtosis,meas,12.933662733962409
3,26,kurtosis,ref,12.933662733962409
3,26,skewness,meas,2.6143553776885224
3,26,skewness,ref,2.6143553776885224
3,26,KL,NA,0
3,26,hellinger,NA,0
3,26,euclidean,NA,0
4,30,mean,meas,0.25252517266789787
4,30,mean,ref,0.25252517266789787
4,30,sd,meas,0.17364321862557047
4,30,sd,ref,0.17364321862557047
4,30,kurtosis,meas,17.486718525924186
4,30,kurtosis,ref,17.486718525924186
4,30,skewness,meas,3.349079849967774
4,30,skewness,ref,3.349079849967774
4,30,KL,NA,0
4,30,hellinger,NA,0
4,30,euclidean,NA,0
5,21,mean,meas,0.28749101972450225
5,21,mean,ref,0.28749101972450225
5,21,sd,meas,0.14445564933554708
5,21,sd,ref,0.14445564933554708
5,21,kurtosis,meas,11.206270099577175
5,21,kurtosis,ref,11.206270099577175
5,21,skewness,meas,2.4148281556584172
5,21,skewness,ref,2.4148281556584172
5,21,KL,NA,0
5,21,hellinger,NA,0
5,21,euclidean,NA,0
6,28,mean,meas,0.2757157052387273
6,28,mean,ref,0.2757157052387273
6,28,sd,meas,0.14317103597591035
6,28,sd,ref,0.14317103597591035
6,28,kurtosis,meas,18.520253852293774
6,28,kurtosis,ref,18.520253852293774
6,28,skewness,meas,3.3176018013948996
6,28,skewness,ref,3.3176018013948996
6,28,KL,NA,0
6,28,hellinger,NA,0
6,28,euclidean,NA,0
7,25,mean,meas,0.23032523979495087
7,25,mean,ref,0.23032523979495087
7,25,sd,meas,0.10365445324826775
7,25,sd,ref,0.10365445324826775
7,25,kurtosis,meas,22.882793807486344
7,25,kurtosis,ref,22.882793807486344
7,25,skewness,meas,3.2512936935907932
7,25,skewness,ref,3.2512936935907932
7,25,KL,NA,0
7,25,hellinger,NA,0
7,25,euclidean,NA,0
8,14,mean,meas,0.20700160907495563
8,14,mean,ref,0.20700160907495563
8,14,sd,meas,0.07438437038170247
8,14,sd,ref,0.07438437038170247
8,14,kurtosis,meas,9.298611469347602
8,14,kurtosis,ref,9.298611469347602
8,14,skewness,meas,1.7968399608890386
8,14,skewness,ref,1.7968399608890386
8,14,KL,NA,0
8,14,hellinger,NA,0
8,14,euclidean,NA,0
9,13,mean,meas,0.2034734657867726
9,13,mean,ref,0.2034734657867726
9,13,sd,meas,0.0749515666756759
9,13,sd,ref,0.0749515666756759
9,13,kurtosis,meas,4.837114368074308
9,13,kurtosis,ref,4.837114368074308
9,13,skewness,meas,0.986892768558442
9,13,skewness,ref,0.986892768558442
9,13,KL,NA,0
9,13,hellinger,NA,0
9,13,euclidean,NA,0
10,12,mean,meas,0.22770226232179996
10,12,mean,ref,0.22770226232179996
10,12,sd,meas,0.07900367263661053
10,12,sd,ref,0.07900367263661053
10,12,kurtosis,meas,8.088133496315502
10,12,kurtosis,ref,8.088133496315502
10,12,skewness,meas,1.7306818575679204
10,12,skewness,ref,1.7306818575679204
10,12,KL,NA,0
10,12,hellinger,NA,0
10,12,euclidean,NA,0
11,14,mean,meas,0.279561287371043
11,14,mean,ref,0.279561287371043
11,14,sd,meas,0.12934125631005908
11,14,sd,ref,0.12934125631005908
11,14,kurtosis,meas,6.152018314625076
11,14,kurtosis,ref,6.152018314625076
11,14,skewness,meas,1.8171332637218172
11,14,skewness,ref,1.8171332637218172
11,14,KL,NA,0
11,14,hellinger,NA,0
11,14,euclidean,NA,0
12,25,mean,meas,0.2449597302150696
12,25,mean,ref,0.1991162061030559
12,25,sd,meas,0.07020879011354643
12,25,sd,ref,0.07385550588213571
12,25,kurtosis,meas,3.673708941724412
12,25,kurtosis,ref,61.829127336025
12,25,skewness,meas,0.7642963523788171
12,25,skewness,ref,4.316857267179644
12,25,KL,NA,0.7274512860483953
12,25,hellinger,NA,0.28790891009143077
12,25,euclidean,NA,0.19723544013514144
13,11,mean,meas,0.2412624605895563
13,11,mean,ref,0.20145724969200499
13,11,sd,meas,0.07031471794737444
13,11,sd,ref,0.06784186704072812
13,11,kurtosis,meas,5.315310865796589
13,11,kurtosis,ref,5.793625928758704
13,11,skewness,meas,1.2369331134474086
13,11,skewness,ref,1.2695455739794355
13,11,KL,NA,0.4114147994622273
13,11,hellinger,NA,0.25055590646807463
13,11,euclidean,NA,0.23355404308088207
14,23,mean,meas,0.2927538144749253
14,23,mean,ref,0.24819394346414045
14,23,sd,meas,0.11531251210142623
14,23,sd,ref,0.14051592346236677
14,23,kurtosis,meas,6.6411594365595725
14,23,kurtosis,ref,12.203888410438582
14,23,skewness,meas,1.704596436789661
14,23,skewness,ref,2.5604434095909494
14,23,KL,NA,0.5675344861983229
14,23,hellinger,NA,0.3010889805155487
14,23,euclidean,NA,0.2413698512939602
15,27,mean,meas,0.30422338248480396
15,27,mean,ref,0.2739881992953344
15,27,sd,meas,0.16303724139171105
15,27,sd,ref,0.15242814380214517
15,27,kurtosis,meas,13.835279126479776
15,27,kurtosis,ref,12.933662733962409
15,27,skewness,meas,2.826176840067496
15,27,skewness,ref,2.6143553776885224
15,27,KL,NA,0.3040526520877178
15,27,hellinger,NA,0.22998031410416897
15,27,euclidean,NA,0.16182706390637
16,31,mean,meas,0.32429391496984067
16,31,mean,ref,0.25252517266789787
16,31,sd,meas,0.19787688961029487
16,31,sd,ref,0.17364321862557047
16,31,kurtosis,meas,14.184670357138392
16,31,kurtosis,ref,17.486718525924186
16,31,skewness,meas,3.0227567899499146
16,31,skewness,ref,3.349079849967774
16,31,KL,NA,0.4756240647418036
16,31,hellinger,NA,0.31409347180081
16,31,euclidean,NA,0.30236337594211227
17,106,mean,meas,0.28843735367364626
17,106,mean,ref,0.28749101972450225
17,106,sd,meas,0.27480926283918466
17,106,sd,ref,0.14445564933554708
17,106,kurtosis,meas,222.44619568926385
17,106,kurtosis,ref,11.206270099577175
17,106,skewness,meas,13.200015170580574
17,106,skewness,ref,2.4148281556584172
17,106,KL,NA,0.17177527254100178
17,106,hellinger,NA,0.15814885416586072
17,106,euclidean,NA,0.10621965242105691
18,28,mean,meas,0.27478950005869335
18,28,mean,ref,0.2757157052387273
18,28,sd,meas,0.11508947030431278
18,28,sd,ref,0.14317103597591035
18,28,kurtosis,meas,10.079798037282325
18,28,kurtosis,ref,18.520253852293774
18,28,skewness,meas,2.2272327332118196
18,28,skewness,ref,3.3176018013948996
18,28,KL,NA,0.07254949947670343
18,28,hellinger,NA,0.0931922932361796
18,28,euclidean,NA,0.04722492016382463
19,25,mean,meas,0.21146384307355487
19,25,mean,ref,0.23032523979495087
19,25,sd,meas,0.07004193611579276
19,25,sd,ref,0.10365445324826775
19,25,kurtosis,meas,12.022027323624116
19,25,kurtosis,ref,22.882793807486344
19,25,skewness,meas,2.3053672860413132
19,25,skewness,ref,3.2512936935907932
19,25,KL,NA,0.11463959676677749
19,25,hellinger,NA,0.1345588334005431
19,25,euclidean,NA,0.12707437461186616
20,21,mean,meas,0.21631687444265763
20,21,mean,ref,0.20700160907495563
