mos_into_deployment,pdf_resolution,statistic,plottype,value
0,24,mean,meas,0.2209733103429789
0,24,mean,ref,0.2209733103429789
0,24,sd,meas,0.07355293353417322
0,24,sd,ref,0.07355293353417322
0,24,kurtosis,meas,108.58190101677889
0,24,kurtosis,ref,108.58190101677889
0,24,skewness,meas,7.67669954047207
0,24,skewness,ref,7.67669954047207
0,24,KL,NA,0
0,24,hellinger,NA,0
0,24,euclidean,NA,0
1,11,mean,meas,0.2173374425198196
1,11,mean,ref,0.2173374425198196
1,11,sd,meas,0.06882688163635516
1,11,sd,ref,0.06882688163635516
1,11,kurtosis,meas,5.697427985654317
1,11,kurtosis,ref,5.697427985654317
1,11,skewness,meas,1.2888021476870233
1,11,skewness,ref,1.2888021476870233
1,11,KL,NA,0
1,11,hellinger,NA,0
1,11,euclidean,NA,0
2,23,mean,meas,0.25782519451906555
2,23,mean,ref,0.25782519451906555
2,23,sd,meas,0.14413488411991798
2,23,sd,ref,0.14413488411991798
2,23,kurtosis,meas,11.573566588112964
2,23,kurtosis,ref,11.573566588112964
2,23,skewness,meas,2.492851331909459
2,23,skewness,ref,2.492851331909459
2,23,KL,NA,0
2,23,hellinger,NA,0
2,23,euclidean,NA,0
3,26,mean,meas,0.2767054622623606
3,26,mean,ref,0.2767054622623606
3,26,sd,meas,0.15258937847828696
3,26,sd,ref,0.15258937847828696
3,26,kurtosis,meas,12.92303221181431
3,26,kurtosis,ref,12.92303221181431
3,26,skewness,meas,2.6185587433403343
3,26,skewness,ref,2.6185587433403343
3,26,KL,NA,0
3,26,hellinger,NA,0
3,26,euclidean,NA,0
4,30,mean,meas,0.2539716266256125
4,30,mean,ref,0.2539716266256125
4,30,sd,meas,0.1743270333572942
4,30,sd,ref,0.1743270333572942
4,30,kurtosis,meas,17.342652945265627
4,30,kurtosis,ref,17.342652945265627
4,30,skewness,meas,3.335976403354976
4,30,skewness,ref,3.335976403354976
4,30,KL,NA,0
4,30,hellinger,NA,0
4,30,euclidean,NA,0
5,21,mean,meas,0.28943883368261064
5,21,mean,ref,0.28943883368261064
5,21,sd,meas,0.14474327664990355
5,21,sd,ref,0.14474327664990355
5,21,kurtosis,meas,11.158920469780027
5,21,kurtosis,ref,11.158920469780027
5,21,skewness,meas,2.4106842175650125
5,21,skewness,ref,2.4106842175650125
5,21,KL,NA,0
5,21,hellinger,NA,0
5,21,euclidean,NA,0
6,28,mean,meas,0.2757157052387273
6,28,mean,ref,0.2757157052387273
6,28,sd,meas,0.14317103597591035
6,28,sd,ref,0.14317103597591035
6,28,kurtosis,meas,18.520253852293774
6,28,kurtosis,ref,18.520253852293774
6,28,skewness,meas,3.3176018013948996
6,28,skewness,ref,3.3176018013948996
6,28,KL,NA,0
6,28,hellinger,NA,0
6,28,euclidean,NA,0
7,25,mean,meas,0.23032523979495087
7,25,mean,ref,0.23032523979495087
7,25,sd,meas,0.10365445324826775
7,25,sd,ref,0.10365445324826775
7,25,kurtosis,meas,22.882793807486344
7,25,kurtosis,ref,22.882793807486344
7,25,skewness,meas,3.2512936935907932
7,25,skewness,ref,3.2512936935907932
7,25,KL,NA,0
7,25,hellinger,NA,0
7,25,euclidean,NA,0
8,14,mean,meas,0.20973431456087205
8,14,mean,ref,0.20973431456087205
8,14,sd,meas,0.07397914952643074
8,14,sd,ref,0.07397914952643074
8,14,kurtosis,meas,9.732428284385605
8,14,kurtosis,ref,9.732428284385605
8,14,skewness,meas,1.9081023547595208
8,14,skewness,ref,1.9081023547595208
8,14,KL,NA,0
8,14,hellinger,NA,0
8,14,euclidean,NA,0
9,13,mean,meas,0.21742985064690012
9,13,mean,ref,0.21742985064690012
9,13,sd,meas,0.0759118810895885
9,13,sd,ref,0.0759118810895885
9,13,kurtosis,meas,4.780980622943995
9,13,kurtosis,ref,4.780980622943995
9,13,skewness,meas,0.8655232120486802
9,13,skewness,ref,0.8655232120486802
9,13,KL,NA,0
9,13,hellinger,NA,0
9,13,euclidean,NA,0
10,12,mean,meas,0.23961797436863658
10,12,mean,ref,0.23961797436863658
10,12,sd,meas,0.08470996399519173
10,12,sd,ref,0.08470996399519173
10,12,kurtosis,meas,7.225664609742416
10,12,kurtosis,ref,7.225664609742416
10,12,skewness,meas,1.62036153935132
10,12,skewness,ref,1.62036153935132
10,12,KL,NA,0
10,12,hellinger,NA,0
10,12,euclidean,NA,0
11,14,mean,meas,0.3027978145104517
11,14,mean,ref,0.3027978145104517
11,14,sd,meas,0.14365459198674735
11,14,sd,ref,0.14365459198674735
11,14,kurtosis,meas,5.30688438479831
11,14,kurtosis,ref,5.30688438479831
11,14,skewness,meas,1.732565640267417
11,14,skewness,ref,1.732565640267417
11,14,KL,NA,0
11,14,hellinger,NA,0
11,14,euclidean,NA,0
12,24,mean,meas,0.2638117490134195
12,24,mean,ref,0.2209733103429789
12,24,sd,meas,0.064288327493881
12,24,sd,ref,0.07355293353417322
12,24,kurtosis,meas,4.390240513474095
12,24,kurtosis,ref,108.58190101677889
12,24,skewness,meas,0.9513788619306663
12,24,skewness,ref,7.67669954047207
12,24,KL,NA,0.3715083460032614
12,24,hellinger,NA,0.2985436350264889
12,24,euclidean,NA,0.2606242807929071
13,11,mean,meas,0.24681947074228283
13,11,mean,ref,0.2173374425198196
13,11,sd,meas,0.06494604044365332
13,11,sd,ref,0.06882688163635516
13,11,kurtosis,meas,6.727765408488986
13,11,kurtosis,ref,5.697427985654317
13,11,skewness,meas,1.4993879652662434
13,11,skewness,ref,1.2888021476870233
13,11,KL,NA,0.3538931371565937
13,11,hellinger,NA,0.24001142848977042
13,11,euclidean,NA,0.21360611702370408
14,23,mean,meas,0.2950743080291457
14,23,mean,ref,0.25782519451906555
14,23,sd,meas,0.11533189734259107
14,23,sd,ref,0.14413488411991798
14,23,kurtosis,meas,6.807491613555961
14,23,kurtosis,ref,11.573566588112964
14,23,skewness,meas,1.7496411836663657
14,23,skewness,ref,2.492851331909459
14,23,KL,NA,0.588670935253074
14,23,hellinger,NA,0.297208513278095
14,23,euclidean,NA,0.2229342406165719
15,27,mean,meas,0.3051929523566703
15,27,mean,ref,0.2767054622623606
15,27,sd,meas,0.16328440387969095
15,27,sd,ref,0.15258937847828696
15,27,kurtosis,meas,13.792014346002432
15,27,kurtosis,ref,12.92303221181431
15,27,skewness,meas,2.8231111825632595
15,27,skewness,ref,2.6185587433403343
15,27,KL,NA,0.30696663222800374
15,27,hellinger,NA,0.22704232098332927
15,27,euclidean,NA,0.15290412467146813
16,31,mean,meas,0.32429391496984067
16,31,mean,ref,0.2539716266256125
16,31,sd,meas,0.19787688961029487
16,31,sd,ref,0.1743270333572942
16,31,kurtosis,meas,14.184670357138392
16,31,kurtosis,ref,17.342652945265627
16,31,skewness,meas,3.0227567899499146
16,31,skewness,ref,3.335976403354976
16,31,KL,NA,0.45995852087684375
16,31,hellinger,NA,0.3099584903024363
16,31,euclidean,NA,0.2992248015924221
17,106,mean,meas,0.288401288060168
17,106,mean,ref,0.28943883368261064
17,106,sd,meas,0.275276505030362
17,106,sd,ref,0.14474327664990355
17,106,kurtosis,meas,221.74426794674125
17,106,kurtosis,ref,11.158920469780027
17,106,skewness,meas,13.180654128077128
17,106,skewness,ref,2.4106842175650125
17,106,KL,NA,0.17103951552942964
17,106,hellinger,NA,0.1569192875204008
17,106,euclidean,NA,0.10504004239206303
18,28,mean,meas,0.27478950005869335
18,28,mean,ref,0.2757157052387273
18,28,sd,meas,0.11508947030431278
18,28,sd,ref,0.14317103597591035
18,28,kurtosis,meas,10.079798037282325
18,28,kurtosis,ref,18.520253852293774
18,28,skewness,meas,2.2272327332118196
18,28,skewness,ref,3.3176018013948996
18,28,KL,NA,0.07254949947670343
18,28,hellinger,NA,0.0931922932361796
18,28,euclidean,NA,0.04722492016382463
19,25,mean,meas,0.21261378339259693
19,25,mean,ref,0.23032523979495087
19,25,sd,meas,0.07104711272873529
19,25,sd,ref,0.10365445324826775
19,25,kurtosis,meas,11.896270650692784
19,25,kurtosis,ref,22.882793807486344
19,25,skewness,meas,2.3008322749466212
19,25,skewness,ref,3.2512936935907932
19,25,KL,NA,0.11088229609599781
19,25,hellinger,NA,0.1318394895111857
19,25,euclidean,NA,0.12302096092950358
20,21,mean,meas,0.21580251627404676
20,21,mean,ref,0.20973431456087205
20,21,sd,meas,0.09238047406839729
20,21,sd,ref,0.07397914952643074
20,21,kurtosis,meas,23.389749571256857
20,21,kurtosis,ref,9.732428284385605
20,21,skewness,meas,3.604296830065126
20,21,skewness,ref,1.9081023547595208
20,21,KL,NA,0.06475761667550468
20,21,hellinger,NA,0.11693831965746283
20,21,euclidean,NA,0.020125722330469994
21,13,mean,meas,0.20649825659350116
21,13,mean,ref,0.21742985064690012
21,13,sd,meas,0.06570630161733472
21,13,sd,ref,0.0759118810895885
21,13,kurtosis,meas,10.241253401919376
21,13,kurtosis,ref,4.780980622943995
21,13,skewness,meas,1.9402412331583234
21,13,skewness,ref,0.8655232120486802
21,13,KL,NA,0.12110286572273052
21,13,hellinger,NA,0.15601617594407785
21,13,euclidean,NA,0.14742235471038423
22,12,mean,meas,0.22368021128632415
22,12,mean,ref,0.23961797436863658
22,12,sd,meas,0.05591306240234645
22,12,sd,ref,0.08470996399519173
22,12,kurtosis,meas,3.8377691637702838
22,12,kurtosis,ref,7.225664609742416
22,12,skewness,meas,0.9816112481506931
22,12,skewness,ref,1.62036153935132
22,12,KL,NA,0.2575488555510446
22,12,hellinger,NA,0.18546083583511527
22,12,euclidean,NA,0.15617247528040312
23,14,mean,meas,0.2194671629129057
23,14,mean,ref,0.3027978145104517
23,14,sd,meas,0.052820512297365285
23,14,sd,ref,0.14365459198674735
23,14,kurtosis,meas,3.0345015703707245
23,14,kurtosis,ref,5.30688438479831
23,14,skewness,meas,0.6479746325059542
23,14,skewness,ref,1.732565640267417
23,14,KL,NA,1.405656478611959
23,14,hellinger,NA,0.3415886707899069
23,14,euclidean,NA,0.2791863489192775
24,24,mean,meas,0.2679465527974098
24,24,mean,ref,0.2209733103429789
24,24,sd,meas,0.06550378656478682
24,24,sd,ref,0.07355293353417322
24,24,kurtosis,meas,3.393222710851959
24,24,kurtosis,ref,108.58190101677889
24,24,skewness,meas,0.7487414657378244
24,24,skewness,ref,7.67669954047207
24,24,KL,NA,0.9980575327829295
24,24,hellinger,NA,0.3355309075949865
24,24,euclidean,NA,0.25872471271703235
25,13,mean,meas,0.24441570008383345
25,13,mean,ref,0.2173374425198196
25,13,sd,meas,0.07217629299513828
25,13,sd,ref,0.06882688163635516
25,13,kurtosis,meas,6.365478294907955
25,13,kurtosis,ref,5.697427985654317
25,13,skewness,meas,1.4188148723459928
25,13,skewness,ref,1.2888021476870233
25,13,KL,NA,0.17499175087964
25,13,hellinger,NA,0.17641459786525385
25,13,euclidean,NA,0.12714948420895417
26,23,mean,meas,0.2745558683430921
26,23,mean,ref,0.25782519451906555
26,23,sd,meas,0.11404118794287907
26,23,sd,ref,0.14413488411991798
26,23,kurtosis,meas,11.247035550336058
26,23,kurtosis,ref,11.573566588112964
26,23,skewness,meas,2.142726135565229
26,23,skewness,ref,2.492851331909459
26,23,KL,NA,0.30284039489422204
26,23,hellinger,NA,0.22133637516311058
26,23,euclidean,NA,0.16205825617846661
27,26,mean,meas,0.2421353884595826
27,26,mean,ref,0.2767054622623606
27,26,sd,meas,0.09770054998110868
27,26,sd,ref,0.15258937847828696
27,26,kurtosis,meas,8.065206342161416
27,26,kurtosis,ref,12.92303221181431
27,26,skewness,meas,1.9763043026659692
27,26,skewness,ref,2.6185587433403343
27,26,KL,NA,0.22457453956434903
27,26,hellinger,NA,0.17429215829727562
27,26,euclidean,NA,0.15795661053100302
28,30,mean,meas,0.2840518295909991
28,30,mean,ref,0.2539716266256125
28,30,sd,meas,0.1563809621548331
28,30,sd,ref,0.1743270333572942
28,30,kurtosis,meas,12.277384591856714
28,30,kurtosis,ref,17.342652945265627
28,30,skewness,meas,2.820295754143162
28,30,skewness,ref,3.335976403354976
28,30,KL,NA,0.4647083615473909
28,30,hellinger,NA,0.27431871923274265
28,30,euclidean,NA,0.2342602569681601
29,64,mean,meas,0.30397760855615474
29,64,mean,ref,0.28943883368261064
29,64,sd,meas,0.19603956636484723
29,64,sd,ref,0.14474327664990355
29,64,kurtosis,meas,136.2995859186334
29,64,kurtosis,ref,11.158920469780027
29,64,skewness,meas,9.283515365350128
29,64,skewness,ref,2.4106842175650125
29,64,KL,NA,0.19621536899373263
29,64,hellinger,NA,0.1592109196248576
29,64,euclidean,NA,0.08523595795228259
30,28,mean,meas,0.22779176551470787
30,28,mean,ref,0.2757157052387273
30,28,sd,meas,0.08988915192992694
30,28,sd,ref,0.14317103597591035
30,28,kurtosis,meas,11.609667439621537
30,28,kurtosis,ref,18.520253852293774
30,28,skewness,meas,2.335165051840644
30,28,skewness,ref,3.3176018013948996
30,28,KL,NA,0.29642315758486737
30,28,hellinger,NA,0.22145017440171255
30,28,euclidean,NA,0.16916804756758752
31,25,mean,meas,0.20144851977511802
31,25,mean,ref,0.23032523979495087
31,25,sd,meas,0.07601707326183721
31,25,sd,ref,0.10365445324826775
31,25,kurtosis,meas,10.44034010462082
31,25,kurtosis,ref,22.882793807486344
31,25,skewness,meas,2.3113559268194055
31,25,skewness,ref,3.2512936935907932
31,25,KL,NA,0.1524507236123027
31,25,hellinger,NA,0.15544017338346944
31,25,euclidean,NA,0.14588060204479988
32,14,mean,meas,0.18883057987522317
32,14,mean,ref,0.20973431456087205
32,14,sd,meas,0.05672103026016344
32,14,sd,ref,0.07397914952643074
32,14,kurtosis,meas,13.083459285734
32,14,kurtosis,ref,9.732428284385605
32,14,skewness,meas,2.252502282979446
32,14,skewness,ref,1.9081023547595208
32,14,KL,NA,0.347987030472164
32,14,hellinger,NA,0.18153884015065383
32,14,euclidean,NA,0.11792390472314254
33,13,mean,meas,0.20041628975691944
33,13,mean,ref,0.21742985064690012
33,13,sd,meas,0.05919924703326157
33,13,sd,ref,0.0759118810895885
33,13,kurtosis,meas,5.493873486733239
33,13,kurtosis,ref,4.780980622943995
33,13,skewness,meas,1.2589672202747708
33,13,skewness,ref,0.8655232120486802
33,13,KL,NA,0.3845821256153066
33,13,hellinger,NA,0.1843216887193637
33,13,euclidean,NA,0.13961157495001605
34,12,mean,meas,0.24594837173638645
34,12,mean,ref,0.25387162216986814
34,12,sd,meas,0.06896800627347854
34,12,sd,ref,0.09653306672922397
