mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.1994258384226417
0,27,mean,ref,0.1994258384226417
0,27,sd,meas,0.08614682698017652
0,27,sd,ref,0.08614682698017652
0,27,kurtosis,meas,73.30009743076907
0,27,kurtosis,ref,73.30009743076907
0,27,skewness,meas,6.534690580571716
0,27,skewness,ref,6.534690580571716
0,27,KL,NA,0
0,27,hellinger,NA,0
0,27,euclidean,NA,0
1,10,mean,meas,0.18974731852649376
1,10,mean,ref,0.18974731852649376
1,10,sd,meas,0.06051656451526351
1,10,sd,ref,0.06051656451526351
1,10,kurtosis,meas,9.04001207355218
1,10,kurtosis,ref,9.04001207355218
1,10,skewness,meas,2.0561520084998905
1,10,skewness,ref,2.0561520084998905
1,10,KL,NA,0
1,10,hellinger,NA,0
1,10,euclidean,NA,0
2,11,mean,meas,0.19691143186045962
2,11,mean,ref,0.19691143186045962
2,11,sd,meas,0.05393766725408866
2,11,sd,ref,0.05393766725408866
2,11,kurtosis,meas,13.755010464076742
2,11,kurtosis,ref,13.755010464076742
2,11,skewness,meas,2.3685574021406532
2,11,skewness,ref,2.3685574021406532
2,11,KL,NA,0
2,11,hellinger,NA,0
2,11,euclidean,NA,0
3,12,mean,meas,0.2287869763407128
3,12,mean,ref,0.2287869763407128
3,12,sd,meas,0.07832887580459542
3,12,sd,ref,0.07832887580459542
3,12,kurtosis,meas,6.091266749015092
3,12,kurtosis,ref,6.091266749015092
3,12,skewness,meas,1.2774025971305591
3,12,skewness,ref,1.2774025971305591
3,12,KL,NA,0
3,12,hellinger,NA,0
3,12,euclidean,NA,0
4,14,mean,meas,0.28067862791333037
4,14,mean,ref,0.28067862791333037
4,14,sd,meas,0.14234037553795725
4,14,sd,ref,0.14234037553795725
4,14,kurtosis,meas,6.559062019159018
4,14,kurtosis,ref,6.559062019159018
4,14,skewness,meas,2.121666938846852
4,14,skewness,ref,2.121666938846852
4,14,KL,NA,0
4,14,hellinger,NA,0
4,14,euclidean,NA,0
5,8,mean,meas,0.25855216766262096
5,8,mean,ref,0.25855216766262096
5,8,sd,meas,0.06000702659935466
5,8,sd,ref,0.06000702659935466
5,8,kurtosis,meas,3.0742397946852553
5,8,kurtosis,ref,3.0742397946852553
5,8,skewness,meas,0.38506435767590685
5,8,skewness,ref,0.38506435767590685
5,8,KL,NA,0
5,8,hellinger,NA,0
5,8,euclidean,NA,0
6,8,mean,meas,0.27573624023143595
6,8,mean,ref,0.27573624023143595
6,8,sd,meas,0.06884845710154897
6,8,sd,ref,0.06884845710154897
6,8,kurtosis,meas,3.6477388220540226
6,8,kurtosis,ref,3.6477388220540226
6,8,skewness,meas,0.9359704286843376
6,8,skewness,ref,0.9359704286843376
6,8,KL,NA,0
6,8,hellinger,NA,0
6,8,euclidean,NA,0
7,13,mean,meas,0.26096816032933295
7,13,mean,ref,0.26096816032933295
7,13,sd,meas,0.08122552577568141
7,13,sd,ref,0.08122552577568141
7,13,kurtosis,meas,7.722461801273032
7,13,kurtosis,ref,7.722461801273032
7,13,skewness,meas,1.7910334458832031
7,13,skewness,ref,1.7910334458832031
7,13,KL,NA,0
7,13,hellinger,NA,0
7,13,euclidean,NA,0
8,18,mean,meas,0.2639592900313854
8,18,mean,ref,0.2639592900313854
8,18,sd,meas,0.10683407072531896
8,18,sd,ref,0.10683407072531896
8,18,kurtosis,meas,8.774389129427986
8,18,kurtosis,ref,8.774389129427986
8,18,skewness,meas,2.0500244630063524
8,18,skewness,ref,2.0500244630063524
8,18,KL,NA,0
8,18,hellinger,NA,0
8,18,euclidean,NA,0
9,16,mean,meas,0.2469192111278739
9,16,mean,ref,0.2469192111278739
9,16,sd,meas,0.11531565690244894
9,16,sd,ref,0.11531565690244894
9,16,kurtosis,meas,9.775244791291916
9,16,kurtosis,ref,9.775244791291916
9,16,skewness,meas,2.417089458263276
9,16,skewness,ref,2.417089458263276
9,16,KL,NA,0
9,16,hellinger,NA,0
9,16,euclidean,NA,0
10,19,mean,meas,0.2397807266325081
10,19,mean,ref,0.2397807266325081
10,19,sd,meas,0.12161605636961877
10,19,sd,ref,0.12161605636961877
10,19,kurtosis,meas,13.720136032127039
10,19,kurtosis,ref,13.720136032127039
10,19,skewness,meas,2.826625951988659
10,19,skewness,ref,2.826625951988659
10,19,KL,NA,0
10,19,hellinger,NA,0
10,19,euclidean,NA,0
11,16,mean,meas,0.21323447275969717
11,16,mean,ref,0.21323447275969717
11,16,sd,meas,0.07365852031210834
11,16,sd,ref,0.07365852031210834
11,16,kurtosis,meas,15.439710759947088
11,16,kurtosis,ref,15.439710759947088
11,16,skewness,meas,2.573412970456967
11,16,skewness,ref,2.573412970456967
11,16,KL,NA,0
11,16,hellinger,NA,0
11,16,euclidean,NA,0
12,27,mean,meas,0.19706755354129013
12,27,mean,ref,0.1994258384226417
12,27,sd,meas,0.07712446971129243
12,27,sd,ref,0.08614682698017652
12,27,kurtosis,meas,11.373854074559105
12,27,kurtosis,ref,73.30009743076907
12,27,skewness,meas,2.632110661151698
12,27,skewness,ref,6.534690580571716
12,27,KL,NA,0.101085931239933
12,27,hellinger,NA,0.12554268677446082
12,27,euclidean,NA,0.09757021275250112
13,14,mean,meas,0.18496352466344926
13,14,mean,ref,0.18974731852649376
13,14,sd,meas,0.06469297236398405
13,14,sd,ref,0.06051656451526351
13,14,kurtosis,meas,18.150634885631916
13,14,kurtosis,ref,9.04001207355218
13,14,skewness,meas,3.0317529942571757
13,14,skewness,ref,2.0561520084998905
13,14,KL,NA,0.026644150878314468
13,14,hellinger,NA,0.07903503788670292
13,14,euclidean,NA,0.07814983375833374
14,11,mean,meas,0.1828507546708004
14,11,mean,ref,0.19691143186045962
14,11,sd,meas,0.04174851121516247
14,11,sd,ref,0.05393766725408866
14,11,kurtosis,meas,6.330425885311698
14,11,kurtosis,ref,13.755010464076742
14,11,skewness,meas,1.3693350284265604
14,11,skewness,ref,2.3685574021406532
14,11,KL,NA,0.11691101833277809
14,11,hellinger,NA,0.13035187021888353
14,11,euclidean,NA,0.11516963512903092
15,14,mean,meas,0.20161992160838424
15,14,mean,ref,0.2287869763407128
15,14,sd,meas,0.05345371771802926
15,14,sd,ref,0.07832887580459542
15,14,kurtosis,meas,19.006075070713933
15,14,kurtosis,ref,6.091266749015092
15,14,skewness,meas,2.41134088033851
15,14,skewness,ref,1.2774025971305591
15,14,KL,NA,0.4615342435515991
15,14,hellinger,NA,0.2385951117671124
15,14,euclidean,NA,0.26387231565410185
16,14,mean,meas,0.2022441388772595
16,14,mean,ref,0.28067862791333037
16,14,sd,meas,0.04444153812223439
16,14,sd,ref,0.14234037553795725
16,14,kurtosis,meas,6.0892471688686785
16,14,kurtosis,ref,6.559062019159018
16,14,skewness,meas,1.340768137897066
