mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.1999033065235793
0,11,mean,ref,0.1999033065235793
0,11,sd,meas,0.0760172457649953
0,11,sd,ref,0.0760172457649953
0,11,kurtosis,meas,5.550105628539432
0,11,kurtosis,ref,5.550105628539432
0,11,skewness,meas,1.3392325785929724
0,11,skewness,ref,1.3392325785929724
0,11,KL,NA,0
0,11,hellinger,NA,0
0,11,euclidean,NA,0
1,17,mean,meas,0.24469671432011167
1,17,mean,ref,0.24469671432011167
1,17,sd,meas,0.13641841428195917
1,17,sd,ref,0.13641841428195917
1,17,kurtosis,meas,8.665424982179273
1,17,kurtosis,ref,8.665424982179273
1,17,skewness,meas,2.111762730426967
1,17,skewness,ref,2.111762730426967
1,17,KL,NA,0
1,17,hellinger,NA,0
1,17,euclidean,NA,0
2,27,mean,meas,0.20656549577716488
2,27,mean,ref,0.20656549577716488
2,27,sd,meas,0.13292687891478364
2,27,sd,ref,0.13292687891478364
2,27,kurtosis,meas,20.814421616051263
2,27,kurtosis,ref,20.814421616051263
2,27,skewness,meas,3.496157887454873
2,27,skewness,ref,3.496157887454873
2,27,KL,NA,0
2,27,hellinger,NA,0
2,27,euclidean,NA,0
3,20,mean,meas,0.1959431686528668
3,20,mean,ref,0.1959431686528668
3,20,sd,meas,0.11948135921471052
3,20,sd,ref,0.11948135921471052
3,20,kurtosis,meas,12.369143785823269
3,20,kurtosis,ref,12.369143785823269
3,20,skewness,meas,2.6436047888727092
3,20,skewness,ref,2.6436047888727092
3,20,KL,NA,0
3,20,hellinger,NA,0
3,20,euclidean,NA,0
4,22,mean,meas,0.18986170835890437
4,22,mean,ref,0.18986170835890437
4,22,sd,meas,0.09835007150273573
4,22,sd,ref,0.09835007150273573
4,22,kurtosis,meas,18.820414261856
4,22,kurtosis,ref,18.820414261856
4,22,skewness,meas,2.8432496074213027
4,22,skewness,ref,2.8432496074213027
4,22,KL,NA,0
4,22,hellinger,NA,0
4,22,euclidean,NA,0
5,20,mean,meas,0.1926680960276911
5,20,mean,ref,0.1926680960276911
5,20,sd,meas,0.11275811849029092
5,20,sd,ref,0.11275811849029092
5,20,kurtosis,meas,17.854533528649473
5,20,kurtosis,ref,17.854533528649473
5,20,skewness,meas,3.345565620269967
5,20,skewness,ref,3.345565620269967
5,20,KL,NA,0
5,20,hellinger,NA,0
5,20,euclidean,NA,0
6,21,mean,meas,0.18375290487126922
6,21,mean,ref,0.18375290487126922
6,21,sd,meas,0.10674821254466048
6,21,sd,ref,0.10674821254466048
6,21,kurtosis,meas,20.882886519561048
6,21,kurtosis,ref,20.882886519561048
6,21,skewness,meas,3.5432077715980457
6,21,skewness,ref,3.5432077715980457
