mos_into_deployment,pdf_resolution,statistic,plottype,value
0,38,mean,meas,0.21214118494932127
0,38,mean,ref,0.21214118494932127
0,38,sd,meas,0.09808882934517425
0,38,sd,ref,0.09808882934517425
0,38,kurtosis,meas,133.17633382359656
0,38,kurtosis,ref,133.17633382359656
0,38,skewness,meas,7.9477053778407845
0,38,skewness,ref,7.9477053778407845
0,38,KL,NA,0
0,38,hellinger,NA,0
0,38,euclidean,NA,0
1,19,mean,meas,0.24646091822853067
1,19,mean,ref,0.24646091822853067
1,19,sd,meas,0.13496866526619597
1,19,sd,ref,0.13496866526619597
1,19,kurtosis,meas,8.866172436603751
1,19,kurtosis,ref,8.866172436603751
1,19,skewness,meas,2.1978244545497247
1,19,skewness,ref,2.1978244545497247
1,19,KL,NA,0
1,19,hellinger,NA,0
1,19,euclidean,NA,0
2,19,mean,meas,0.25685944143069167
2,19,mean,ref,0.25685944143069167
2,19,sd,meas,0.1395552128049706
2,19,sd,ref,0.1395552128049706
2,19,kurtosis,meas,9.213573333450581
2,19,kurtosis,ref,9.213573333450581
2,19,skewness,meas,2.263889407291307
2,19,skewness,ref,2.263889407291307
2,19,KL,NA,0
2,19,hellinger,NA,0
2,19,euclidean,NA,0
3,28,mean,meas,0.2452872748732106
3,28,mean,ref,0.2452872748732106
3,28,sd,meas,0.1767535226619344
3,28,sd,ref,0.1767535226619344
3,28,kurtosis,meas,14.04152382118658
3,28,kurtosis,ref,14.04152382118658
3,28,skewness,meas,3.155906866073562
3,28,skewness,ref,3.155906866073562
3,28,KL,NA,0
3,28,hellinger,NA,0
3,28,euclidean,NA,0
4,20,mean,meas,0.2807162324556722
4,20,mean,ref,0.2807162324556722
4,20,sd,meas,0.14328022825506
4,20,sd,ref,0.14328022825506
4,20,kurtosis,meas,10.772317157095717
4,20,kurtosis,ref,10.772317157095717
4,20,skewness,meas,2.4853112951699226
4,20,skewness,ref,2.4853112951699226
4,20,KL,NA,0
4,20,hellinger,NA,0
4,20,euclidean,NA,0
5,19,mean,meas,0.2456241110504307
5,19,mean,ref,0.2456241110504307
5,19,sd,meas,0.12920279171410035
5,19,sd,ref,0.12920279171410035
5,19,kurtosis,meas,12.239441060561782
5,19,kurtosis,ref,12.239441060561782
5,19,skewness,meas,2.690240550030698
5,19,skewness,ref,2.690240550030698
5,19,KL,NA,0
5,19,hellinger,NA,0
5,19,euclidean,NA,0
6,18,mean,meas,0.2044011617003477
6,18,mean,ref,0.2044011617003477
6,18,sd,meas,0.08596509295290944
6,18,sd,ref,0.08596509295290944
6,18,kurtosis,meas,22.902077612751455
6,18,kurtosis,ref,22.902077612751455
6,18,skewness,meas,3.5457501895332593
6,18,skewness,ref,3.5457501895332593
6,18,KL,NA,0
6,18,hellinger,NA,0
6,18,euclidean,NA,0
7,16,mean,meas,0.20346389934943607
7,16,mean,ref,0.20346389934943607
7,16,sd,meas,0.08471238934624073
7,16,sd,ref,0.08471238934624073
7,16,kurtosis,meas,10.7758760955615
7,16,kurtosis,ref,10.7758760955615
7,16,skewness,meas,2.1856717752151704
7,16,skewness,ref,2.1856717752151704
7,16,KL,NA,0
7,16,hellinger,NA,0
7,16,euclidean,NA,0
8,12,mean,meas,0.1961006298648891
8,12,mean,ref,0.1961006298648891
8,12,sd,meas,0.07042102200242827
8,12,sd,ref,0.07042102200242827
8,12,kurtosis,meas,6.935459755039403
