mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.20885157226003237
0,0,mean,ref,NA
0,0,sd,meas,0.1625462667255638
0,0,sd,ref,NA
0,0,kurtosis,meas,37.63431818525866
0,0,kurtosis,ref,NA
0,0,skewness,meas,4.71645317340473
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.20035615745798924
1,0,mean,ref,NA
1,0,sd,meas,0.1205838197663411
1,0,sd,ref,NA
1,0,kurtosis,meas,13.381388344360227
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.7962747276762623
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.20218604902095663
2,0,mean,ref,NA
2,0,sd,meas,0.1177484222461193
2,0,sd,ref,NA
2,0,kurtosis,meas,11.999333829848851
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.716197572825866
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.20413221498371398
3,0,mean,ref,NA
3,0,sd,meas,0.11896623813165748
3,0,sd,ref,NA
3,0,kurtosis,meas,40.72130140109711
3,0,kurtosis,ref,NA
3,0,skewness,meas,4.671292996462657
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.18407180805231535
4,0,mean,ref,NA
4,0,sd,meas,0.07244114751774616
4,0,sd,ref,NA
4,0,kurtosis,meas,12.828307616363087
4,0,kurtosis,ref,NA
4,0,skewness,meas,2.5519720702963866
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.19577834479369302
5,0,mean,ref,NA
5,0,sd,meas,0.06980397136304267
5,0,sd,ref,NA
5,0,kurtosis,meas,5.4913726776405625
5,0,kurtosis,ref,NA
5,0,skewness,meas,1.1986792135785924
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2806256453361169
6,0,mean,ref,NA
6,0,sd,meas,0.131916818173946
6,0,sd,ref,NA
6,0,kurtosis,meas,6.804699689490467
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.9513492547953983
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.2700208799487868
7,0,mean,ref,NA
7,0,sd,meas,0.07231352255709574
7,0,sd,ref,NA
7,0,kurtosis,meas,2.571364765841728
7,0,kurtosis,ref,NA
7,0,skewness,meas,0.4279820504264426
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.27703077468199827
8,0,mean,ref,NA
8,0,sd,meas,0.07142250207041906
8,0,sd,ref,NA
8,0,kurtosis,meas,3.914762071492962
8,0,kurtosis,ref,NA
8,0,skewness,meas,0.88414442709216845
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.26069193432384613
9,0,mean,ref,NA
9,0,sd,meas,0.07983086396984336
9,0,sd,ref,NA
9,0,kurtosis,meas,6.299647078921145
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.6753528613855913
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.2501204998921584
10,0,mean,ref,NA
10,0,sd,meas,0.11894683349228347
10,0,sd,ref,NA
10,0,kurtosis,meas,8.162663899371141
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.9893250397147675
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.21595317176491646
11,0,mean,ref,NA
11,0,sd,meas,0.11194799778300639
11,0,sd,ref,NA
11,0,kurtosis,meas,12.743954415665842
11,0,kurtosis,ref,NA
11,0,skewness,meas,2.802229102444622
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.24324889701465843
12,0,mean,ref,NA
12,0,sd,meas,0.14276525466381132
12,0,sd,ref,NA
12,0,kurtosis,meas,5.974420484111892
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.856444864800097
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.17781876624259357
13,0,mean,ref,NA
13,0,sd,meas,0.08047485856668421
13,0,sd,ref,NA
13,0,kurtosis,meas,25.812522923924227
13,0,kurtosis,ref,NA
13,0,skewness,meas,3.6991586325086914
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.18723789396092894
14,0,mean,ref,NA
14,0,sd,meas,0.09628804388337148
14,0,sd,ref,NA
14,0,kurtosis,meas,14.579444291254367
14,0,kurtosis,ref,NA
14,0,skewness,meas,2.8453044300309016
