mos_into_deployment,pdf_resolution,statistic,plottype,value
0,6,mean,meas,0.31233050059786316
0,6,mean,ref,0.31233050059786316
0,6,sd,meas,0.05714434326978497
0,6,sd,ref,0.05714434326978497
0,6,kurtosis,meas,4.250781644428384
0,6,kurtosis,ref,4.250781644428384
0,6,skewness,meas,-1.4004587828931438
0,6,skewness,ref,-1.4004587828931438
0,6,KL,NA,0
0,6,hellinger,NA,0
0,6,euclidean,NA,0
1,9,mean,meas,0.2736421180284751
1,9,mean,ref,0.2736421180284751
1,9,sd,meas,0.09182414307204477
1,9,sd,ref,0.09182414307204477
1,9,kurtosis,meas,3.6727878049911125
1,9,kurtosis,ref,3.6727878049911125
1,9,skewness,meas,-1.175051089549173
1,9,skewness,ref,-1.175051089549173
1,9,KL,NA,0
1,9,hellinger,NA,0
1,9,euclidean,NA,0
2,9,mean,meas,0.266448297539682
2,9,mean,ref,0.266448297539682
2,9,sd,meas,0.11337126562904248
2,9,sd,ref,0.11337126562904248
2,9,kurtosis,meas,2.919599224034218
2,9,kurtosis,ref,2.919599224034218
2,9,skewness,meas,-0.9791739422311397
2,9,skewness,ref,-0.9791739422311397
2,9,KL,NA,0
2,9,hellinger,NA,0
2,9,euclidean,NA,0
3,7,mean,meas,0.20561357974599967
3,7,mean,ref,0.20561357974599967
3,7,sd,meas,0.07508644720870272
3,7,sd,ref,0.07508644720870272
3,7,kurtosis,meas,2.4391227672080102
3,7,kurtosis,ref,2.4391227672080102
3,7,skewness,meas,-0.7218812116826672
3,7,skewness,ref,-0.7218812116826672
3,7,KL,NA,0
3,7,hellinger,NA,0
3,7,euclidean,NA,0
4,6,mean,meas,0.1347579288061191
4,6,mean,ref,0.1347579288061191
4,6,sd,meas,0.05784811410580773
4,6,sd,ref,0.05784811410580773
4,6,kurtosis,meas,4.114381087395829
4,6,kurtosis,ref,4.114381087395829
4,6,skewness,meas,-0.9662124008096327
4,6,skewness,ref,-0.9662124008096327
4,6,KL,NA,0
4,6,hellinger,NA,0
4,6,euclidean,NA,0
5,0,mean,meas,NA
5,0,mean,ref,NA
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,2,mean,meas,0.08944895377179518
6,2,mean,ref,0.08944895377179518
6,2,sd,meas,0.013996309253328065
6,2,sd,ref,0.013996309253328065
6,2,kurtosis,meas,3.626206216141309
6,2,kurtosis,ref,3.626206216141309
6,2,skewness,meas,0.35441274316370264
6,2,skewness,ref,0.35441274316370264
6,2,KL,NA,0
6,2,hellinger,NA,0
6,2,euclidean,NA,0
7,9,mean,meas,0.14049053012354298
7,9,mean,ref,0.14049053012354298
7,9,sd,meas,0.052967018832347584
7,9,sd,ref,0.052967018832347584
7,9,kurtosis,meas,8.448624058113483
7,9,kurtosis,ref,8.448624058113483
7,9,skewness,meas,1.7705816456766699
7,9,skewness,ref,1.7705816456766699
7,9,KL,NA,0
7,9,hellinger,NA,0
7,9,euclidean,NA,0
8,10,mean,meas,0.1707058061924627
8,10,mean,ref,0.1707058061924627
8,10,sd,meas,0.05871653766491153
8,10,sd,ref,0.05871653766491153
8,10,kurtosis,meas,5.3492956213242175
8,10,kurtosis,ref,5.3492956213242175
8,10,skewness,meas,0.2815657128784239
8,10,skewness,ref,0.2815657128784239
8,10,KL,NA,0
8,10,hellinger,NA,0
8,10,euclidean,NA,0
9,15,mean,meas,0.18751953195250848
9,15,mean,ref,0.18751953195250848
9,15,sd,meas,0.1010168835392602
9,15,sd,ref,0.1010168835392602
9,15,kurtosis,meas,4.7760964187953165
9,15,kurtosis,ref,4.7760964187953165
9,15,skewness,meas,0.6563858651105003
9,15,skewness,ref,0.6563858651105003
9,15,KL,NA,0
9,15,hellinger,NA,0
9,15,euclidean,NA,0
10,18,mean,meas,0.26804867257233167
10,18,mean,ref,0.26804867257233167
10,18,sd,meas,0.12995862749310513
10,18,sd,ref,0.12995862749310513
10,18,kurtosis,meas,3.744501087125306
10,18,kurtosis,ref,3.744501087125306
10,18,skewness,meas,0.19901106363690377
10,18,skewness,ref,0.19901106363690377
10,18,KL,NA,0
10,18,hellinger,NA,0
10,18,euclidean,NA,0
11,12,mean,meas,0.24346692314123217
11,12,mean,ref,0.24346692314123217
11,12,sd,meas,0.10360280836864257
11,12,sd,ref,0.10360280836864257
11,12,kurtosis,meas,3.290356744260397
11,12,kurtosis,ref,3.290356744260397
11,12,skewness,meas,0.5609720980371706
11,12,skewness,ref,0.5609720980371706
11,12,KL,NA,0
