mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.2507784147110799
0,0,mean,ref,NA
0,0,sd,meas,0.14492433172549693
0,0,sd,ref,NA
0,0,kurtosis,meas,16.30116920910774
0,0,kurtosis,ref,NA
0,0,skewness,meas,2.830565403509437
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.2515324494560227
1,0,mean,ref,NA
1,0,sd,meas,0.2108298623814837
1,0,sd,ref,NA
1,0,kurtosis,meas,16.82912669365032
1,0,kurtosis,ref,NA
1,0,skewness,meas,3.5328731832665676
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.2711142403723936
2,0,mean,ref,NA
2,0,sd,meas,0.15658207588993595
2,0,sd,ref,NA
2,0,kurtosis,meas,13.891484077244742
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.9167952341385917
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.23156493359857633
3,0,mean,ref,NA
3,0,sd,meas,0.13034092417851803
3,0,sd,ref,NA
3,0,kurtosis,meas,16.485068847751776
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.1944268342073143
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.1932734909165787
4,0,mean,ref,NA
4,0,sd,meas,0.08745285933783088
4,0,sd,ref,NA
4,0,kurtosis,meas,15.072010885747329
4,0,kurtosis,ref,NA
4,0,skewness,meas,3.123767798428095
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.18751061773103522
5,0,mean,ref,NA
5,0,sd,meas,0.07112071971085748
5,0,sd,ref,NA
5,0,kurtosis,meas,20.001459067822967
5,0,kurtosis,ref,NA
5,0,skewness,meas,3.1538907265717455
5,0,skewness,ref,NA
5,0,KL,NA,NA
