mos_into_deployment,pdf_resolution,statistic,plottype,value
0,31,mean,meas,0.24531806653239255
0,31,mean,ref,0.3718798586572438
0,31,sd,meas,0.14376587913918157
0,31,sd,ref,0.1613066758410883
0,31,kurtosis,meas,16.397085352858923
0,31,kurtosis,ref,4.437289891848006
0,31,skewness,meas,2.8287866205879024
0,31,skewness,ref,1.0143186941579159
0,31,KL,NA,0.628270790617028
0,31,hellinger,NA,0.3804004929540083
0,31,euclidean,NA,0.32646844893912363
1,37,mean,meas,0.25056840898952765
1,37,mean,ref,0.40463149606299215
1,37,sd,meas,0.21034002122651696
1,37,sd,ref,0.2756675516023483
1,37,kurtosis,meas,16.9258282541944
1,37,kurtosis,ref,10.351841727931804
1,37,skewness,meas,3.543131932383431
1,37,skewness,ref,2.471898511014966
1,37,KL,NA,0.9375419864412361
1,37,hellinger,NA,0.43494308950621435
1,37,euclidean,NA,0.38118217310536084
2,37,mean,meas,0.27058447262652885
2,37,mean,ref,0.44270827285921627
2,37,sd,meas,0.1564872720099227
2,37,sd,ref,0.23278943712939051
2,37,kurtosis,meas,13.910296107774553
2,37,kurtosis,ref,11.496597371903524
2,37,skewness,meas,2.9180424545037944
2,37,skewness,ref,2.3513046288462838
2,37,KL,NA,0.8150799582576816
2,37,hellinger,NA,0.42275345391971825
2,37,euclidean,NA,0.3357650827438866
3,34,mean,meas,0.23156493359857633
3,34,mean,ref,0.4052867231638418
3,34,sd,meas,0.13034092417851803
3,34,sd,ref,0.20005139649076048
3,34,kurtosis,meas,16.485068847751776
3,34,kurtosis,ref,11.255739168987418
3,34,skewness,meas,3.1944268342073143
3,34,skewness,ref,2.3190109462614634
3,34,KL,NA,1.1148657541522529
3,34,hellinger,NA,0.49924272753143334
3,34,euclidean,NA,0.4031468782378272
4,22,mean,meas,0.19309168367492607
4,22,mean,ref,0.3336895368782161
4,22,sd,meas,0.0873859048455019
4,22,sd,ref,0.16063112641545066
4,22,kurtosis,meas,15.09985529923222
4,22,kurtosis,ref,7.8701495758606574
4,22,skewness,meas,3.126841599625236
4,22,skewness,ref,1.784601388831537
4,22,KL,NA,1.1707253662741912
4,22,hellinger,NA,0.4770409906160166
4,22,euclidean,NA,0.41361146221243295
5,23,mean,meas,0.18587887177005155
5,23,mean,ref,0.3146737891737892
5,23,sd,meas,0.07071113696073543
5,23,sd,ref,0.1458751557064583
5,23,kurtosis,meas,19.494835438382147
5,23,kurtosis,ref,7.148338176301705
5,23,skewness,meas,3.048465241563535
5,23,skewness,ref,1.6570045526709638
5,23,KL,NA,1.2388894708691016
5,23,hellinger,NA,0.4642363502286267
5,23,euclidean,NA,0.3857401314610685
6,59,mean,meas,1.6199337437724126
6,59,mean,ref,0.3170177993527508
6,59,sd,meas,1.5198747895907925
6,59,sd,ref,0.1340748889901091
6,59,kurtosis,meas,1.0112181669028968
6,59,kurtosis,ref,4.252864705437111
