mos_into_deployment,pdf_resolution,statistic,plottype,value
0,25,mean,meas,0.21367966372916863
0,25,mean,ref,0.18640925266903915
0,25,sd,meas,0.11309119576046826
0,25,sd,ref,0.042609017151933784
0,25,kurtosis,meas,73.32122049794404
0,25,kurtosis,ref,4.116340942464588
0,25,skewness,meas,7.660155279557355
0,25,skewness,ref,1.3245501435330356
0,25,KL,NA,0.12484677985009217
0,25,hellinger,NA,0.18489217636601932
0,25,euclidean,NA,0.12147323675651212
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,41,mean,meas,0.19093481063941944
2,41,mean,ref,0.1577298387096774
2,41,sd,meas,0.11191499967535824
2,41,sd,ref,0.04193019206780026
2,41,kurtosis,meas,257.3627274425025
2,41,kurtosis,ref,7.403425354194453
2,41,skewness,meas,15.098305285233518
2,41,skewness,ref,1.7400155749169346
2,41,KL,NA,0.42871763949700825
2,41,hellinger,NA,0.29071179487657317
2,41,euclidean,NA,0.4269051313527739
3,10,mean,meas,0.18254517086369446
3,10,mean,ref,0.1560896860986547
3,10,sd,meas,0.034460134460947395
3,10,sd,ref,0.055855789224317456
3,10,kurtosis,meas,5.098519032133453
3,10,kurtosis,ref,6.168414973902143
3,10,skewness,meas,1.038486861386266
3,10,skewness,ref,1.2740415208839506
3,10,KL,NA,1.238620288868289
3,10,hellinger,NA,0.3573061734024048
3,10,euclidean,NA,0.4628868729006573
4,20,mean,meas,0.185263963883701
4,20,mean,ref,0.16798238747553815
4,20,sd,meas,0.02920201638534881
4,20,sd,ref,0.05795993953716247
4,20,kurtosis,meas,4.55878560748032
4,20,kurtosis,ref,108.78641306403824
4,20,skewness,meas,0.8915819720581455
4,20,skewness,ref,7.650125394871275
4,20,KL,NA,0.4005400666298649
4,20,hellinger,NA,0.276753733742035
4,20,euclidean,NA,0.39282690469960824
5,91,mean,meas,0.20302434884253953
5,91,mean,ref,0.17627272727272728
5,91,sd,meas,0.20340732396900177
5,91,sd,ref,0.060032752596627284
5,91,kurtosis,meas,363.6073896221309
5,91,kurtosis,ref,10.434789691183742
5,91,skewness,meas,17.763077916840864
5,91,skewness,ref,2.269189484151448
5,91,KL,NA,0.12074228057902824
5,91,hellinger,NA,0.17382254743366357
5,91,euclidean,NA,0.20010070047648634
6,17,mean,meas,0.2005106223281058
6,17,mean,ref,0.1786566091954023
6,17,sd,meas,0.06168408916296595
6,17,sd,ref,0.08560680509490962
6,17,kurtosis,meas,16.653091557909026
6,17,kurtosis,ref,18.911192055127906
6,17,skewness,meas,2.7441114307246264
6,17,skewness,ref,3.205051090260253
6,17,KL,NA,0.5988891632808558
6,17,hellinger,NA,0.273939813696532
6,17,euclidean,NA,0.3259715055862436
7,14,mean,meas,0.22264042501948686
7,14,mean,ref,0.21641209563994374
7,14,sd,meas,0.08817293810288769
7,14,sd,ref,0.12152418327680736
7,14,kurtosis,meas,8.752348653125162
7,14,kurtosis,ref,8.1147090294406
7,14,skewness,meas,2.204672936287967
7,14,skewness,ref,2.276461513040012
7,14,KL,NA,0.23221183108773993
7,14,hellinger,NA,0.19882362763927292
7,14,euclidean,NA,0.20916813589877092
8,26,mean,meas,0.2030586332399896
8,26,mean,ref,0.2163175572519084
8,26,sd,meas,0.08702274890226089
8,26,sd,ref,0.1325827532711999
8,26,kurtosis,meas,27.180939629475464
8,26,kurtosis,ref,18.848553533998285
8,26,skewness,meas,4.004905119282393
8,26,skewness,ref,3.386292265573009
8,26,KL,NA,0.34196572387784596
8,26,hellinger,NA,0.2290551962172112
8,26,euclidean,NA,0.1960779459394035
9,21,mean,meas,0.2158567843744058
9,21,mean,ref,0.2500070422535211
9,21,sd,meas,0.09372156750930878
9,21,sd,ref,0.16270329570327163
9,21,kurtosis,meas,15.580454695264818
9,21,kurtosis,ref,10.918134526482136
9,21,skewness,meas,3.062186209795235
9,21,skewness,ref,2.77711824770411
9,21,KL,NA,0.15479055560290791
9,21,hellinger,NA,0.1429043816099247
9,21,euclidean,NA,0.07134418264910805
10,22,mean,meas,0.22073548368828125
10,22,mean,ref,0.23264095371669005
10,22,sd,meas,0.07046783058387239
10,22,sd,ref,0.11538812182159876
10,22,kurtosis,meas,14.133023887792708
10,22,kurtosis,ref,17.21672646362185
10,22,skewness,meas,2.5167058235972255
10,22,skewness,ref,3.166308285428077
10,22,KL,NA,0.15064091784052744
10,22,hellinger,NA,0.16307813055519796
10,22,euclidean,NA,0.1767471355172328
11,46,mean,meas,0.1896919863802013
11,46,mean,ref,0.1872967542503864
11,46,sd,meas,0.10989512518280452
11,46,sd,ref,0.057262323739951
11,46,kurtosis,meas,262.2548443187122
11,46,kurtosis,ref,25.18134192149593
11,46,skewness,meas,14.59486517389576
11,46,skewness,ref,3.77935264220017
11,46,KL,NA,0.12022630453411547
11,46,hellinger,NA,0.14052822804937515
11,46,euclidean,NA,0.129649421407209
12,29,mean,meas,0.2619931425157641
12,29,mean,ref,0.2012457757296467
12,29,sd,meas,0.13733459865295436
12,29,sd,ref,0.07779075163424246
12,29,kurtosis,meas,13.191379293505618
12,29,kurtosis,ref,14.411096029078971
12,29,skewness,meas,2.297957634476785
12,29,skewness,ref,2.8426485132323918
12,29,KL,NA,0.3789754745249425
12,29,hellinger,NA,0.3141610941642487
12,29,euclidean,NA,0.364740830884658
13,18,mean,meas,0.23148597168168172
13,18,mean,ref,0.16213313609467456
13,18,sd,meas,0.1082969550173466
13,18,sd,ref,0.035906958321864545
13,18,kurtosis,meas,10.455276255402635
13,18,kurtosis,ref,9.338599578005848
13,18,skewness,meas,1.9064383383033894
13,18,skewness,ref,2.128658519570642
13,18,KL,NA,0.39240690736015665
13,18,hellinger,NA,0.3598359508676723
13,18,euclidean,NA,0.3241143495801641
14,0,mean,meas,NA
14,0,mean,ref,0.1999236417033774
14,0,sd,meas,NA
14,0,sd,ref,0.07538091533093942
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,9.446072034679577
14,0,skewness,meas,NA
14,0,skewness,ref,1.8615746758480787
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.2535188953488372
15,0,sd,meas,NA
15,0,sd,ref,0.17650935192332098
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,6.04319472697664
15,0,skewness,meas,NA
15,0,skewness,ref,2.046791669311768
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.23059817351598175
16,0,sd,meas,NA
16,0,sd,ref,0.052330794660788424
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,4.98298122052995
16,0,skewness,meas,NA
16,0,skewness,ref,1.0458334411122623
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,6.702840432952607
17,0,mean,ref,0.2340235294117647
17,0,sd,meas,NA
17,0,sd,ref,0.06798907933976561
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,6.856691310835474
17,0,skewness,meas,NA
17,0,skewness,ref,1.4302549677070011
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,0.2450359937402191
18,0,sd,meas,NA
18,0,sd,ref,0.08861616512368836
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,11.634719128656018
18,0,skewness,meas,NA
18,0,skewness,ref,2.3129416607522795
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,109,mean,meas,2.6664633678542917
19,109,mean,ref,0.2573892806770099
19,109,sd,meas,2.06468602285172
19,109,sd,ref,0.11432128726134959
19,109,kurtosis,meas,2.0853580999513692
19,109,kurtosis,ref,5.925631419684322
19,109,skewness,meas,0.6150497974742561
19,109,skewness,ref,1.679537548751713
19,109,KL,NA,11.688030911985814
19,109,hellinger,NA,0.9669288839049955
19,109,euclidean,NA,0.6698541230918513
20,0,mean,meas,NA
20,0,mean,ref,0.2681364296081277
20,0,sd,meas,NA
20,0,sd,ref,0.1654859351485836
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,9.44825459553553
20,0,skewness,meas,NA
20,0,skewness,ref,2.5111160721647265
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,NA
21,0,mean,ref,0.2612506963788301
21,0,sd,meas,NA
21,0,sd,ref,0.15392715440374308
21,0,kurtosis,meas,NA
21,0,kurtosis,ref,12.787452148876026
21,0,skewness,meas,NA
21,0,skewness,ref,2.8218347891144924
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,NA
22,0,mean,ref,0.24020679886685553
22,0,sd,meas,NA
22,0,sd,ref,0.10715568184791417
22,0,kurtosis,meas,NA
22,0,kurtosis,ref,20.446396738285905
22,0,skewness,meas,NA
22,0,skewness,ref,3.4457653146040874
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,NA
23,0,mean,ref,0.2172481089258699
23,0,sd,meas,NA
23,0,sd,ref,0.10492841217718145
23,0,kurtosis,meas,NA
23,0,kurtosis,ref,20.15618819180577
23,0,skewness,meas,NA
23,0,skewness,ref,3.7655972763972967
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,0.19244867549668873
24,0,sd,meas,NA
24,0,sd,ref,0.07349601368845475
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,26.266771404619398
24,0,skewness,meas,NA
24,0,skewness,ref,3.9465789122251205
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,NA
25,0,mean,ref,NA
25,0,sd,meas,NA
25,0,sd,ref,NA
25,0,kurtosis,meas,NA
25,0,kurtosis,ref,NA
25,0,skewness,meas,NA
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,NA
26,0,mean,ref,NA
26,0,sd,meas,NA
26,0,sd,ref,NA
26,0,kurtosis,meas,NA
26,0,kurtosis,ref,NA
26,0,skewness,meas,NA
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,NA
27,0,mean,ref,NA
27,0,sd,meas,NA
27,0,sd,ref,NA
27,0,kurtosis,meas,NA
27,0,kurtosis,ref,NA
27,0,skewness,meas,NA
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,NA
28,0,mean,ref,NA
28,0,sd,meas,NA
28,0,sd,ref,NA
28,0,kurtosis,meas,NA
28,0,kurtosis,ref,NA
28,0,skewness,meas,NA
28,0,skewness,ref,NA
28,0,KL,NA,NA
28,0,hellinger,NA,NA
28,0,euclidean,NA,NA
29,0,mean,meas,0.23411332789763875
29,0,mean,ref,NA
29,0,sd,meas,0.10124359116870008
29,0,sd,ref,NA
29,0,kurtosis,meas,82.22473978339792
29,0,kurtosis,ref,NA
29,0,skewness,meas,5.83770369611071
29,0,skewness,ref,NA
29,0,KL,NA,NA
29,0,hellinger,NA,NA
29,0,euclidean,NA,NA
30,0,mean,meas,0.21494013423023486
30,0,mean,ref,NA
30,0,sd,meas,0.08166150522250577
30,0,sd,ref,NA
30,0,kurtosis,meas,8.218007618140463
30,0,kurtosis,ref,NA
30,0,skewness,meas,1.9859654741815642
30,0,skewness,ref,NA
30,0,KL,NA,NA
30,0,hellinger,NA,NA
30,0,euclidean,NA,NA
31,0,mean,meas,0.26125275196806846
31,0,mean,ref,NA
31,0,sd,meas,0.18068965795485772
31,0,sd,ref,NA
31,0,kurtosis,meas,7.15148733104712
31,0,kurtosis,ref,NA
31,0,skewness,meas,2.0211030612504457
31,0,skewness,ref,NA
31,0,KL,NA,NA
31,0,hellinger,NA,NA
31,0,euclidean,NA,NA
32,0,mean,meas,0.2583926545762642
32,0,mean,ref,NA
32,0,sd,meas,0.20400313713437815
32,0,sd,ref,NA
32,0,kurtosis,meas,8.717932438525729
32,0,kurtosis,ref,NA
32,0,skewness,meas,2.369010473078491
32,0,skewness,ref,NA
32,0,KL,NA,NA
32,0,hellinger,NA,NA
32,0,euclidean,NA,NA
33,0,mean,meas,0.24252999593145114
33,0,mean,ref,NA
33,0,sd,meas,0.18063915317322837
33,0,sd,ref,NA
33,0,kurtosis,meas,11.143375404144205
33,0,kurtosis,ref,NA
33,0,skewness,meas,2.7132172060751154
33,0,skewness,ref,NA
33,0,KL,NA,NA
33,0,hellinger,NA,NA
33,0,euclidean,NA,NA
34,0,mean,meas,0.24433062122181703
34,0,mean,ref,NA
34,0,sd,meas,0.1895766711754953
34,0,sd,ref,NA
34,0,kurtosis,meas,19.27670834735965
34,0,kurtosis,ref,NA
34,0,skewness,meas,3.422877679298356
