mos_into_deployment,pdf_resolution,statistic,plottype,value
0,25,mean,meas,0.21367966372916863
0,25,mean,ref,0.17199431818181818
0,25,sd,meas,0.11309119576046826
0,25,sd,ref,0.03376820096042868
0,25,kurtosis,meas,73.32122049794404
0,25,kurtosis,ref,9.439468644356449
0,25,skewness,meas,7.660155279557355
0,25,skewness,ref,2.340941036111237
0,25,KL,NA,0.318789364027812
0,25,hellinger,NA,0.2798143092829922
0,25,euclidean,NA,0.250136040480267
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,41,mean,meas,0.1911592130305427
2,41,mean,ref,0.15621885521885523
2,41,sd,meas,0.11274709735867912
2,41,sd,ref,0.04277363320240282
2,41,kurtosis,meas,253.5849241662166
2,41,kurtosis,ref,8.630849458188244
2,41,skewness,meas,14.988111456780565
2,41,skewness,ref,1.9455733759716551
2,41,KL,NA,0.48027897672773145
2,41,hellinger,NA,0.3151441632539704
2,41,euclidean,NA,0.48218372974568974
3,8,mean,meas,0.18254517086369446
3,8,mean,ref,0.14573047858942065
3,8,sd,meas,0.034460134460947395
3,8,sd,ref,0.04990673526965498
3,8,kurtosis,meas,5.098519032133453
3,8,kurtosis,ref,5.122895512710969
3,8,skewness,meas,1.038486861386266
3,8,skewness,ref,1.1660648971726164
3,8,KL,NA,1.455699879598824
3,8,hellinger,NA,0.3941886182568769
3,8,euclidean,NA,0.5168261426435717
4,20,mean,meas,0.185263963883701
4,20,mean,ref,0.16134632034632035
4,20,sd,meas,0.02920201638534881
4,20,sd,ref,0.07175205782149158
4,20,kurtosis,meas,4.55878560748032
4,20,kurtosis,ref,104.93529154494573
4,20,skewness,meas,0.8915819720581455
4,20,skewness,ref,8.725155828998703
4,20,KL,NA,0.6103305942745509
4,20,hellinger,NA,0.3453201316048439
4,20,euclidean,NA,0.49742117269081754
5,91,mean,meas,0.2161622573661415
5,91,mean,ref,0.17078378378378378
5,91,sd,meas,0.22816463096723125
5,91,sd,ref,0.05804475922589105
5,91,kurtosis,meas,294.428087112711
5,91,kurtosis,ref,12.774224265528158
5,91,skewness,meas,16.165984825358954
5,91,skewness,ref,2.6199239946155184
5,91,KL,NA,0.39237447845112694
5,91,hellinger,NA,0.2977284907673133
5,91,euclidean,NA,0.3261058594469768
6,17,mean,meas,0.2005106223281058
6,17,mean,ref,0.15579411764705883
6,17,sd,meas,0.06168408916296595
6,17,sd,ref,0.06663804922586447
6,17,kurtosis,meas,16.653091557909026
6,17,kurtosis,ref,42.43530857165998
6,17,skewness,meas,2.7441114307246264
6,17,skewness,ref,4.594392793946505
6,17,KL,NA,1.177434198773958
6,17,hellinger,NA,0.3735511114127207
6,17,euclidean,NA,0.45727441666411145
7,14,mean,meas,0.22264042501948686
7,14,mean,ref,0.18090939597315436
7,14,sd,meas,0.08817293810288769
7,14,sd,ref,0.08452064385709424
7,14,kurtosis,meas,8.752348653125162
7,14,kurtosis,ref,13.989341679440765
7,14,skewness,meas,2.204672936287967
7,14,skewness,ref,3.026220847972971
7,14,KL,NA,0.42155149317693336
7,14,hellinger,NA,0.31959205038979654
7,14,euclidean,NA,0.36405931320472246
8,19,mean,meas,0.2030586332399896
8,19,mean,ref,0.18830528846153846
8,19,sd,meas,0.08702274890226089
8,19,sd,ref,0.07471943068146579
8,19,kurtosis,meas,27.180939629475464
8,19,kurtosis,ref,13.189672246124948
8,19,skewness,meas,4.004905119282393
8,19,skewness,ref,2.731535553332668
8,19,KL,NA,0.17914865381078834
8,19,hellinger,NA,0.21593145734817046
8,19,euclidean,NA,0.2163593168940659
9,17,mean,meas,0.2158567843744058
9,17,mean,ref,0.2085348189415042
9,17,sd,meas,0.09372156750930878
9,17,sd,ref,0.09491715462631291
9,17,kurtosis,meas,15.580454695264818
9,17,kurtosis,ref,21.272926774902363
9,17,skewness,meas,3.062186209795235
9,17,skewness,ref,3.8309962357199594
9,17,KL,NA,0.0462862745699367
9,17,hellinger,NA,0.1306521239662315
9,17,euclidean,NA,0.07843441003410158
10,12,mean,meas,0.22073548368828125
10,12,mean,ref,0.2121389521640091
10,12,sd,meas,0.07046783058387239
10,12,sd,ref,0.08990904236702865
10,12,kurtosis,meas,14.133023887792708
10,12,kurtosis,ref,9.689389393238608
10,12,skewness,meas,2.5167058235972255
10,12,skewness,ref,2.4855055726987003
10,12,KL,NA,0.17692034232205503
10,12,hellinger,NA,0.20995355321898757
10,12,euclidean,NA,0.27600067202906087
11,46,mean,meas,0.1896919863802013
11,46,mean,ref,0.17490730337078653
11,46,sd,meas,0.10989512518280452
11,46,sd,ref,0.03770530433081714
11,46,kurtosis,meas,262.2548443187122
11,46,kurtosis,ref,19.335824470279317
11,46,skewness,meas,14.59486517389576
11,46,skewness,ref,3.082384846511871
11,46,KL,NA,0.09770983912446311
11,46,hellinger,NA,0.16232647995874544
11,46,euclidean,NA,0.1884424285686279
12,29,mean,meas,0.2629277779608089
12,29,mean,ref,0.19812206572769953
12,29,sd,meas,0.1394744818457064
12,29,sd,ref,0.07842568085672177
12,29,kurtosis,meas,13.030260949449865
12,29,kurtosis,ref,14.230983682110992
12,29,skewness,meas,2.3022509694603155
12,29,skewness,ref,2.7615989480375207
12,29,KL,NA,0.3432385776120233
12,29,hellinger,NA,0.30580766218349276
12,29,euclidean,NA,0.320357368782052
13,18,mean,meas,0.2329273533169734
13,18,mean,ref,0.16048138957816377
13,18,sd,meas,0.10889463304263215
13,18,sd,ref,0.037142545451831696
13,18,kurtosis,meas,10.423185455826593
13,18,kurtosis,ref,9.961250290355057
13,18,skewness,meas,1.9015682119409012
13,18,skewness,ref,2.229970942896182
13,18,KL,NA,0.4125701016103825
13,18,hellinger,NA,0.3649650677001294
13,18,euclidean,NA,0.3378941249749559
14,0,mean,meas,NA
14,0,mean,ref,0.18898235294117646
14,0,sd,meas,NA
14,0,sd,ref,0.06330303329182467
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,3.7898759106384627
14,0,skewness,meas,NA
14,0,skewness,ref,1.0397752053055598
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.3274
15,0,sd,meas,NA
15,0,sd,ref,0.2159234410018994
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,2.492143954013926
15,0,skewness,meas,NA
15,0,skewness,ref,1.054953736715461
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.2259136690647482
16,0,sd,meas,NA
16,0,sd,ref,0.05349745862777183
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,6.054946978124609
16,0,skewness,meas,NA
16,0,skewness,ref,1.1984776844723102
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,6.702840432952607
17,0,mean,ref,0.22743014705882353
17,0,sd,meas,NA
17,0,sd,ref,0.05333790745739856
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,3.7487580751602105
17,0,skewness,meas,NA
17,0,skewness,ref,0.9780834798993192
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,0.22214903846153847
18,0,sd,meas,NA
18,0,sd,ref,0.056539515479575704
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,16.169345499950172
18,0,skewness,meas,NA
18,0,skewness,ref,2.7422139049954266
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,109,mean,meas,2.6664633678542917
19,109,mean,ref,0.2246953846153846
19,109,sd,meas,2.06468602285172
19,109,sd,ref,0.0850974902626561
19,109,kurtosis,meas,2.0853580999513692
19,109,kurtosis,ref,11.225876844769616
19,109,skewness,meas,0.6150497974742561
19,109,skewness,ref,2.414303236358677
19,109,KL,NA,12.128919610552545
19,109,hellinger,NA,0.9801922122585774
19,109,euclidean,NA,0.7259207578968683
20,0,mean,meas,NA
20,0,mean,ref,0.23186206896551725
20,0,sd,meas,NA
20,0,sd,ref,0.11177450261606937
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,11.43647563353502
20,0,skewness,meas,NA
20,0,skewness,ref,2.722219542807138
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,NA
21,0,mean,ref,0.21115204678362573
21,0,sd,meas,NA
21,0,sd,ref,0.09384091632355021
21,0,kurtosis,meas,NA
21,0,kurtosis,ref,20.361293011420592
21,0,skewness,meas,NA
21,0,skewness,ref,3.947313431701849
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,NA
22,0,mean,ref,0.2015410764872521
22,0,sd,meas,NA
22,0,sd,ref,0.049890438325774236
22,0,kurtosis,meas,NA
22,0,kurtosis,ref,16.06674410714028
22,0,skewness,meas,NA
22,0,skewness,ref,2.512977150669789
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,NA
23,0,mean,ref,0.19095327102803739
23,0,sd,meas,NA
23,0,sd,ref,0.05288029817029627
23,0,kurtosis,meas,NA
23,0,kurtosis,ref,13.427799459212544
23,0,skewness,meas,NA
23,0,skewness,ref,2.915427790984184
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,0.18540762463343108
24,0,sd,meas,NA
24,0,sd,ref,0.07871938882504168
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,34.47188397082298
24,0,skewness,meas,NA
24,0,skewness,ref,5.011962384406679
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,NA
25,0,mean,ref,NA
25,0,sd,meas,NA
25,0,sd,ref,NA
25,0,kurtosis,meas,NA
25,0,kurtosis,ref,NA
25,0,skewness,meas,NA
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,NA
