mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.2238232361818892
0,0,mean,ref,NA
0,0,sd,meas,0.1691795132230032
0,0,sd,ref,NA
0,0,kurtosis,meas,17.68364817192584
0,0,kurtosis,ref,NA
0,0,skewness,meas,3.253740500840062
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.25285919339543217
1,0,mean,ref,NA
1,0,sd,meas,0.1886237283140818
1,0,sd,ref,NA
1,0,kurtosis,meas,11.661985398284703
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.707008874356231
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.22200813254766907
2,0,mean,ref,NA
2,0,sd,meas,0.19530271145832637
2,0,sd,ref,NA
2,0,kurtosis,meas,117.90973617752563
2,0,kurtosis,ref,NA
2,0,skewness,meas,8.606654402801
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.1968456622448309
3,0,mean,ref,NA
3,0,sd,meas,0.10847865508970816
3,0,sd,ref,NA
3,0,kurtosis,meas,19.310711071185825
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.401915756155327
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.20075445805404882
4,0,mean,ref,NA
4,0,sd,meas,0.11149044944008005
4,0,sd,ref,NA
4,0,kurtosis,meas,13.670169443700006
4,0,kurtosis,ref,NA
4,0,skewness,meas,2.65786570189598
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.19481275070636417
5,0,mean,ref,NA
5,0,sd,meas,0.07463397263627826
5,0,sd,ref,NA
5,0,kurtosis,meas,31.11348643669928
5,0,kurtosis,ref,NA
5,0,skewness,meas,3.757958024891815
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2324160924894017
6,0,mean,ref,NA
6,0,sd,meas,0.09612579536266186
6,0,sd,ref,NA
6,0,kurtosis,meas,4.900875511368913
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.1914490475307438
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.28850596894718566
7,0,mean,ref,NA
7,0,sd,meas,0.1335984960309895
7,0,sd,ref,NA
7,0,kurtosis,meas,6.814922696364365
7,0,kurtosis,ref,NA
7,0,skewness,meas,2.1066200983496164
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.3017283637390204
8,0,mean,ref,NA
8,0,sd,meas,0.059534669647062596
8,0,sd,ref,NA
8,0,kurtosis,meas,2.4308915492245293
8,0,kurtosis,ref,NA
8,0,skewness,meas,0.1820006759365966
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.298361063565658
9,0,mean,ref,NA
9,0,sd,meas,0.07770621797615082
9,0,sd,ref,NA
9,0,kurtosis,meas,5.622020937390177
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.1386214832276678
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.2799298906269749
10,0,mean,ref,NA
10,0,sd,meas,0.09837480746343054
10,0,sd,ref,NA
10,0,kurtosis,meas,8.29595194354302
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.9628708764311393
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.28110092062217323
11,0,mean,ref,NA
11,0,sd,meas,0.16499281345568667
11,0,sd,ref,NA
11,0,kurtosis,meas,11.690246371750895
11,0,kurtosis,ref,NA
11,0,skewness,meas,2.585758567238119
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.2734850272298737
12,0,mean,ref,NA
12,0,sd,meas,0.20685837111674593
12,0,sd,ref,NA
12,0,kurtosis,meas,10.87723697305449
12,0,kurtosis,ref,NA
12,0,skewness,meas,2.785501860323371
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.26008553215707336
13,0,mean,ref,NA
13,0,sd,meas,0.155541047792142
13,0,sd,ref,NA
13,0,kurtosis,meas,8.032564209203128
13,0,kurtosis,ref,NA
13,0,skewness,meas,2.0807198595001286
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
