mos_into_deployment,pdf_resolution,statistic,plottype,value
0,17,mean,meas,0.28018835239167456
0,17,mean,ref,0.28018835239167456
0,17,sd,meas,0.1143623042168843
0,17,sd,ref,0.1143623042168843
0,17,kurtosis,meas,4.383392169955296
0,17,kurtosis,ref,4.383392169955296
0,17,skewness,meas,1.02576892796897
0,17,skewness,ref,1.02576892796897
0,17,KL,NA,0
0,17,hellinger,NA,0
0,17,euclidean,NA,0
1,14,mean,meas,0.2227740422622622
1,14,mean,ref,0.2227740422622622
1,14,sd,meas,0.1101852803519641
1,14,sd,ref,0.1101852803519641
1,14,kurtosis,meas,3.690229249154809
1,14,kurtosis,ref,3.690229249154809
1,14,skewness,meas,0.38620444546848604
1,14,skewness,ref,0.38620444546848604
1,14,KL,NA,0
1,14,hellinger,NA,0
1,14,euclidean,NA,0
2,68,mean,meas,0.255164519168405
2,68,mean,ref,0.255164519168405
2,68,sd,meas,0.3034165459740381
2,68,sd,ref,0.3034165459740381
2,68,kurtosis,meas,66.74398227924935
2,68,kurtosis,ref,66.74398227924935
2,68,skewness,meas,7.4106962287374625
2,68,skewness,ref,7.4106962287374625
2,68,KL,NA,0
2,68,hellinger,NA,0
2,68,euclidean,NA,0
3,75,mean,meas,0.17230971694962402
3,75,mean,ref,0.17230971694962402
3,75,sd,meas,0.20301556351341662
3,75,sd,ref,0.20301556351341662
3,75,kurtosis,meas,222.31405212160234
3,75,kurtosis,ref,222.31405212160234
3,75,skewness,meas,13.761208765229043
3,75,skewness,ref,13.761208765229043
3,75,KL,NA,0
3,75,hellinger,NA,0
3,75,euclidean,NA,0
4,68,mean,meas,0.24856741144433334
4,68,mean,ref,0.24856741144433334
4,68,sd,meas,0.5298306862423928
4,68,sd,ref,0.5298306862423928
4,68,kurtosis,meas,24.036149979413512
4,68,kurtosis,ref,24.036149979413512
4,68,skewness,meas,4.728560776699041
4,68,skewness,ref,4.728560776699041
4,68,KL,NA,0
4,68,hellinger,NA,0
4,68,euclidean,NA,0
5,0,mean,meas,0.1306862611875088
5,0,mean,ref,0.1306862611875088
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,128,mean,meas,0.10664770891013232
6,128,mean,ref,0.10664770891013232
6,128,sd,meas,0.296902057599682
6,128,sd,ref,0.296902057599682
6,128,kurtosis,meas,318.0097999860382
6,128,kurtosis,ref,318.0097999860382
6,128,skewness,meas,16.747508739709733
6,128,skewness,ref,16.747508739709733
6,128,KL,NA,0
6,128,hellinger,NA,0
6,128,euclidean,NA,0
7,76,mean,meas,0.13517788646350348
7,76,mean,ref,0.13517788646350348
7,76,sd,meas,0.14413311494003994
7,76,sd,ref,0.14413311494003994
7,76,kurtosis,meas,543.5885222348378
7,76,kurtosis,ref,543.5885222348378
7,76,skewness,meas,21.61983972975818
7,76,skewness,ref,21.61983972975818
7,76,KL,NA,0
7,76,hellinger,NA,0
7,76,euclidean,NA,0
8,13,mean,meas,0.16598630663486597
