mos_into_deployment,pdf_resolution,statistic,plottype,value
0,5,mean,meas,0.093343147898384
0,5,mean,ref,0.093343147898384
0,5,sd,meas,0.03183309445321035
0,5,sd,ref,0.03183309445321035
0,5,kurtosis,meas,5.60489806418694
0,5,kurtosis,ref,5.60489806418694
0,5,skewness,meas,1.4115812034272517
0,5,skewness,ref,1.4115812034272517
0,5,KL,NA,0
0,5,hellinger,NA,0
0,5,euclidean,NA,0
1,2,mean,meas,0.08475714131940595
1,2,mean,ref,0.08475714131940595
1,2,sd,meas,0.018580124435270826
1,2,sd,ref,0.018580124435270826
1,2,kurtosis,meas,3.1085574881700175
1,2,kurtosis,ref,3.1085574881700175
1,2,skewness,meas,0.716121483065298
1,2,skewness,ref,0.716121483065298
1,2,KL,NA,0
1,2,hellinger,NA,0
1,2,euclidean,NA,0
2,8,mean,meas,0.13381274332222676
2,8,mean,ref,0.13381274332222676
2,8,sd,meas,0.054741246666350205
2,8,sd,ref,0.054741246666350205
2,8,kurtosis,meas,3.700878815514
2,8,kurtosis,ref,3.700878815514
2,8,skewness,meas,0.8791716961140399
2,8,skewness,ref,0.8791716961140399
2,8,KL,NA,0
2,8,hellinger,NA,0
2,8,euclidean,NA,0
3,13,mean,meas,0.16466527742132644
3,13,mean,ref,0.16466527742132644
3,13,sd,meas,0.05892790900043294
3,13,sd,ref,0.05892790900043294
3,13,kurtosis,meas,10.439688851614482
3,13,kurtosis,ref,10.439688851614482
3,13,skewness,meas,1.4707250646442795
3,13,skewness,ref,1.4707250646442795
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,13,mean,meas,0.17713572566774385
4,13,mean,ref,0.17713572566774385
4,13,sd,meas,0.08906708889841262
4,13,sd,ref,0.08906708889841262
4,13,kurtosis,meas,5.440957302350262
4,13,kurtosis,ref,5.440957302350262
4,13,skewness,meas,1.0460539396708237
4,13,skewness,ref,1.0460539396708237
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,12,mean,meas,0.2355586442162306
5,12,mean,ref,0.2355586442162306
5,12,sd,meas,0.11073170341004825
5,12,sd,ref,0.11073170341004825
5,12,kurtosis,meas,2.9855387786770446
5,12,kurtosis,ref,2.9855387786770446
5,12,skewness,meas,0.04619654456682221
5,12,skewness,ref,0.04619654456682221
5,12,KL,NA,0
5,12,hellinger,NA,0
5,12,euclidean,NA,0
6,13,mean,meas,0.24838211540152566
6,13,mean,ref,0.24838211540152566
6,13,sd,meas,0.08404770140081297
6,13,sd,ref,0.08404770140081297
6,13,kurtosis,meas,4.887264710106151
6,13,kurtosis,ref,4.887264710106151
6,13,skewness,meas,0.7458343584907567
6,13,skewness,ref,0.7458343584907567
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,13,mean,meas,0.2857917901429849
7,13,mean,ref,0.2857917901429849
7,13,sd,meas,0.11927990478880093
7,13,sd,ref,0.11927990478880093
7,13,kurtosis,meas,2.557283764174015
7,13,kurtosis,ref,2.557283764174015
7,13,skewness,meas,0.09267068331704123
7,13,skewness,ref,0.09267068331704123
7,13,KL,NA,0
7,13,hellinger,NA,0
7,13,euclidean,NA,0
8,13,mean,meas,0.2550916645463736
8,13,mean,ref,0.2550916645463736
8,13,sd,meas,0.12707904490667046
8,13,sd,ref,0.12707904490667046
8,13,kurtosis,meas,2.796381153757168
8,13,kurtosis,ref,2.796381153757168
8,13,skewness,meas,-0.4330292042295544
8,13,skewness,ref,-0.4330292042295544
8,13,KL,NA,0
8,13,hellinger,NA,0
8,13,euclidean,NA,0
9,11,mean,meas,0.1865428472592417
9,11,mean,ref,0.1865428472592417
9,11,sd,meas,0.10006927986656339
9,11,sd,ref,0.10006927986656339
9,11,kurtosis,meas,2.9373250701715943
9,11,kurtosis,ref,2.9373250701715943
9,11,skewness,meas,-0.07739528072441497
9,11,skewness,ref,-0.07739528072441497
9,11,KL,NA,0
9,11,hellinger,NA,0
9,11,euclidean,NA,0
10,8,mean,meas,0.1715487268357019
10,8,mean,ref,0.1715487268357019
10,8,sd,meas,0.08675974861135607
10,8,sd,ref,0.08675974861135607
10,8,kurtosis,meas,3.5212426186529746
10,8,kurtosis,ref,3.5212426186529746
10,8,skewness,meas,-0.646446623640255
10,8,skewness,ref,-0.646446623640255
10,8,KL,NA,0
10,8,hellinger,NA,0
10,8,euclidean,NA,0
11,6,mean,meas,0.14024118531364366
11,6,mean,ref,0.14024118531364366
11,6,sd,meas,0.06004819321461784
11,6,sd,ref,0.06004819321461784
11,6,kurtosis,meas,2.30030647296267
11,6,kurtosis,ref,2.30030647296267
11,6,skewness,meas,-0.0927711496086619
11,6,skewness,ref,-0.0927711496086619
11,6,KL,NA,0
11,6,hellinger,NA,0
11,6,euclidean,NA,0
12,9,mean,meas,0.10419917595000978
12,9,mean,ref,0.093343147898384
12,9,sd,meas,0.055112879621467395
12,9,sd,ref,0.03183309445321035
12,9,kurtosis,meas,11.32026791942467
12,9,kurtosis,ref,5.60489806418694
12,9,skewness,meas,0.35750653082329475
12,9,skewness,ref,1.4115812034272517
12,9,KL,NA,0.1811951764038398
12,9,hellinger,NA,0.23384268997191035
12,9,euclidean,NA,0.2782495992920257
13,4,mean,meas,0.08915771841784721
13,4,mean,ref,0.08475714131940595
13,4,sd,meas,0.021109349545671417
13,4,sd,ref,0.018580124435270826
13,4,kurtosis,meas,2.9655792742782436
13,4,kurtosis,ref,3.1085574881700175
13,4,skewness,meas,0.2738926864082809
13,4,skewness,ref,0.716121483065298
13,4,KL,NA,0.03861168248793958
13,4,hellinger,NA,0.12174749971491293
13,4,euclidean,NA,0.12641555974223115
14,8,mean,meas,0.08897586040461763
14,8,mean,ref,0.13381274332222676
14,8,sd,meas,0.023758415078214808
14,8,sd,ref,0.054741246666350205
14,8,kurtosis,meas,2.9396114408855953
14,8,kurtosis,ref,3.700878815514
14,8,skewness,meas,0.40991687917446135
14,8,skewness,ref,0.8791716961140399
14,8,KL,NA,1.9284906333932095
14,8,hellinger,NA,0.4075106706629349
14,8,euclidean,NA,0.43910284406460653
15,13,mean,meas,0.10051596642387946
15,13,mean,ref,0.16466527742132644
15,13,sd,meas,0.06401340747893959
15,13,sd,ref,0.05892790900043294
15,13,kurtosis,meas,4.939468241561823
15,13,kurtosis,ref,10.439688851614482
15,13,skewness,meas,-0.18576999294703686
15,13,skewness,ref,1.4707250646442795
15,13,KL,NA,0.524957485314047
15,13,hellinger,NA,0.3746191522074962
15,13,euclidean,NA,0.3692564266766055
16,13,mean,meas,0.15922647879084087
16,13,mean,ref,0.17713572566774385
16,13,sd,meas,0.07045371381849898
16,13,sd,ref,0.08906708889841262
16,13,kurtosis,meas,5.280379612551884
16,13,kurtosis,ref,5.440957302350262
16,13,skewness,meas,1.0795835903094837
16,13,skewness,ref,1.0460539396708237
16,13,KL,NA,0.06338074907739875
16,13,hellinger,NA,0.11009361312310628
16,13,euclidean,NA,0.11090135131578636
17,12,mean,meas,0.2437525922147964
17,12,mean,ref,0.2355586442162306
17,12,sd,meas,0.10108122953229466
17,12,sd,ref,0.11073170341004825
17,12,kurtosis,meas,2.529885595165203
17,12,kurtosis,ref,2.9855387786770446
17,12,skewness,meas,0.35581342808805744
17,12,skewness,ref,0.04619654456682221
17,12,KL,NA,0.1629282499465187
17,12,hellinger,NA,0.1583621661617609
17,12,euclidean,NA,0.09999049984550773
18,13,mean,meas,0.2371371569718538
18,13,mean,ref,0.24838211540152566
18,13,sd,meas,0.10320332228834092
18,13,sd,ref,0.08404770140081297
18,13,kurtosis,meas,2.8293067300263286
18,13,kurtosis,ref,4.887264710106151
18,13,skewness,meas,0.4229350300986069
18,13,skewness,ref,0.7458343584907567
18,13,KL,NA,0.14212811729818095
18,13,hellinger,NA,0.1968236742308766
18,13,euclidean,NA,0.17319423298757644
19,13,mean,meas,0.19247155811788105
19,13,mean,ref,0.2857917901429849
19,13,sd,meas,0.08243452048561227
19,13,sd,ref,0.11927990478880093
19,13,kurtosis,meas,4.109577665690354
19,13,kurtosis,ref,2.557283764174015
19,13,skewness,meas,0.9486510915848883
19,13,skewness,ref,0.09267068331704123
19,13,KL,NA,0.5550642511939917
19,13,hellinger,NA,0.340010923060726
19,13,euclidean,NA,0.28004121766889783
20,27,mean,meas,0.23061034490270382
20,27,mean,ref,0.2550916645463736
20,27,sd,meas,0.11273187688157323
20,27,sd,ref,0.12707904490667046
20,27,kurtosis,meas,17.14803894088085
20,27,kurtosis,ref,2.796381153757168
20,27,skewness,meas,2.098850804324308
20,27,skewness,ref,-0.4330292042295544
20,27,KL,NA,0.22023333665001668
20,27,hellinger,NA,0.2280192235268003
20,27,euclidean,NA,0.20659350046191333
21,11,mean,meas,0.16390352287192003
21,11,mean,ref,0.1865428472592417
21,11,sd,meas,0.0531272780869394
21,11,sd,ref,0.10006927986656339
21,11,kurtosis,meas,3.008880098278862
21,11,kurtosis,ref,2.9373250701715943
21,11,skewness,meas,0.3956675993061573
21,11,skewness,ref,-0.07739528072441497
21,11,KL,NA,0.7111247682566346
21,11,hellinger,NA,0.34253210575280546
21,11,euclidean,NA,0.291935978929856
22,8,mean,meas,0.14112672550336308
22,8,mean,ref,0.1715487268357019
22,8,sd,meas,0.046005554196564935
22,8,sd,ref,0.08675974861135607
22,8,kurtosis,meas,2.7785064963591917
22,8,kurtosis,ref,3.5212426186529746
22,8,skewness,meas,0.1795372148569696
22,8,skewness,ref,-0.646446623640255
22,8,KL,NA,0.9107893164321919
22,8,hellinger,NA,0.374572254798712
22,8,euclidean,NA,0.3725226135344137
23,6,mean,meas,0.1110345186840597
23,6,mean,ref,0.14024118531364366
23,6,sd,meas,0.02953712093082191
23,6,sd,ref,0.06004819321461784
23,6,kurtosis,meas,4.149172340307014
23,6,kurtosis,ref,2.30030647296267
23,6,skewness,meas,0.7096499324245665
23,6,skewness,ref,-0.0927711496086619
23,6,KL,NA,0.7418901419087747
23,6,hellinger,NA,0.35377635580088096
23,6,euclidean,NA,0.3997791765303463
24,5,mean,meas,0.09300200075090075
24,5,mean,ref,0.093343147898384
24,5,sd,meas,0.01790328689184395
24,5,sd,ref,0.03183309445321035
24,5,kurtosis,meas,3.9669249443955708
24,5,kurtosis,ref,5.60489806418694
24,5,skewness,meas,0.8433826916276319
24,5,skewness,ref,1.4115812034272517
24,5,KL,NA,0.1656333300364049
24,5,hellinger,NA,0.1312536703153464
