mos_into_deployment,pdf_resolution,statistic,plottype,value
0,5,mean,meas,0.0937818233999065
0,5,mean,ref,0.0937818233999065
0,5,sd,meas,0.032147245671630346
0,5,sd,ref,0.032147245671630346
0,5,kurtosis,meas,5.910203904996043
0,5,kurtosis,ref,5.910203904996043
0,5,skewness,meas,1.4812625460591389
0,5,skewness,ref,1.4812625460591389
0,5,KL,NA,0
0,5,hellinger,NA,0
0,5,euclidean,NA,0
1,2,mean,meas,0.08619526218037651
1,2,mean,ref,0.08619526218037651
1,2,sd,meas,0.01864331633485065
1,2,sd,ref,0.01864331633485065
1,2,kurtosis,meas,3.0563464996616534
1,2,kurtosis,ref,3.0563464996616534
1,2,skewness,meas,0.6477055983540062
1,2,skewness,ref,0.6477055983540062
1,2,KL,NA,0
1,2,hellinger,NA,0
1,2,euclidean,NA,0
2,8,mean,meas,0.13002516051124546
2,8,mean,ref,0.13002516051124546
2,8,sd,meas,0.0503050964874213
2,8,sd,ref,0.0503050964874213
2,8,kurtosis,meas,3.6294573610974177
2,8,kurtosis,ref,3.6294573610974177
2,8,skewness,meas,0.8166481027975344
2,8,skewness,ref,0.8166481027975344
2,8,KL,NA,0
2,8,hellinger,NA,0
2,8,euclidean,NA,0
3,12,mean,meas,0.16941442114699415
3,12,mean,ref,0.16941442114699415
3,12,sd,meas,0.061134726925005274
3,12,sd,ref,0.061134726925005274
3,12,kurtosis,meas,12.23735153577555
3,12,kurtosis,ref,12.23735153577555
3,12,skewness,meas,1.8893957735477505
3,12,skewness,ref,1.8893957735477505
3,12,KL,NA,0
3,12,hellinger,NA,0
3,12,euclidean,NA,0
4,13,mean,meas,0.18730035557321623
4,13,mean,ref,0.18730035557321623
4,13,sd,meas,0.09121825447234488
4,13,sd,ref,0.09121825447234488
4,13,kurtosis,meas,5.6317539771412735
4,13,kurtosis,ref,5.6317539771412735
4,13,skewness,meas,1.3737371295949241
4,13,skewness,ref,1.3737371295949241
4,13,KL,NA,0
4,13,hellinger,NA,0
4,13,euclidean,NA,0
5,12,mean,meas,0.23865610026006115
5,12,mean,ref,0.23865610026006115
5,12,sd,meas,0.10302490440025232
5,12,sd,ref,0.10302490440025232
5,12,kurtosis,meas,2.9208421299668577
5,12,kurtosis,ref,2.9208421299668577
5,12,skewness,meas,0.30336472458725605
5,12,skewness,ref,0.30336472458725605
5,12,KL,NA,0
5,12,hellinger,NA,0
5,12,euclidean,NA,0
6,12,mean,meas,0.23837841945970434
6,12,mean,ref,0.23837841945970434
6,12,sd,meas,0.07683520525677891
6,12,sd,ref,0.07683520525677891
6,12,kurtosis,meas,4.677959504936848
6,12,kurtosis,ref,4.677959504936848
6,12,skewness,meas,0.6569004630686818
6,12,skewness,ref,0.6569004630686818
6,12,KL,NA,0
6,12,hellinger,NA,0
6,12,euclidean,NA,0
7,12,mean,meas,0.27767167501390977
7,12,mean,ref,0.27767167501390977
7,12,sd,meas,0.12891377373806534
7,12,sd,ref,0.12891377373806534
7,12,kurtosis,meas,2.1650522568990613
7,12,kurtosis,ref,2.1650522568990613
7,12,skewness,meas,0.15625368364616013
7,12,skewness,ref,0.15625368364616013
7,12,KL,NA,0
7,12,hellinger,NA,0
7,12,euclidean,NA,0
8,13,mean,meas,0.2691110374271664
8,13,mean,ref,0.2691110374271664
8,13,sd,meas,0.11329320841245405
8,13,sd,ref,0.11329320841245405
8,13,kurtosis,meas,2.5236176320238495
8,13,kurtosis,ref,2.5236176320238495
8,13,skewness,meas,-0.11813261447819744
8,13,skewness,ref,-0.11813261447819744
8,13,KL,NA,0
8,13,hellinger,NA,0
8,13,euclidean,NA,0
9,11,mean,meas,0.1783271621664356
9,11,mean,ref,0.1783271621664356
9,11,sd,meas,0.10341501222819995
9,11,sd,ref,0.10341501222819995
9,11,kurtosis,meas,2.6629839868284026
9,11,kurtosis,ref,2.6629839868284026
9,11,skewness,meas,0.4055268773187387
9,11,skewness,ref,0.4055268773187387
9,11,KL,NA,0
9,11,hellinger,NA,0
9,11,euclidean,NA,0
10,8,mean,meas,0.1740880646723635
10,8,mean,ref,0.1740880646723635
