mos_into_deployment,pdf_resolution,statistic,plottype,value
0,179,mean,meas,0.28450805652849004
0,179,mean,ref,0.28450805652849004
0,179,sd,meas,0.426282186382449
0,179,sd,ref,0.426282186382449
0,179,kurtosis,meas,323.56337428120105
0,179,kurtosis,ref,323.56337428120105
0,179,skewness,meas,16.046419202457493
0,179,skewness,ref,16.046419202457493
0,179,KL,NA,0
0,179,hellinger,NA,0
0,179,euclidean,NA,0
1,28,mean,meas,0.2679012319502455
1,28,mean,ref,0.2679012319502455
1,28,sd,meas,0.20584927163783498
1,28,sd,ref,0.20584927163783498
1,28,kurtosis,meas,7.938411924908126
1,28,kurtosis,ref,7.938411924908126
1,28,skewness,meas,2.1521900547820425
1,28,skewness,ref,2.1521900547820425
1,28,KL,NA,0
1,28,hellinger,NA,0
1,28,euclidean,NA,0
2,26,mean,meas,0.2427736068606191
2,26,mean,ref,0.2427736068606191
2,26,sd,meas,0.16018872663084768
2,26,sd,ref,0.16018872663084768
2,26,kurtosis,meas,9.252657705139132
2,26,kurtosis,ref,9.252657705139132
2,26,skewness,meas,2.1805056050687024
2,26,skewness,ref,2.1805056050687024
2,26,KL,NA,0
2,26,hellinger,NA,0
2,26,euclidean,NA,0
3,28,mean,meas,0.23714827573694014
3,28,mean,ref,0.23714827573694014
3,28,sd,meas,0.14131086795001901
3,28,sd,ref,0.14131086795001901
3,28,kurtosis,meas,14.983132627036188
3,28,kurtosis,ref,14.983132627036188
3,28,skewness,meas,2.738528975876263
3,28,skewness,ref,2.738528975876263
3,28,KL,NA,0
3,28,hellinger,NA,0
3,28,euclidean,NA,0
4,26,mean,meas,0.20086687200818157
4,26,mean,ref,0.20086687200818157
4,26,sd,meas,0.11673719467039065
4,26,sd,ref,0.11673719467039065
4,26,kurtosis,meas,28.0052051447918
4,26,kurtosis,ref,28.0052051447918
4,26,skewness,meas,3.8993692243998486
4,26,skewness,ref,3.8993692243998486
4,26,KL,NA,0
4,26,hellinger,NA,0
4,26,euclidean,NA,0
5,16,mean,meas,0.18847850318266807
5,16,mean,ref,0.18847850318266807
5,16,sd,meas,0.08137949208190916
5,16,sd,ref,0.08137949208190916
5,16,kurtosis,meas,13.238884808334245
5,16,kurtosis,ref,13.238884808334245
5,16,skewness,meas,2.496014877302498
5,16,skewness,ref,2.496014877302498
5,16,KL,NA,0
5,16,hellinger,NA,0
5,16,euclidean,NA,0
6,13,mean,meas,0.19203805327072637
6,13,mean,ref,0.19203805327072637
6,13,sd,meas,0.0729709260073168
6,13,sd,ref,0.0729709260073168
6,13,kurtosis,meas,6.161294028504047
6,13,kurtosis,ref,6.161294028504047
6,13,skewness,meas,1.191331437991467
6,13,skewness,ref,1.191331437991467
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,15,mean,meas,0.28079576735433653
7,15,mean,ref,0.28079576735433653
7,15,sd,meas,0.14244356587562204
7,15,sd,ref,0.14244356587562204
7,15,kurtosis,meas,6.1330453984865825
7,15,kurtosis,ref,6.1330453984865825
7,15,skewness,meas,1.845895494898839
7,15,skewness,ref,1.845895494898839
7,15,KL,NA,0
7,15,hellinger,NA,0
7,15,euclidean,NA,0
8,9,mean,meas,0.233767331759136
8,9,mean,ref,0.233767331759136
8,9,sd,meas,0.0669148960903195
8,9,sd,ref,0.0669148960903195
8,9,kurtosis,meas,3.075863691331472
8,9,kurtosis,ref,3.075863691331472
8,9,skewness,meas,0.5894247934526804
8,9,skewness,ref,0.5894247934526804
8,9,KL,NA,0
8,9,hellinger,NA,0
8,9,euclidean,NA,0
9,13,mean,meas,0.2493453048132195
9,13,mean,ref,0.2493453048132195
9,13,sd,meas,0.07673413637610912
9,13,sd,ref,0.07673413637610912
9,13,kurtosis,meas,5.520208081805138
9,13,kurtosis,ref,5.520208081805138
9,13,skewness,meas,1.2514283173866996
9,13,skewness,ref,1.2514283173866996
9,13,KL,NA,0
9,13,hellinger,NA,0
9,13,euclidean,NA,0
10,16,mean,meas,0.25507434666378354
10,16,mean,ref,0.25507434666378354
10,16,sd,meas,0.09699303343247247
10,16,sd,ref,0.09699303343247247
10,16,kurtosis,meas,8.457481924416193
10,16,kurtosis,ref,8.457481924416193
10,16,skewness,meas,1.9873134816007252
10,16,skewness,ref,1.9873134816007252
10,16,KL,NA,0
10,16,hellinger,NA,0
10,16,euclidean,NA,0
11,20,mean,meas,0.2838336756798802
11,20,mean,ref,0.2838336756798802
11,20,sd,meas,0.15851180633985815
11,20,sd,ref,0.15851180633985815
11,20,kurtosis,meas,6.632397059574149
11,20,kurtosis,ref,6.632397059574149
11,20,skewness,meas,1.8788835216900441
11,20,skewness,ref,1.8788835216900441
11,20,KL,NA,0
11,20,hellinger,NA,0
11,20,euclidean,NA,0
12,179,mean,meas,0.2983502841378428
12,179,mean,ref,0.28450805652849004
12,179,sd,meas,0.20056354470733173
12,179,sd,ref,0.426282186382449
12,179,kurtosis,meas,6.110351056180001
12,179,kurtosis,ref,323.56337428120105
12,179,skewness,meas,1.8752589831474236
12,179,skewness,ref,16.046419202457493
12,179,KL,NA,0.8816154372053955
12,179,hellinger,NA,0.27045804397303624
12,179,euclidean,NA,0.16694126468085574
13,28,mean,meas,0.3010085229411855
13,28,mean,ref,0.2679012319502455
13,28,sd,meas,0.1869241409986517
13,28,sd,ref,0.20584927163783498
13,28,kurtosis,meas,4.2276860119173145
13,28,kurtosis,ref,7.938411924908126
13,28,skewness,meas,1.3599092381709659
13,28,skewness,ref,2.1521900547820425
13,28,KL,NA,0.14376069112321324
13,28,hellinger,NA,0.16827355399626365
13,28,euclidean,NA,0.1636917994369713
14,26,mean,meas,0.2309477656200081
14,26,mean,ref,0.2427736068606191
14,26,sd,meas,0.13853038581989785
14,26,sd,ref,0.16018872663084768
14,26,kurtosis,meas,12.60420749495961
14,26,kurtosis,ref,9.252657705139132
14,26,skewness,meas,2.6819932063253713
14,26,skewness,ref,2.1805056050687024
14,26,KL,NA,0.2274663311244087
14,26,hellinger,NA,0.15061953924900254
14,26,euclidean,NA,0.057560787917644754
15,28,mean,meas,0.23596160944444983
15,28,mean,ref,0.23714827573694014
15,28,sd,meas,0.14333831661680357
15,28,sd,ref,0.14131086795001901
15,28,kurtosis,meas,9.603466469348348
15,28,kurtosis,ref,14.983132627036188
15,28,skewness,meas,2.208444814532597
15,28,skewness,ref,2.738528975876263
15,28,KL,NA,0.06862991869162813
15,28,hellinger,NA,0.10677515233323422
15,28,euclidean,NA,0.06922857060745989
16,26,mean,meas,0.18586717735960157
16,26,mean,ref,0.20086687200818157
16,26,sd,meas,0.09362385447008764
16,26,sd,ref,0.11673719467039065
16,26,kurtosis,meas,10.046638606659375
16,26,kurtosis,ref,28.0052051447918
16,26,skewness,meas,2.2509984254208937
16,26,skewness,ref,3.8993692243998486
16,26,KL,NA,0.12645012386817767
16,26,hellinger,NA,0.1284087636293182
16,26,euclidean,NA,0.10756047862227183
17,17,mean,meas,0.17617172357971625
17,17,mean,ref,0.18847850318266807
17,17,sd,meas,0.07263326876643414
17,17,sd,ref,0.08137949208190916
17,17,kurtosis,meas,14.945951257226291
17,17,kurtosis,ref,13.238884808334245
17,17,skewness,meas,2.702948687890593
17,17,skewness,ref,2.496014877302498
17,17,KL,NA,0.13303742980358918
17,17,hellinger,NA,0.13628729550645102
17,17,euclidean,NA,0.15422319649183272
18,13,mean,meas,0.18231976018242047
18,13,mean,ref,0.19203805327072637
18,13,sd,meas,0.0594159498498086
18,13,sd,ref,0.0729709260073168
18,13,kurtosis,meas,5.221768134534639
18,13,kurtosis,ref,6.161294028504047
18,13,skewness,meas,1.2226872067020043
18,13,skewness,ref,1.191331437991467
18,13,KL,NA,0.06806319698450757
18,13,hellinger,NA,0.11838293861839949
18,13,euclidean,NA,0.10853026472143201
19,16,mean,meas,0.17571870049840413
19,16,mean,ref,0.28079576735433653
19,16,sd,meas,0.05122430448320376
19,16,sd,ref,0.14244356587562204
19,16,kurtosis,meas,4.823944091968696
19,16,kurtosis,ref,6.1330453984865825
19,16,skewness,meas,1.0077500296304798
19,16,skewness,ref,1.845895494898839
19,16,KL,NA,1.4220382702356988
19,16,hellinger,NA,0.4202404557130386
19,16,euclidean,NA,0.32108201780290885
20,0,mean,meas,NA
20,0,mean,ref,0.233767331759136
20,0,sd,meas,NA
20,0,sd,ref,0.0669148960903195
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,3.075863691331472
20,0,skewness,meas,NA
20,0,skewness,ref,0.5894247934526804
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,13,mean,meas,0.2359901843794162
21,13,mean,ref,0.2493453048132195
21,13,sd,meas,0.07297916398879063
21,13,sd,ref,0.07673413637610912
21,13,kurtosis,meas,3.473811448416795
21,13,kurtosis,ref,5.520208081805138
21,13,skewness,meas,0.6530643844209152
21,13,skewness,ref,1.2514283173866996
21,13,KL,NA,0.05344028560845132
21,13,hellinger,NA,0.10466307946429014
21,13,euclidean,NA,0.07720829155521779
22,17,mean,meas,0.21682080254067337
22,17,mean,ref,0.25507434666378354
22,17,sd,meas,0.0730945908164689
22,17,sd,ref,0.09699303343247247
22,17,kurtosis,meas,4.122431388431925
22,17,kurtosis,ref,8.457481924416193
22,17,skewness,meas,1.0335946508400862
22,17,skewness,ref,1.9873134816007252
22,17,KL,NA,0.29765836525379624
22,17,hellinger,NA,0.20630874974694868
22,17,euclidean,NA,0.17825456896816053
23,29,mean,meas,0.2425198578992621
23,29,mean,ref,0.2838336756798802
23,29,sd,meas,0.13599902371889494
23,29,sd,ref,0.15851180633985815
23,29,kurtosis,meas,14.114914827624924
23,29,kurtosis,ref,6.632397059574149
23,29,skewness,meas,2.451361474096817
23,29,skewness,ref,1.8788835216900441
23,29,KL,NA,0.21709149086611831
23,29,hellinger,NA,0.20250830912937215
23,29,euclidean,NA,0.15550007928426374
24,179,mean,meas,0.2190905051810383
24,179,mean,ref,0.28450805652849004
24,179,sd,meas,0.14268542178999716
24,179,sd,ref,0.426282186382449
24,179,kurtosis,meas,7.714508624573825
24,179,kurtosis,ref,323.56337428120105
24,179,skewness,meas,2.041514755424194
24,179,skewness,ref,16.046419202457493
24,179,KL,NA,0.18856902744817072
24,179,hellinger,NA,0.1625840036133339
24,179,euclidean,NA,0.14395653129128771
25,29,mean,meas,0.24600542224014355
25,29,mean,ref,0.2679012319502455
25,29,sd,meas,0.18170427020650934
25,29,sd,ref,0.20584927163783498
25,29,kurtosis,meas,6.853159468205071
25,29,kurtosis,ref,7.938411924908126
25,29,skewness,meas,1.9372287210278993
25,29,skewness,ref,2.1521900547820425
25,29,KL,NA,0.10627881850765868
25,29,hellinger,NA,0.14482460968061886
25,29,euclidean,NA,0.11532540037157334
26,26,mean,meas,0.22775002099059852
26,26,mean,ref,0.2427736068606191
26,26,sd,meas,0.170031481059378
26,26,sd,ref,0.16018872663084768
26,26,kurtosis,meas,6.470811721479776
26,26,kurtosis,ref,9.252657705139132
26,26,skewness,meas,1.768139850998438
26,26,skewness,ref,2.1805056050687024
26,26,KL,NA,0.251895184015003
26,26,hellinger,NA,0.26417196313642
26,26,euclidean,NA,0.2232801589204848
27,29,mean,meas,0.186355129675321
27,29,mean,ref,0.23714827573694014
27,29,sd,meas,0.112617545116732
27,29,sd,ref,0.14131086795001901
27,29,kurtosis,meas,13.093584586832272
27,29,kurtosis,ref,14.983132627036188
27,29,skewness,meas,2.40431512300237
27,29,skewness,ref,2.738528975876263
27,29,KL,NA,0.40027184539237193
27,29,hellinger,NA,0.2624334277555865
27,29,euclidean,NA,0.20029227744806233
28,26,mean,meas,0.18672512526374896
28,26,mean,ref,0.20086687200818157
28,26,sd,meas,0.10294138564969893
28,26,sd,ref,0.11673719467039065
28,26,kurtosis,meas,11.867577849127768
28,26,kurtosis,ref,28.0052051447918
28,26,skewness,meas,2.547575898978851
28,26,skewness,ref,3.8993692243998486
28,26,KL,NA,0.09785693869412566
28,26,hellinger,NA,0.13474828557432275
28,26,euclidean,NA,0.09072922817783675
29,16,mean,meas,0.17511279439832728
29,16,mean,ref,0.18847850318266807
29,16,sd,meas,0.06618754502598058
29,16,sd,ref,0.08137949208190916
29,16,kurtosis,meas,7.9831652648326745
29,16,kurtosis,ref,13.238884808334245
29,16,skewness,meas,1.7706685766123795
29,16,skewness,ref,2.496014877302498
29,16,KL,NA,0.11825929430178529
29,16,hellinger,NA,0.11980355182596035
29,16,euclidean,NA,0.08903902503344499
30,13,mean,meas,0.18685616185193074
30,13,mean,ref,0.19203805327072637
30,13,sd,meas,0.06282029996932366
30,13,sd,ref,0.0729709260073168
30,13,kurtosis,meas,4.466179590848764
30,13,kurtosis,ref,6.161294028504047
30,13,skewness,meas,1.099593994172558
30,13,skewness,ref,1.191331437991467
30,13,KL,NA,0.1644068251060697
30,13,hellinger,NA,0.1325831118046627
30,13,euclidean,NA,0.107139760125697
31,10,mean,meas,0.24191936339746836
31,10,mean,ref,0.26075309439129374
31,10,sd,meas,0.059702097450637016
31,10,sd,ref,0.07995747364681581
31,10,kurtosis,meas,2.6694873769979046
31,10,kurtosis,ref,4.208622622762543
31,10,skewness,meas,0.3236313389695136
31,10,skewness,ref,0.8561821013980444
31,10,KL,NA,0.23862275934326233
31,10,hellinger,NA,0.15760116596576682
31,10,euclidean,NA,0.1197896165955983
