mos_into_deployment,pdf_resolution,statistic,plottype,value
0,22,mean,meas,0.3147638669989863
0,22,mean,ref,0.27413066216216214
0,22,sd,meas,0.06631160299229386
0,22,sd,ref,0.15029188338114294
0,22,kurtosis,meas,4.086015107870162
0,22,kurtosis,ref,6.590293078335321
0,22,skewness,meas,0.6806974045704686
0,22,skewness,ref,1.6352184915186159
0,22,KL,NA,1.5243594319831655
0,22,hellinger,NA,0.465835324622832
0,22,euclidean,NA,0.412625952339165
1,16,mean,meas,0.268133642311322
1,16,mean,ref,0.20464428998505232
1,16,sd,meas,0.0644130250269631
1,16,sd,ref,0.11259246337949042
1,16,kurtosis,meas,4.031897533204839
1,16,kurtosis,ref,9.041467051940083
1,16,skewness,meas,0.3915842661874831
1,16,skewness,ref,2.2480963379407313
1,16,KL,NA,1.4632244228538374
1,16,hellinger,NA,0.5028424306420383
1,16,euclidean,NA,0.5379756470338788
2,19,mean,meas,0.24960809220524685
2,19,mean,ref,0.17986114401076717
2,19,sd,meas,0.06977117605845083
2,19,sd,ref,0.08561496415798486
2,19,kurtosis,meas,3.033975532855717
2,19,kurtosis,ref,18.245128611876012
2,19,skewness,meas,-0.4655315273683254
2,19,skewness,ref,3.2319217327091074
2,19,KL,NA,1.1263856073001484
2,19,hellinger,NA,0.5039514637155701
2,19,euclidean,NA,0.5879124921859384
3,11,mean,meas,0.17871432615174018
3,11,mean,ref,0.13608377622377624
3,11,sd,meas,0.04892922906099735
3,11,sd,ref,0.048909211009527685
3,11,kurtosis,meas,3.1603541752796556
3,11,kurtosis,ref,22.156382050755433
3,11,skewness,meas,-0.7743190077267703
3,11,skewness,ref,3.9715528665616593
3,11,KL,NA,1.2588806469558858
3,11,hellinger,NA,0.5547384337464274
3,11,euclidean,NA,0.8081967265806357
4,6,mean,meas,0.1329607477408091
4,6,mean,ref,0.11208815468113975
4,6,sd,meas,0.0441039055451836
4,6,sd,ref,0.02649518417301361
4,6,kurtosis,meas,3.5893366741978947
4,6,kurtosis,ref,13.190115098980195
4,6,skewness,meas,-0.46264681484386555
4,6,skewness,ref,2.860713032292381
4,6,KL,NA,0.3142848780439589
4,6,hellinger,NA,0.3169296596608419
4,6,euclidean,NA,0.31421852868922573
5,0,mean,meas,0.1428324191648035
5,0,mean,ref,0.08452632538569425
5,0,sd,meas,NA
5,0,sd,ref,0.025272962602857548
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,35.21031571192064
5,0,skewness,meas,NA
5,0,skewness,ref,4.404391402118029
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,13,mean,meas,0.08157679823434458
6,13,mean,ref,0.07167197037037037
6,13,sd,meas,0.023942440255799138
6,13,sd,ref,0.008235697833952942
6,13,kurtosis,meas,312.52871882723036
6,13,kurtosis,ref,4.6814658456420055
6,13,skewness,meas,14.139461643983935
6,13,skewness,ref,0.6795438188475633
6,13,KL,NA,0.10808608000380107
6,13,hellinger,NA,0.20844059059180967
6,13,euclidean,NA,0.14503087838925885
7,10,mean,meas,0.1332629198091533
7,10,mean,ref,0.1254847972027972
7,10,sd,meas,0.06246427620941113
7,10,sd,ref,0.055181119993212485
7,10,kurtosis,meas,4.575138226790209
7,10,kurtosis,ref,5.355274218869188
7,10,skewness,meas,1.062423893310937
7,10,skewness,ref,1.2260006282948173
7,10,KL,NA,0.07871525203805586
7,10,hellinger,NA,0.168406465064566
7,10,euclidean,NA,0.1182995368252256
8,17,mean,meas,0.17698041101130332
8,17,mean,ref,0.1689506916426513
8,17,sd,meas,0.05915939383928863
8,17,sd,ref,0.07381137551465286
8,17,kurtosis,meas,9.403317630553577
8,17,kurtosis,ref,19.641203769535547
8,17,skewness,meas,1.4196434970170255
8,17,skewness,ref,3.3187293647101885
8,17,KL,NA,0.2882917793714816
8,17,hellinger,NA,0.2402737589226737
8,17,euclidean,NA,0.3226874146600926
9,17,mean,meas,0.19204733879106164
9,17,mean,ref,0.18455423913043478
9,17,sd,meas,0.06865496483060671
9,17,sd,ref,0.10508707709682301
9,17,kurtosis,meas,6.674504106636488
9,17,kurtosis,ref,9.486915777831452
9,17,skewness,meas,1.3295848005559205
9,17,skewness,ref,2.3340651726719797
9,17,KL,NA,0.36807262812640945
9,17,hellinger,NA,0.2801386924826615
9,17,euclidean,NA,0.37766024532202813
10,21,mean,meas,0.26178980696046933
10,21,mean,ref,0.2553926461038961
10,21,sd,meas,0.08386610720642115
10,21,sd,ref,0.13400056096222135
10,21,kurtosis,meas,3.5638847075022473
10,21,kurtosis,ref,8.644161434028327
10,21,skewness,meas,0.6932602803928863
10,21,skewness,ref,1.7903019224945809
10,21,KL,NA,0.45559604892323824
10,21,hellinger,NA,0.24500992142396075
10,21,euclidean,NA,0.21568357045711126
11,20,mean,meas,0.28167277519308703
11,20,mean,ref,0.20774387142857142
11,20,sd,meas,0.0790697982443407
11,20,sd,ref,0.11511586074040134
11,20,kurtosis,meas,7.7503433308005745
11,20,kurtosis,ref,12.152177642771889
11,20,skewness,meas,1.61911671165053
11,20,skewness,ref,2.5714378318589577
11,20,KL,NA,4.760936560744367
11,20,hellinger,NA,0.540863277287826
11,20,euclidean,NA,0.4976928218128502
12,25,mean,meas,0.31554441203870337
12,25,mean,ref,0.28528350140056025
12,25,sd,meas,0.09223490181024992
12,25,sd,ref,0.17181777798680578
12,25,kurtosis,meas,3.7569368594292882
12,25,kurtosis,ref,8.597164037012492
12,25,skewness,meas,0.917699504646822
12,25,skewness,ref,2.008169972291561
12,25,KL,NA,2.456482363429671
12,25,hellinger,NA,0.389184039117437
12,25,euclidean,NA,0.2679520062912741
13,19,mean,meas,0.2939901969963637
13,19,mean,ref,0.25122605919003116
13,19,sd,meas,0.07336160908597533
13,19,sd,ref,0.14269554808602877
13,19,kurtosis,meas,6.105315080827104
13,19,kurtosis,ref,7.035414563881393
13,19,skewness,meas,0.8110584777468038
13,19,skewness,ref,1.7817271454958996
13,19,KL,NA,1.434595510290513
13,19,hellinger,NA,0.4328103159880896
13,19,euclidean,NA,0.38497632592127917
14,14,mean,meas,0.20969876013760044
14,14,mean,ref,0.17214674318507892
14,14,sd,meas,0.06503310894478348
14,14,sd,ref,0.09981329761848176
14,14,kurtosis,meas,4.225888603067448
14,14,kurtosis,ref,10.466131759299742
14,14,skewness,meas,0.8287464389010168
14,14,skewness,ref,2.539507103416679
14,14,KL,NA,0.7104843441736057
14,14,hellinger,NA,0.3827297786761362
14,14,euclidean,NA,0.5223181933432323
15,13,mean,meas,0.19031608120365337
15,13,mean,ref,0.15182684813753583
15,13,sd,meas,0.05694658429936012
15,13,sd,ref,0.0507984974340577
15,13,kurtosis,meas,2.3772278277997985
15,13,kurtosis,ref,26.20326396549924
15,13,skewness,meas,-0.12116111911577902
15,13,skewness,ref,3.6555777870528217
15,13,KL,NA,0.4969810559227461
