mos_into_deployment,pdf_resolution,statistic,plottype,value
0,22,mean,meas,0.2929312283128676
0,22,mean,ref,0.24226083665338646
0,22,sd,meas,0.1475612598388682
0,22,sd,ref,0.14606487817027478
0,22,kurtosis,meas,5.519524745945819
0,22,kurtosis,ref,12.539221406009599
0,22,skewness,meas,1.3728531171246305
0,22,skewness,ref,2.6414052781457023
0,22,KL,NA,0.21589944933052888
0,22,hellinger,NA,0.21796116253339773
0,22,euclidean,NA,0.17497141346214082
1,0,mean,meas,NA
1,0,mean,ref,0.19052691176470588
1,0,sd,meas,NA
1,0,sd,ref,0.08835098170207735
1,0,kurtosis,meas,NA
1,0,kurtosis,ref,8.069914155210425
1,0,skewness,meas,NA
1,0,skewness,ref,2.220446071331038
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,NA
2,0,mean,ref,0.17410551546391753
2,0,sd,meas,NA
2,0,sd,ref,0.08756166527262377
2,0,kurtosis,meas,NA
2,0,kurtosis,ref,25.491773874187558
2,0,skewness,meas,NA
2,0,skewness,ref,4.040634122115305
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,9,mean,meas,0.13427744735392527
3,9,mean,ref,0.14686126903553298
3,9,sd,meas,0.052334188290413614
3,9,sd,ref,0.05567676804477739
3,9,kurtosis,meas,17.303793727693165
3,9,kurtosis,ref,15.840842936786592
3,9,skewness,meas,3.5681086178989077
3,9,skewness,ref,3.2591815590189377
3,9,KL,NA,0.08657696696472782
3,9,hellinger,NA,0.1805936710348979
3,9,euclidean,NA,0.06946126459750293
4,6,mean,meas,0.12164541349914165
4,6,mean,ref,0.1173641825095057
4,6,sd,meas,0.038167866850858004
4,6,sd,ref,0.02277343457044857
4,6,kurtosis,meas,9.034592459540727
4,6,kurtosis,ref,7.629543411266277
4,6,skewness,meas,2.1780194944778026
4,6,skewness,ref,1.7479683762827545
4,6,KL,NA,0.13308051699646287
4,6,hellinger,NA,0.1943191276751001
4,6,euclidean,NA,0.2943233251070445
5,7,mean,meas,0.09053433343390552
5,7,mean,ref,0.09276012658227849
5,7,sd,meas,0.03095360332561329
5,7,sd,ref,0.02015245498526325
5,7,kurtosis,meas,18.033747274050494
5,7,kurtosis,ref,19.01572948629099
5,7,skewness,meas,2.9741812296773014
5,7,skewness,ref,2.8729969248219738
5,7,KL,NA,0.018991896033121153
5,7,hellinger,NA,0.09071215934197072
5,7,euclidean,NA,0.027623742729426862
6,2,mean,meas,0.07767664451399309
6,2,mean,ref,0.07699317073170732
6,2,sd,meas,0.009012450212068944
6,2,sd,ref,0.007960679757101272
6,2,kurtosis,meas,10.01644795158293
6,2,kurtosis,ref,2.17574975526216
6,2,skewness,meas,1.1402282558565697
6,2,skewness,ref,0.5430868527929927
6,2,KL,NA,0.009293171096528432
6,2,hellinger,NA,0.06812045411176798
6,2,euclidean,NA,0.013094570021973052
7,8,mean,meas,0.13442504515780224
7,8,mean,ref,0.1591028125
7,8,sd,meas,0.04975901989917623
7,8,sd,ref,0.05681996764857867
7,8,kurtosis,meas,6.9260367442867725
7,8,kurtosis,ref,4.62768661843181
7,8,skewness,meas,1.3915802196732723
7,8,skewness,ref,1.0260372274072063
7,8,KL,NA,0.25340599511536055
7,8,hellinger,NA,0.22242363236303087
7,8,euclidean,NA,0.22642128261765107
8,34,mean,meas,0.18513721274027015
8,34,mean,ref,0.19515163043478262
8,34,sd,meas,0.12017329039042228
8,34,sd,ref,0.08454286730135668
8,34,kurtosis,meas,80.79839838933212
8,34,kurtosis,ref,9.40024116301001
8,34,skewness,meas,7.118180227414468
8,34,skewness,ref,2.263742449605255
8,34,KL,NA,0.25139832467067047
8,34,hellinger,NA,0.18326004826046866
8,34,euclidean,NA,0.09931194008614627
9,17,mean,meas,0.17645382036112972
9,17,mean,ref,0.17669591639871382
9,17,sd,meas,0.10860302171299724
9,17,sd,ref,0.10064085803575819
9,17,kurtosis,meas,8.34542256319634
9,17,kurtosis,ref,16.08496391248662
9,17,skewness,meas,2.2029335178467893
9,17,skewness,ref,3.278817194069609
9,17,KL,NA,0.18984533080532812
9,17,hellinger,NA,0.27137454829947066
9,17,euclidean,NA,0.19815616722811552
10,21,mean,meas,0.26101789555012983
10,21,mean,ref,0.21995782352941176
10,21,sd,meas,0.14628695116991713
10,21,sd,ref,0.12340312652466852
10,21,kurtosis,meas,6.007105743807987
10,21,kurtosis,ref,16.31709025928724
10,21,skewness,meas,1.461456881193142
10,21,skewness,ref,2.7076323219667753
10,21,KL,NA,0.24808618696383197
10,21,hellinger,NA,0.27297255380055907
10,21,euclidean,NA,0.21641244331846307
11,19,mean,meas,0.2110126445135457
11,19,mean,ref,0.20015826086956523
11,19,sd,meas,0.12187715048571555
11,19,sd,ref,0.10936152175093025
11,19,kurtosis,meas,10.552962337300922
11,19,kurtosis,ref,11.938486680674558
11,19,skewness,meas,2.3864303475675297
11,19,skewness,ref,2.837310245903931
11,19,KL,NA,0.22362024242624307
11,19,hellinger,NA,0.2251330323911239
11,19,euclidean,NA,0.10982218978153638
12,25,mean,meas,0.28968797279539965
12,25,mean,ref,0.271312299270073
12,25,sd,meas,0.1649941362010174
12,25,sd,ref,0.1464478434360675
12,25,kurtosis,meas,7.1477878487012205
12,25,kurtosis,ref,6.381039314183101
12,25,skewness,meas,1.6295176305981072
12,25,skewness,ref,1.7135829063464436
12,25,KL,NA,0.07292965665712932
12,25,hellinger,NA,0.16835927724013824
12,25,euclidean,NA,0.07824469624184474
13,21,mean,meas,0.251363867140987
13,21,mean,ref,0.24195401544401546
13,21,sd,meas,0.15510539060505524
13,21,sd,ref,0.13566080526008134
13,21,kurtosis,meas,6.706748521053733
13,21,kurtosis,ref,6.50346338240424
13,21,skewness,meas,1.6562625546150802
13,21,skewness,ref,1.7476072544646433
13,21,KL,NA,0.19748861478184587
13,21,hellinger,NA,0.28098109838413665
13,21,euclidean,NA,0.18262966481452755
