mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.20694943286713777
0,0,mean,ref,NA
0,0,sd,meas,0.06140454718094528
0,0,sd,ref,NA
0,0,kurtosis,meas,4.523452050456832
0,0,kurtosis,ref,NA
0,0,skewness,meas,1.084263306540432
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.17563719507922948
1,0,mean,ref,NA
1,0,sd,meas,0.18663691624731035
1,0,sd,ref,NA
1,0,kurtosis,meas,41.8067610988257
1,0,kurtosis,ref,NA
1,0,skewness,meas,-5.291841152049331
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.26626232271406547
2,0,mean,ref,NA
2,0,sd,meas,0.17177114695742796
2,0,sd,ref,NA
2,0,kurtosis,meas,6.719895957691149
2,0,kurtosis,ref,NA
2,0,skewness,meas,1.9041645799426326
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.20658146355183374
3,0,mean,ref,NA
3,0,sd,meas,0.15469804759226308
3,0,sd,ref,NA
3,0,kurtosis,meas,21.250519505260087
3,0,kurtosis,ref,NA
3,0,skewness,meas,3.5929888175706632
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.11054378674836629
4,0,mean,ref,NA
4,0,sd,meas,0.5774126885286729
4,0,sd,ref,NA
4,0,kurtosis,meas,44.639502191812525
4,0,kurtosis,ref,NA
4,0,skewness,meas,-6.195551696832656
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.15732366052679223
5,0,mean,ref,NA
5,0,sd,meas,0.10586791521930569
5,0,sd,ref,NA
5,0,kurtosis,meas,12.844168537212711
5,0,kurtosis,ref,NA
5,0,skewness,meas,2.375570809009507
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.14732778336175517
6,0,mean,ref,NA
6,0,sd,meas,0.10190993086141438
6,0,sd,ref,NA
6,0,kurtosis,meas,22.981130775408122
6,0,kurtosis,ref,NA
6,0,skewness,meas,3.869299293617191
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.14385592198323932
7,0,mean,ref,NA
7,0,sd,meas,0.08841968457313522
7,0,sd,ref,NA
7,0,kurtosis,meas,24.0367025039853
7,0,kurtosis,ref,NA
7,0,skewness,meas,3.8052209907154877
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.15179729650660923
8,0,mean,ref,NA
8,0,sd,meas,0.057485807235065446
8,0,sd,ref,NA
8,0,kurtosis,meas,12.165317310518793
8,0,kurtosis,ref,NA
8,0,skewness,meas,2.4049452207199136
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.18100996620958199
9,0,mean,ref,NA
9,0,sd,meas,0.07202590475238417
9,0,sd,ref,NA
9,0,kurtosis,meas,4.034824571832266
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.0033364709801553
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.25114152812512297
10,0,mean,ref,NA
10,0,sd,meas,0.12861620552091946
10,0,sd,ref,NA
10,0,kurtosis,meas,5.681025603342126
10,0,kurtosis,ref,NA
10,0,skewness,meas,1.889501311282904
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.23224543797253505
11,0,mean,ref,NA
11,0,sd,meas,0.06448824505129175
11,0,sd,ref,NA
11,0,kurtosis,meas,3.291444334866677
11,0,kurtosis,ref,NA
11,0,skewness,meas,0.5604650073705665
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.25208195290755514
12,0,mean,ref,NA
12,0,sd,meas,0.08440813292098238
12,0,sd,ref,NA
12,0,kurtosis,meas,6.6756056770123955
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.590044109814588
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.22861019639198446
13,0,mean,ref,NA
13,0,sd,meas,0.10164949589287603
13,0,sd,ref,NA
13,0,kurtosis,meas,10.96970156804138
13,0,kurtosis,ref,NA
13,0,skewness,meas,2.4573176977053226
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.22395438823534886
