mos_into_deployment,pdf_resolution,statistic,plottype,value
0,32,mean,meas,0.2238232361818892
0,32,mean,ref,0.2238232361818892
0,32,sd,meas,0.1691795132230032
0,32,sd,ref,0.1691795132230032
0,32,kurtosis,meas,17.68364817192584
0,32,kurtosis,ref,17.68364817192584
0,32,skewness,meas,3.253740500840062
0,32,skewness,ref,3.253740500840062
0,32,KL,NA,0
0,32,hellinger,NA,0
0,32,euclidean,NA,0
1,25,mean,meas,0.25285919339543217
1,25,mean,ref,0.25285919339543217
1,25,sd,meas,0.1886237283140818
1,25,sd,ref,0.1886237283140818
1,25,kurtosis,meas,11.661985398284703
1,25,kurtosis,ref,11.661985398284703
1,25,skewness,meas,2.707008874356231
1,25,skewness,ref,2.707008874356231
1,25,KL,NA,0
1,25,hellinger,NA,0
1,25,euclidean,NA,0
2,64,mean,meas,0.22200813254766907
2,64,mean,ref,0.22200813254766907
2,64,sd,meas,0.19530271145832637
2,64,sd,ref,0.19530271145832637
2,64,kurtosis,meas,117.90973617752563
2,64,kurtosis,ref,117.90973617752563
2,64,skewness,meas,8.606654402801
2,64,skewness,ref,8.606654402801
2,64,KL,NA,0
2,64,hellinger,NA,0
2,64,euclidean,NA,0
3,19,mean,meas,0.1968456622448309
3,19,mean,ref,0.1968456622448309
3,19,sd,meas,0.10847865508970816
3,19,sd,ref,0.10847865508970816
3,19,kurtosis,meas,19.310711071185825
3,19,kurtosis,ref,19.310711071185825
3,19,skewness,meas,3.401915756155327
3,19,skewness,ref,3.401915756155327
3,19,KL,NA,0
3,19,hellinger,NA,0
3,19,euclidean,NA,0
4,20,mean,meas,0.20075445805404882
4,20,mean,ref,0.20075445805404882
4,20,sd,meas,0.11149044944008005
4,20,sd,ref,0.11149044944008005
4,20,kurtosis,meas,13.670169443700006
4,20,kurtosis,ref,13.670169443700006
4,20,skewness,meas,2.65786570189598
4,20,skewness,ref,2.65786570189598
4,20,KL,NA,0
4,20,hellinger,NA,0
4,20,euclidean,NA,0
5,19,mean,meas,0.19481275070636417
5,19,mean,ref,0.19481275070636417
5,19,sd,meas,0.07463397263627826
5,19,sd,ref,0.07463397263627826
5,19,kurtosis,meas,31.11348643669928
5,19,kurtosis,ref,31.11348643669928
5,19,skewness,meas,3.757958024891815
5,19,skewness,ref,3.757958024891815
5,19,KL,NA,0
5,19,hellinger,NA,0
5,19,euclidean,NA,0
6,12,mean,meas,0.2324160924894017
6,12,mean,ref,0.2324160924894017
6,12,sd,meas,0.09612579536266186
6,12,sd,ref,0.09612579536266186
6,12,kurtosis,meas,4.900875511368913
6,12,kurtosis,ref,4.900875511368913
6,12,skewness,meas,1.1914490475307438
6,12,skewness,ref,1.1914490475307438
6,12,KL,NA,0
6,12,hellinger,NA,0
6,12,euclidean,NA,0
7,14,mean,meas,0.28850596894718566
7,14,mean,ref,0.28850596894718566
7,14,sd,meas,0.1335984960309895
7,14,sd,ref,0.1335984960309895
7,14,kurtosis,meas,6.814922696364365
7,14,kurtosis,ref,6.814922696364365
7,14,skewness,meas,2.1066200983496164
7,14,skewness,ref,2.1066200983496164
7,14,KL,NA,0
7,14,hellinger,NA,0
7,14,euclidean,NA,0
8,5,mean,meas,0.3017283637390204
8,5,mean,ref,0.3017283637390204
8,5,sd,meas,0.059534669647062596
8,5,sd,ref,0.059534669647062596
8,5,kurtosis,meas,2.4308915492245293
8,5,kurtosis,ref,2.4308915492245293
8,5,skewness,meas,0.1820006759365966
8,5,skewness,ref,0.1820006759365966
8,5,KL,NA,0
8,5,hellinger,NA,0
8,5,euclidean,NA,0
9,11,mean,meas,0.298361063565658
9,11,mean,ref,0.298361063565658
9,11,sd,meas,0.07770621797615082
9,11,sd,ref,0.07770621797615082
9,11,kurtosis,meas,5.622020937390177
9,11,kurtosis,ref,5.622020937390177
9,11,skewness,meas,1.1386214832276678
9,11,skewness,ref,1.1386214832276678
9,11,KL,NA,0
9,11,hellinger,NA,0
9,11,euclidean,NA,0
10,14,mean,meas,0.2799298906269749
10,14,mean,ref,0.2799298906269749
10,14,sd,meas,0.09837480746343054
10,14,sd,ref,0.09837480746343054
10,14,kurtosis,meas,8.29595194354302
10,14,kurtosis,ref,8.29595194354302
10,14,skewness,meas,1.9628708764311393
10,14,skewness,ref,1.9628708764311393
10,14,KL,NA,0
10,14,hellinger,NA,0
10,14,euclidean,NA,0
11,27,mean,meas,0.28110092062217323
11,27,mean,ref,0.28110092062217323
11,27,sd,meas,0.16499281345568667
11,27,sd,ref,0.16499281345568667
11,27,kurtosis,meas,11.690246371750895
11,27,kurtosis,ref,11.690246371750895
11,27,skewness,meas,2.585758567238119
11,27,skewness,ref,2.585758567238119
11,27,KL,NA,0
