mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.30594125063714883
0,27,mean,ref,0.30594125063714883
0,27,sd,meas,0.21654521969324256
0,27,sd,ref,0.21654521969324256
0,27,kurtosis,meas,9.348426436434673
0,27,kurtosis,ref,9.348426436434673
0,27,skewness,meas,2.415379294510267
0,27,skewness,ref,2.415379294510267
0,27,KL,NA,0
0,27,hellinger,NA,0
0,27,euclidean,NA,0
1,28,mean,meas,0.2895314538581247
1,28,mean,ref,0.2895314538581247
1,28,sd,meas,0.1574826273202392
1,28,sd,ref,0.1574826273202392
1,28,kurtosis,meas,18.236198917597573
1,28,kurtosis,ref,18.236198917597573
1,28,skewness,meas,3.2315486824276314
1,28,skewness,ref,3.2315486824276314
1,28,KL,NA,0
1,28,hellinger,NA,0
1,28,euclidean,NA,0
2,31,mean,meas,0.26967496215290593
2,31,mean,ref,0.26967496215290593
2,31,sd,meas,0.15507603749540214
2,31,sd,ref,0.15507603749540214
2,31,kurtosis,meas,14.945064668765161
2,31,kurtosis,ref,14.945064668765161
2,31,skewness,meas,2.7487366267774456
2,31,skewness,ref,2.7487366267774456
2,31,KL,NA,0
2,31,hellinger,NA,0
2,31,euclidean,NA,0
3,23,mean,meas,0.23914602469775612
3,23,mean,ref,0.23914602469775612
3,23,sd,meas,0.12464307009070504
3,23,sd,ref,0.12464307009070504
3,23,kurtosis,meas,17.22762472755449
3,23,kurtosis,ref,17.22762472755449
3,23,skewness,meas,3.0360881136606506
3,23,skewness,ref,3.0360881136606506
3,23,KL,NA,0
3,23,hellinger,NA,0
3,23,euclidean,NA,0
4,21,mean,meas,0.2293865253703265
4,21,mean,ref,0.2293865253703265
4,21,sd,meas,0.11913739774898074
4,21,sd,ref,0.11913739774898074
4,21,kurtosis,meas,20.600236267944595
4,21,kurtosis,ref,20.600236267944595
4,21,skewness,meas,3.5122153790390103
4,21,skewness,ref,3.5122153790390103
4,21,KL,NA,0
4,21,hellinger,NA,0
4,21,euclidean,NA,0
5,18,mean,meas,0.23201659141655195
5,18,mean,ref,0.23201659141655195
5,18,sd,meas,0.08732447470000394
5,18,sd,ref,0.08732447470000394
5,18,kurtosis,meas,11.629112654588033
5,18,kurtosis,ref,11.629112654588033
5,18,skewness,meas,1.843781800958155
5,18,skewness,ref,1.843781800958155
5,18,KL,NA,0
5,18,hellinger,NA,0
