mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.26687597162153803
0,0,mean,ref,NA
0,0,sd,meas,0.4431323732568173
0,0,sd,ref,NA
0,0,kurtosis,meas,316.3275291911948
0,0,kurtosis,ref,NA
0,0,skewness,meas,16.25472901130308
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,0,mean,meas,0.24439459687443588
1,0,mean,ref,NA
1,0,sd,meas,0.19044451678667104
1,0,sd,ref,NA
1,0,kurtosis,meas,11.095521653057865
1,0,kurtosis,ref,NA
1,0,skewness,meas,2.628827551532039
1,0,skewness,ref,NA
1,0,KL,NA,NA
1,0,hellinger,NA,NA
1,0,euclidean,NA,NA
2,0,mean,meas,0.22594677653638984
2,0,mean,ref,NA
2,0,sd,meas,0.13917327398620652
2,0,sd,ref,NA
2,0,kurtosis,meas,10.716526695400248
2,0,kurtosis,ref,NA
2,0,skewness,meas,2.291393004066432
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.2303077966145701
3,0,mean,ref,NA
3,0,sd,meas,0.1417956409265005
3,0,sd,ref,NA
3,0,kurtosis,meas,15.79937078381023
3,0,kurtosis,ref,NA
3,0,skewness,meas,2.833152556005038
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.19780524632204682
4,0,mean,ref,NA
4,0,sd,meas,0.11690435293261131
4,0,sd,ref,NA
4,0,kurtosis,meas,29.171056298647507
4,0,kurtosis,ref,NA
4,0,skewness,meas,3.963721156740208
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.18990618056898098
5,0,mean,ref,NA
5,0,sd,meas,0.08372478733767084
5,0,sd,ref,NA
5,0,kurtosis,meas,14.171306973060302
5,0,kurtosis,ref,NA
5,0,skewness,meas,2.7454217333252355
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.2011042587855916
6,0,mean,ref,NA
6,0,sd,meas,0.07672152386200584
6,0,sd,ref,NA
6,0,kurtosis,meas,6.248925325752898
6,0,kurtosis,ref,NA
6,0,skewness,meas,1.2859379003267686
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.2927604773571251
7,0,mean,ref,NA
7,0,sd,meas,0.14450969653700174
7,0,sd,ref,NA
7,0,kurtosis,meas,6.259065508729144
7,0,kurtosis,ref,NA
7,0,skewness,meas,1.952001051403789
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,0.2606757357935673
8,0,mean,ref,NA
8,0,sd,meas,0.06459887387304071
8,0,sd,ref,NA
8,0,kurtosis,meas,3.013318190991728
8,0,kurtosis,ref,NA
8,0,skewness,meas,0.4780477501232695
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,0.26979824967217997
9,0,mean,ref,NA
9,0,sd,meas,0.07685511051232927
9,0,sd,ref,NA
9,0,kurtosis,meas,6.019828515149056
9,0,kurtosis,ref,NA
9,0,skewness,meas,1.4726000913060833
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,0.26847675162336254
10,0,mean,ref,NA
10,0,sd,meas,0.0915512896432042
10,0,sd,ref,NA
10,0,kurtosis,meas,11.760670984626838
10,0,kurtosis,ref,NA
10,0,skewness,meas,2.541822310399408
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,0.2854634967074515
11,0,mean,ref,NA
11,0,sd,meas,0.16222440996444357
11,0,sd,ref,NA
11,0,kurtosis,meas,6.525323221367641
11,0,kurtosis,ref,NA
11,0,skewness,meas,1.8878799635337393
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,0.2937142785012062
12,0,mean,ref,NA
12,0,sd,meas,0.19634827933720866
12,0,sd,ref,NA
12,0,kurtosis,meas,6.517385281672079
12,0,kurtosis,ref,NA
12,0,skewness,meas,1.9473588899934031
12,0,skewness,ref,NA
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,0.3085829593365216
13,0,mean,ref,NA
13,0,sd,meas,0.19005464021073676
13,0,sd,ref,NA
13,0,kurtosis,meas,4.075388614450978
13,0,kurtosis,ref,NA
13,0,skewness,meas,1.3185553657360665
13,0,skewness,ref,NA
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,0.2338255487417175
14,0,mean,ref,NA
14,0,sd,meas,0.14085993270937153
14,0,sd,ref,NA
14,0,kurtosis,meas,12.135485942918677
14,0,kurtosis,ref,NA
14,0,skewness,meas,2.619569348705713
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.2393227407509816
15,0,mean,ref,NA
15,0,sd,meas,0.14493874599778675
15,0,sd,ref,NA
15,0,kurtosis,meas,9.371395311746953
15,0,kurtosis,ref,NA
15,0,skewness,meas,2.168629534145946
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.186495797949144
16,0,mean,ref,NA
16,0,sd,meas,0.09454055057886032
16,0,sd,ref,NA
16,0,kurtosis,meas,9.841902382401988
16,0,kurtosis,ref,NA
16,0,skewness,meas,2.22270560102731
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.17754032897018188
17,0,mean,ref,NA
17,0,sd,meas,0.07387122284507268
17,0,sd,ref,NA
17,0,kurtosis,meas,14.511588040595896
17,0,kurtosis,ref,NA
17,0,skewness,meas,2.6684269735305173
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.19134030300132301
18,0,mean,ref,NA
18,0,sd,meas,0.0627900397871575
18,0,sd,ref,NA
18,0,kurtosis,meas,4.8001826129193885
18,0,kurtosis,ref,NA
18,0,skewness,meas,1.2202095123296406
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,0.1865091140137536
19,0,mean,ref,NA
19,0,sd,meas,0.049479385143784485
19,0,sd,ref,NA
19,0,kurtosis,meas,6.29788285374357
19,0,kurtosis,ref,NA
19,0,skewness,meas,1.435934303598278
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,NA
20,0,mean,ref,NA
20,0,sd,meas,NA
20,0,sd,ref,NA
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,NA
20,0,skewness,meas,NA
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,0.2650592904818794
21,0,mean,ref,NA
21,0,sd,meas,0.06922827282327747
21,0,sd,ref,NA
21,0,kurtosis,meas,3.5639817166717016
21,0,kurtosis,ref,NA
21,0,skewness,meas,0.7539761877366512
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,0.22567917660261413
22,0,mean,ref,NA
22,0,sd,meas,0.07036394760292859
22,0,sd,ref,NA
22,0,kurtosis,meas,3.648746859911605
22,0,kurtosis,ref,NA
22,0,skewness,meas,1.0382071261869623
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,0.24766385307395897
23,0,mean,ref,NA
23,0,sd,meas,0.13535283339534687
23,0,sd,ref,NA
23,0,kurtosis,meas,13.739844566712044
23,0,kurtosis,ref,NA
23,0,skewness,meas,2.356407514447165
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,0.2190905051810383
24,0,mean,ref,NA
24,0,sd,meas,0.14268542178999716
24,0,sd,ref,NA
24,0,kurtosis,meas,7.714508624573825
24,0,kurtosis,ref,NA
24,0,skewness,meas,2.041514755424194
24,0,skewness,ref,NA
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,0.24729531224334655
25,0,mean,ref,NA
25,0,sd,meas,0.18224665806866996
25,0,sd,ref,NA
25,0,kurtosis,meas,6.788604327174835
25,0,kurtosis,ref,NA
25,0,skewness,meas,1.9230078031783024
25,0,skewness,ref,NA
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,0.22775002099059852
26,0,mean,ref,NA
26,0,sd,meas,0.170031481059378
26,0,sd,ref,NA
26,0,kurtosis,meas,6.470811721479776
26,0,kurtosis,ref,NA
26,0,skewness,meas,1.768139850998438
26,0,skewness,ref,NA
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,0.186355129675321
27,0,mean,ref,NA
27,0,sd,meas,0.112617545116732
27,0,sd,ref,NA
27,0,kurtosis,meas,13.093584586832272
27,0,kurtosis,ref,NA
27,0,skewness,meas,2.40431512300237
27,0,skewness,ref,NA
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,0,mean,meas,0.18672512526374896
28,0,mean,ref,NA
28,0,sd,meas,0.10294138564969893
28,0,sd,ref,NA
28,0,kurtosis,meas,11.867577849127768
28,0,kurtosis,ref,NA
28,0,skewness,meas,2.547575898978851
28,0,skewness,ref,NA
28,0,KL,NA,NA
28,0,hellinger,NA,NA
28,0,euclidean,NA,NA
29,0,mean,meas,0.17770163233216854
29,0,mean,ref,NA
29,0,sd,meas,0.06788777171112263
29,0,sd,ref,NA
29,0,kurtosis,meas,7.769287124564265
29,0,kurtosis,ref,NA
29,0,skewness,meas,1.7659340860631842
29,0,skewness,ref,NA
29,0,KL,NA,NA
29,0,hellinger,NA,NA
29,0,euclidean,NA,NA
30,0,mean,meas,0.18863810593209038
30,0,mean,ref,NA
30,0,sd,meas,0.06331130761004995
30,0,sd,ref,NA
30,0,kurtosis,meas,4.587271176797202
30,0,kurtosis,ref,NA
30,0,skewness,meas,1.1309537004460612
30,0,skewness,ref,NA
30,0,KL,NA,NA
30,0,hellinger,NA,NA
30,0,euclidean,NA,NA
31,0,mean,meas,0.2525308127504919
31,0,mean,ref,NA
31,0,sd,meas,0.060155460353781234
31,0,sd,ref,NA
31,0,kurtosis,meas,2.4182506973151434
31,0,kurtosis,ref,NA
31,0,skewness,meas,0.3245596533884809
31,0,skewness,ref,NA
31,0,KL,NA,NA
31,0,hellinger,NA,NA
31,0,euclidean,NA,NA
