mos_into_deployment,pdf_resolution,statistic,plottype,value
0,7,mean,meas,0.21078606065564853
0,7,mean,ref,0.21078606065564853
0,7,sd,meas,0.05348190221002797
0,7,sd,ref,0.05348190221002797
0,7,kurtosis,meas,3.726100222806954
0,7,kurtosis,ref,3.726100222806954
0,7,skewness,meas,0.9156322314040737
0,7,skewness,ref,0.9156322314040737
0,7,KL,NA,0
0,7,hellinger,NA,0
0,7,euclidean,NA,0
1,33,mean,meas,0.2692343782996965
1,33,mean,ref,0.2692343782996965
1,33,sd,meas,0.20956898783934938
1,33,sd,ref,0.20956898783934938
1,33,kurtosis,meas,16.09240372208088
1,33,kurtosis,ref,16.09240372208088
1,33,skewness,meas,2.9538222878516596
1,33,skewness,ref,2.9538222878516596
1,33,KL,NA,0
1,33,hellinger,NA,0
1,33,euclidean,NA,0
2,16,mean,meas,0.25507620365575356
2,16,mean,ref,0.25507620365575356
2,16,sd,meas,0.1186859711001173
2,16,sd,ref,0.1186859711001173
2,16,kurtosis,meas,5.406000631032324
2,16,kurtosis,ref,5.406000631032324
2,16,skewness,meas,1.4384239989033043
2,16,skewness,ref,1.4384239989033043
2,16,KL,NA,0
2,16,hellinger,NA,0
2,16,euclidean,NA,0
3,21,mean,meas,0.23333925377699466
3,21,mean,ref,0.23333925377699466
3,21,sd,meas,0.154525329033253
3,21,sd,ref,0.154525329033253
3,21,kurtosis,meas,7.7517964948219875
3,21,kurtosis,ref,7.7517964948219875
3,21,skewness,meas,2.067737140226555
3,21,skewness,ref,2.067737140226555
3,21,KL,NA,0
3,21,hellinger,NA,0
3,21,euclidean,NA,0
4,30,mean,meas,0.22189019708861
4,30,mean,ref,0.22189019708861
4,30,sd,meas,0.16957889097834714
4,30,sd,ref,0.16957889097834714
4,30,kurtosis,meas,12.918717900261129
4,30,kurtosis,ref,12.918717900261129
4,30,skewness,meas,2.6719073119221743
4,30,skewness,ref,2.6719073119221743
4,30,KL,NA,0
4,30,hellinger,NA,0
4,30,euclidean,NA,0
5,18,mean,meas,0.2074918412533513
5,18,mean,ref,0.2074918412533513
5,18,sd,meas,0.12467880358786546
5,18,sd,ref,0.12467880358786546
5,18,kurtosis,meas,9.486041604117515
5,18,kurtosis,ref,9.486041604117515
5,18,skewness,meas,2.181624010898074
5,18,skewness,ref,2.181624010898074
5,18,KL,NA,0
5,18,hellinger,NA,0
5,18,euclidean,NA,0
6,36,mean,meas,0.22959992563087794
6,36,mean,ref,0.22959992563087794
6,36,sd,meas,0.15694218693982076
6,36,sd,ref,0.15694218693982076
6,36,kurtosis,meas,33.4844942807278
6,36,kurtosis,ref,33.4844942807278
6,36,skewness,meas,4.316912606709089
6,36,skewness,ref,4.316912606709089
6,36,KL,NA,0
6,36,hellinger,NA,0
6,36,euclidean,NA,0
7,34,mean,meas,0.20493848920696042
7,34,mean,ref,0.20493848920696042
7,34,sd,meas,0.1432881312252449
7,34,sd,ref,0.1432881312252449
7,34,kurtosis,meas,31.742024862315805
7,34,kurtosis,ref,31.742024862315805
7,34,skewness,meas,4.256117634942711
7,34,skewness,ref,4.256117634942711
7,34,KL,NA,0
7,34,hellinger,NA,0
7,34,euclidean,NA,0
8,115,mean,meas,0.3220850730677642
8,115,mean,ref,0.3220850730677642
8,115,sd,meas,0.5010106616407468
8,115,sd,ref,0.5010106616407468
8,115,kurtosis,meas,102.21012497872393
8,115,kurtosis,ref,102.21012497872393
8,115,skewness,meas,9.552817370007782
8,115,skewness,ref,9.552817370007782
8,115,KL,NA,0
8,115,hellinger,NA,0
8,115,euclidean,NA,0
9,14,mean,meas,0.20914155098217005
9,14,mean,ref,0.20914155098217005
9,14,sd,meas,0.08390544254070532
9,14,sd,ref,0.08390544254070532
9,14,kurtosis,meas,6.329275740949913
9,14,kurtosis,ref,6.329275740949913
9,14,skewness,meas,1.1938327060003742
9,14,skewness,ref,1.1938327060003742
9,14,KL,NA,0
9,14,hellinger,NA,0
9,14,euclidean,NA,0
10,15,mean,meas,0.2756394507081407
10,15,mean,ref,0.2756394507081407
10,15,sd,meas,0.12821199107698142
10,15,sd,ref,0.12821199107698142
10,15,kurtosis,meas,5.353869314728582
10,15,kurtosis,ref,5.353869314728582
10,15,skewness,meas,1.6974787415703068
10,15,skewness,ref,1.6974787415703068
10,15,KL,NA,0
10,15,hellinger,NA,0
10,15,euclidean,NA,0
11,8,mean,meas,0.26145650476267585
11,8,mean,ref,0.26145650476267585
11,8,sd,meas,0.06675864451339895
11,8,sd,ref,0.06675864451339895
11,8,kurtosis,meas,2.710885591228266
11,8,kurtosis,ref,2.710885591228266
11,8,skewness,meas,0.43630317904561977
11,8,skewness,ref,0.43630317904561977
11,8,KL,NA,0
11,8,hellinger,NA,0
11,8,euclidean,NA,0
12,11,mean,meas,0.26100869385619085
12,11,mean,ref,0.21078606065564853
12,11,sd,meas,0.0781185034155497
12,11,sd,ref,0.05348190221002797
12,11,kurtosis,meas,5.292073401385116
12,11,kurtosis,ref,3.726100222806954
12,11,skewness,meas,1.2423032916804972
12,11,skewness,ref,0.9156322314040737
12,11,KL,NA,0.34157637387999634
12,11,hellinger,NA,0.2898636542625859
12,11,euclidean,NA,0.2393535342839159
13,33,mean,meas,0.23687683264872256
13,33,mean,ref,0.2692343782996965
13,33,sd,meas,0.08381152946795059
13,33,sd,ref,0.20956898783934938
13,33,kurtosis,meas,7.9454669175148265
13,33,kurtosis,ref,16.09240372208088
13,33,skewness,meas,1.9296244451816797
13,33,skewness,ref,2.9538222878516596
13,33,KL,NA,0.8434885561180857
13,33,hellinger,NA,0.2995308942224881
13,33,euclidean,NA,0.24429717517606137
14,21,mean,meas,0.23291367421392273
14,21,mean,ref,0.25507620365575356
14,21,sd,meas,0.13876564594000235
14,21,sd,ref,0.1186859711001173
14,21,kurtosis,meas,9.62146748457439
14,21,kurtosis,ref,5.406000631032324
14,21,skewness,meas,2.3440808123287993
14,21,skewness,ref,1.4384239989033043
14,21,KL,NA,0.10839444798110838
14,21,hellinger,NA,0.16105249747227568
14,21,euclidean,NA,0.13810175545531844
15,21,mean,meas,0.20118870945730852
15,21,mean,ref,0.23333925377699466
15,21,sd,meas,0.12717383659947704
15,21,sd,ref,0.154525329033253
15,21,kurtosis,meas,10.452866993166053
15,21,kurtosis,ref,7.7517964948219875
15,21,skewness,meas,2.4930174136246928
15,21,skewness,ref,2.067737140226555
15,21,KL,NA,0.13600380205560791
15,21,hellinger,NA,0.14349214086092268
15,21,euclidean,NA,0.09640598845460834
16,30,mean,meas,0.21749404036330083
16,30,mean,ref,0.22189019708861
16,30,sd,meas,0.15103980149856625
16,30,sd,ref,0.16957889097834714
16,30,kurtosis,meas,7.1442750069801875
16,30,kurtosis,ref,12.918717900261129
16,30,skewness,meas,2.0216954327977326
16,30,skewness,ref,2.6719073119221743
16,30,KL,NA,0.15131847512113797
16,30,hellinger,NA,0.11334343662877629
16,30,euclidean,NA,0.03661047742812117
17,18,mean,meas,0.15012625984300457
17,18,mean,ref,0.2074918412533513
17,18,sd,meas,0.08446773000441236
17,18,sd,ref,0.12467880358786546
17,18,kurtosis,meas,20.1854962920373
17,18,kurtosis,ref,9.486041604117515
17,18,skewness,meas,3.212715989758561
17,18,skewness,ref,2.181624010898074
17,18,KL,NA,0.37235517042652905
17,18,hellinger,NA,0.2618035662332261
17,18,euclidean,NA,0.24726254370269424
18,37,mean,meas,0.15669094180536955
18,37,mean,ref,0.22959992563087794
18,37,sd,meas,0.08887720200692327
18,37,sd,ref,0.15694218693982076
18,37,kurtosis,meas,14.905761313431304
18,37,kurtosis,ref,33.4844942807278
18,37,skewness,meas,2.8447958164474496
18,37,skewness,ref,4.316912606709089
18,37,KL,NA,0.4865516416767554
18,37,hellinger,NA,0.31683296463550603
18,37,euclidean,NA,0.32818335983004965
19,34,mean,meas,0.15053577602314078
19,34,mean,ref,0.20493848920696042
19,34,sd,meas,0.07860169349091403
19,34,sd,ref,0.1432881312252449
19,34,kurtosis,meas,11.295024009089692
19,34,kurtosis,ref,31.742024862315805
19,34,skewness,meas,2.2990977642938715
19,34,skewness,ref,4.256117634942711
19,34,KL,NA,0.37407334539314163
19,34,hellinger,NA,0.2475719516331753
19,34,euclidean,NA,0.24150111999595375
20,115,mean,meas,0.3752733018425022
20,115,mean,ref,0.3220850730677642
20,115,sd,meas,0.8236090354368553
20,115,sd,ref,0.5010106616407468
20,115,kurtosis,meas,28.64977771210736
20,115,kurtosis,ref,102.21012497872393
20,115,skewness,meas,5.23874218511926
20,115,skewness,ref,9.552817370007782
20,115,KL,NA,0.9758367057248081
20,115,hellinger,NA,0.3190923033994417
20,115,euclidean,NA,0.24689953105863893
21,21,mean,meas,0.19169487954863826
21,21,mean,ref,0.20914155098217005
21,21,sd,meas,0.07761046692291244
21,21,sd,ref,0.08390544254070532
21,21,kurtosis,meas,53.68866311644324
21,21,kurtosis,ref,6.329275740949913
21,21,skewness,meas,4.904736062350223
21,21,skewness,ref,1.1938327060003742
21,21,KL,NA,0.262599035090313
21,21,hellinger,NA,0.17774169447880706
21,21,euclidean,NA,0.14784781082091009
22,16,mean,meas,0.1972043937067184
22,16,mean,ref,0.2756394507081407
22,16,sd,meas,0.057647133054854076
22,16,sd,ref,0.12821199107698142
22,16,kurtosis,meas,2.729463588410028
22,16,kurtosis,ref,5.353869314728582
22,16,skewness,meas,0.616311464085403
22,16,skewness,ref,1.6974787415703068
22,16,KL,NA,1.419977803897266
22,16,hellinger,NA,0.35513517737666517
22,16,euclidean,NA,0.22898409523069257
23,12,mean,meas,0.22488359119001228
23,12,mean,ref,0.26145650476267585
23,12,sd,meas,0.0634140437409004
23,12,sd,ref,0.06675864451339895
23,12,kurtosis,meas,11.739953323974321
23,12,kurtosis,ref,2.710885591228266
23,12,skewness,meas,1.8910236489693013
23,12,skewness,ref,0.43630317904561977
23,12,KL,NA,0.23813711030568974
23,12,hellinger,NA,0.23013116045484977
23,12,euclidean,NA,0.23343529580569886
24,8,mean,meas,0.24874762491180602
24,8,mean,ref,0.21078606065564853
24,8,sd,meas,0.06637767523836628
24,8,sd,ref,0.05348190221002797
24,8,kurtosis,meas,2.8739308109413613
24,8,kurtosis,ref,3.726100222806954
24,8,skewness,meas,0.457611860912618
24,8,skewness,ref,0.9156322314040737
24,8,KL,NA,0.23619597364420444
24,8,hellinger,NA,0.2475505376229561
24,8,euclidean,NA,0.2714188947190776
25,33,mean,meas,0.20616175187170915
25,33,mean,ref,0.2692343782996965
25,33,sd,meas,0.06987308684469655
25,33,sd,ref,0.20956898783934938
25,33,kurtosis,meas,4.209002392838451
25,33,kurtosis,ref,16.09240372208088
25,33,skewness,meas,1.2253252882482144
25,33,skewness,ref,2.9538222878516596
25,33,KL,NA,1.0006863909915664
25,33,hellinger,NA,0.2756136310381284
25,33,euclidean,NA,0.17610777737809097
26,17,mean,meas,0.19765752179747959
26,17,mean,ref,0.25507620365575356
26,17,sd,meas,0.10383681294254936
26,17,sd,ref,0.1186859711001173
26,17,kurtosis,meas,11.117419580116685
26,17,kurtosis,ref,5.406000631032324
26,17,skewness,meas,2.3585329234906265
26,17,skewness,ref,1.4384239989033043
26,17,KL,NA,0.2212887393917033
26,17,hellinger,NA,0.23905717751929348
26,17,euclidean,NA,0.22591880092354677
27,21,mean,meas,0.16418258113141837
27,21,mean,ref,0.23333925377699466
27,21,sd,meas,0.1099355770378157
27,21,sd,ref,0.154525329033253
27,21,kurtosis,meas,14.616541622643828
27,21,kurtosis,ref,7.7517964948219875
27,21,skewness,meas,2.742062379167425
27,21,skewness,ref,2.067737140226555
27,21,KL,NA,0.40548812943035045
27,21,hellinger,NA,0.27634819676074124
27,21,euclidean,NA,0.2596600302440185
28,30,mean,meas,0.1548324326699935
28,30,mean,ref,0.22189019708861
28,30,sd,meas,0.1198446726640483
28,30,sd,ref,0.16957889097834714
28,30,kurtosis,meas,6.119888443560588
28,30,kurtosis,ref,12.918717900261129
28,30,skewness,meas,1.872634795306069
28,30,skewness,ref,2.6719073119221743
28,30,KL,NA,0.48196813976982505
28,30,hellinger,NA,0.2931528689318187
28,30,euclidean,NA,0.27276119122804915
29,18,mean,meas,0.15226001308247675
29,18,mean,ref,0.2074918412533513
29,18,sd,meas,0.11908169588615483
29,18,sd,ref,0.12467880358786546
29,18,kurtosis,meas,10.719903307493515
29,18,kurtosis,ref,9.486041604117515
29,18,skewness,meas,2.4723135512103345
29,18,skewness,ref,2.181624010898074
29,18,KL,NA,0.4068195912960129
29,18,hellinger,NA,0.32857704925129727
29,18,euclidean,NA,0.35338183325720585
30,37,mean,meas,0.12127975390311768
30,37,mean,ref,0.22959992563087794
30,37,sd,meas,0.06557613466331819
30,37,sd,ref,0.15694218693982076
30,37,kurtosis,meas,9.754641576390293
30,37,kurtosis,ref,33.4844942807278
30,37,skewness,meas,1.8165099080686913
30,37,skewness,ref,4.316912606709089
30,37,KL,NA,1.262247526029072
30,37,hellinger,NA,0.47252120440980894
30,37,euclidean,NA,0.4042120030545515
31,34,mean,meas,0.14156069833008844
31,34,mean,ref,0.20493848920696042
31,34,sd,meas,0.04843713150910098
31,34,sd,ref,0.1432881312252449
31,34,kurtosis,meas,11.360976431044671
31,34,kurtosis,ref,31.742024862315805
31,34,skewness,meas,2.3517063284865487
31,34,skewness,ref,4.256117634942711
31,34,KL,NA,0.6021388162205772
31,34,hellinger,NA,0.28339455005694203
31,34,euclidean,NA,0.287955679527907
32,115,mean,meas,0.1534150997446432
32,115,mean,ref,0.3220850730677642
32,115,sd,meas,0.06243896951408987
32,115,sd,ref,0.5010106616407468
32,115,kurtosis,meas,8.88165886093094
32,115,kurtosis,ref,102.21012497872393
32,115,skewness,meas,1.788098251246399
32,115,skewness,ref,9.552817370007782
32,115,KL,NA,1.46333151261917
32,115,hellinger,NA,0.49817033202798555
32,115,euclidean,NA,0.4623429354322765
33,14,mean,meas,0.17356095831930166
33,14,mean,ref,0.20914155098217005
33,14,sd,meas,0.05615865713353427
33,14,sd,ref,0.08390544254070532
33,14,kurtosis,meas,5.312047326589089
33,14,kurtosis,ref,6.329275740949913
33,14,skewness,meas,1.1230516109624291
33,14,skewness,ref,1.1938327060003742
33,14,KL,NA,0.2254709347228433
33,14,hellinger,NA,0.21125369937830724
33,14,euclidean,NA,0.20685885526356032
34,10,mean,meas,0.2329607281188584
34,10,mean,ref,0.2712697307493004
34,10,sd,meas,0.05634248886651761
34,10,sd,ref,0.08970054142239542
34,10,kurtosis,meas,2.4261195844992334
34,10,kurtosis,ref,4.852168186332014
34,10,skewness,meas,0.2818796548393431
