mos_into_deployment,pdf_resolution,statistic,plottype,value
0,27,mean,meas,0.20830987493784203
0,27,mean,ref,0.20830987493784203
0,27,sd,meas,0.08348493965038552
0,27,sd,ref,0.08348493965038552
0,27,kurtosis,meas,103.45107462178129
0,27,kurtosis,ref,103.45107462178129
0,27,skewness,meas,7.514580543023294
0,27,skewness,ref,7.514580543023294
0,27,KL,NA,0
0,27,hellinger,NA,0
0,27,euclidean,NA,0
1,10,mean,meas,0.20297775661852174
1,10,mean,ref,0.20297775661852174
1,10,sd,meas,0.07942568591870668
1,10,sd,ref,0.07942568591870668
1,10,kurtosis,meas,5.351799587386613
1,10,kurtosis,ref,5.351799587386613
1,10,skewness,meas,1.4229728175317766
1,10,skewness,ref,1.4229728175317766
1,10,KL,NA,0
1,10,hellinger,NA,0
1,10,euclidean,NA,0
2,182,mean,meas,0.2531250892738957
2,182,mean,ref,0.2531250892738957
2,182,sd,meas,0.4067792902561762
2,182,sd,ref,0.4067792902561762
2,182,kurtosis,meas,413.98897438850497
2,182,kurtosis,ref,413.98897438850497
2,182,skewness,meas,19.057421517766073
2,182,skewness,ref,19.057421517766073
2,182,KL,NA,0
2,182,hellinger,NA,0
2,182,euclidean,NA,0
3,27,mean,meas,0.21714621258562786
3,27,mean,ref,0.21714621258562786
3,27,sd,meas,0.17220578531950703
3,27,sd,ref,0.17220578531950703
3,27,kurtosis,meas,19.2203758327241
3,27,kurtosis,ref,19.2203758327241
3,27,skewness,meas,3.7032976571275458
3,27,skewness,ref,3.7032976571275458
3,27,KL,NA,0
3,27,hellinger,NA,0
3,27,euclidean,NA,0
4,16,mean,meas,0.24306911265132874
4,16,mean,ref,0.24306911265132874
4,16,sd,meas,0.14601314153825468
4,16,sd,ref,0.14601314153825468
4,16,kurtosis,meas,7.8694127562687655
4,16,kurtosis,ref,7.8694127562687655
4,16,skewness,meas,2.1149294474863756
4,16,skewness,ref,2.1149294474863756
4,16,KL,NA,0
4,16,hellinger,NA,0
4,16,euclidean,NA,0
5,54,mean,meas,0.19023407257777264
5,54,mean,ref,0.19023407257777264
5,54,sd,meas,0.13615393620384242
5,54,sd,ref,0.13615393620384242
5,54,kurtosis,meas,163.24788512773063
5,54,kurtosis,ref,163.24788512773063
5,54,skewness,meas,9.970224425922911
5,54,skewness,ref,9.970224425922911
5,54,KL,NA,0
5,54,hellinger,NA,0
5,54,euclidean,NA,0
6,11,mean,meas,0.17703520483707444
6,11,mean,ref,0.17703520483707444
6,11,sd,meas,0.06619864966601939
6,11,sd,ref,0.06619864966601939
6,11,kurtosis,meas,8.359511598561816
6,11,kurtosis,ref,8.359511598561816
6,11,skewness,meas,1.9011581991092488
6,11,skewness,ref,1.9011581991092488
6,11,KL,NA,0
6,11,hellinger,NA,0
6,11,euclidean,NA,0
7,18,mean,meas,0.1787334757389239
7,18,mean,ref,0.1787334757389239
7,18,sd,meas,0.07851385773203458
7,18,sd,ref,0.07851385773203458
7,18,kurtosis,meas,22.260065866264064
7,18,kurtosis,ref,22.260065866264064
7,18,skewness,meas,3.249852945712059
7,18,skewness,ref,3.249852945712059
7,18,KL,NA,0
7,18,hellinger,NA,0
7,18,euclidean,NA,0
8,9,mean,meas,0.19003698283608153
8,9,mean,ref,0.19003698283608153
8,9,sd,meas,0.061932735063072154
8,9,sd,ref,0.061932735063072154
8,9,kurtosis,meas,4.479797732658972
8,9,kurtosis,ref,4.479797732658972
8,9,skewness,meas,0.8938224299663742
8,9,skewness,ref,0.8938224299663742
8,9,KL,NA,0
8,9,hellinger,NA,0
8,9,euclidean,NA,0
9,38,mean,meas,0.23157138597098376
9,38,mean,ref,0.23157138597098376
9,38,sd,meas,0.11209459833700797
9,38,sd,ref,0.11209459833700797
9,38,kurtosis,meas,108.53948024357594
9,38,kurtosis,ref,108.53948024357594
9,38,skewness,meas,7.524480099752064
9,38,skewness,ref,7.524480099752064
9,38,KL,NA,0
9,38,hellinger,NA,0
9,38,euclidean,NA,0
10,13,mean,meas,0.3537819854976816
10,13,mean,ref,0.3537819854976816
10,13,sd,meas,0.17344826937507385
10,13,sd,ref,0.17344826937507385
10,13,kurtosis,meas,2.648996025694564
10,13,kurtosis,ref,2.648996025694564
10,13,skewness,meas,0.9493404268905711
10,13,skewness,ref,0.9493404268905711
10,13,KL,NA,0
10,13,hellinger,NA,0
10,13,euclidean,NA,0
11,8,mean,meas,0.2641038103096334
11,8,mean,ref,0.2641038103096334
11,8,sd,meas,0.06089519329209187
11,8,sd,ref,0.06089519329209187
11,8,kurtosis,meas,3.617219360589666
11,8,kurtosis,ref,3.617219360589666
11,8,skewness,meas,0.5497744970927989
11,8,skewness,ref,0.5497744970927989
11,8,KL,NA,0
11,8,hellinger,NA,0
11,8,euclidean,NA,0
12,27,mean,meas,0.26550633542224994
12,27,mean,ref,0.20830987493784203
12,27,sd,meas,0.07196486684904212
12,27,sd,ref,0.08348493965038552
12,27,kurtosis,meas,6.552888583961871
12,27,kurtosis,ref,103.45107462178129
12,27,skewness,meas,1.448791889608624
12,27,skewness,ref,7.514580543023294
12,27,KL,NA,0.8145250589029701
12,27,hellinger,NA,0.3799943627832008
12,27,euclidean,NA,0.3144402694500801
13,22,mean,meas,0.24169860659283438
13,22,mean,ref,0.20297775661852174
13,22,sd,meas,0.09989249486490832
13,22,sd,ref,0.07942568591870668
13,22,kurtosis,meas,25.082068688646935
13,22,kurtosis,ref,5.351799587386613
13,22,skewness,meas,3.2991812820734068
13,22,skewness,ref,1.4229728175317766
13,22,KL,NA,0.24943940524157426
13,22,hellinger,NA,0.2329740945807581
13,22,euclidean,NA,0.23792487324937794
14,182,mean,meas,0.2493420598158035
14,182,mean,ref,0.2531250892738957
14,182,sd,meas,0.1255816525518146
14,182,sd,ref,0.4067792902561762
14,182,kurtosis,meas,10.725900318966618
14,182,kurtosis,ref,413.98897438850497
14,182,skewness,meas,2.3360713480735487
14,182,skewness,ref,19.057421517766073
14,182,KL,NA,0.2805229357208461
14,182,hellinger,NA,0.1654507328378446
14,182,euclidean,NA,0.08914105550009811
15,27,mean,meas,0.2643245345139458
15,27,mean,ref,0.21714621258562786
15,27,sd,meas,0.1746562269612188
15,27,sd,ref,0.17220578531950703
15,27,kurtosis,meas,12.33984091534761
15,27,kurtosis,ref,19.2203758327241
15,27,skewness,meas,2.7615922739717136
15,27,skewness,ref,3.7032976571275458
15,27,KL,NA,0.6415368580753087
15,27,hellinger,NA,0.2499021528372051
15,27,euclidean,NA,0.18119017657519604
16,20,mean,meas,0.21420614352638914
