mos_into_deployment,pdf_resolution,statistic,plottype,value
0,21,mean,meas,0.28953426165656065
0,21,mean,ref,0.28953426165656065
0,21,sd,meas,0.16833034784302486
0,21,sd,ref,0.16833034784302486
0,21,kurtosis,meas,5.75634797199445
0,21,kurtosis,ref,5.75634797199445
0,21,skewness,meas,1.6076783403464991
0,21,skewness,ref,1.6076783403464991
0,21,KL,NA,0
0,21,hellinger,NA,0
0,21,euclidean,NA,0
1,20,mean,meas,0.22591750094390756
1,20,mean,ref,0.22591750094390756
1,20,sd,meas,0.12327853052977827
1,20,sd,ref,0.12327853052977827
1,20,kurtosis,meas,12.685502535425398
1,20,kurtosis,ref,12.685502535425398
1,20,skewness,meas,2.708598474026417
1,20,skewness,ref,2.708598474026417
1,20,KL,NA,0
1,20,hellinger,NA,0
1,20,euclidean,NA,0
2,26,mean,meas,0.2916727473454701
2,26,mean,ref,0.2916727473454701
2,26,sd,meas,0.23407627900411102
2,26,sd,ref,0.23407627900411102
2,26,kurtosis,meas,7.936331417787824
2,26,kurtosis,ref,7.936331417787824
2,26,skewness,meas,2.2821983661149177
2,26,skewness,ref,2.2821983661149177
2,26,KL,NA,0
2,26,hellinger,NA,0
2,26,euclidean,NA,0
3,22,mean,meas,0.2293522689737273
3,22,mean,ref,0.2293522689737273
3,22,sd,meas,0.11073084232809088
3,22,sd,ref,0.11073084232809088
3,22,kurtosis,meas,20.050319336465584
3,22,kurtosis,ref,20.050319336465584
3,22,skewness,meas,3.193063053995429
3,22,skewness,ref,3.193063053995429
3,22,KL,NA,0
3,22,hellinger,NA,0
3,22,euclidean,NA,0
4,26,mean,meas,0.22943438094648597
4,26,mean,ref,0.22943438094648597
4,26,sd,meas,0.13164495746462349
4,26,sd,ref,0.13164495746462349
4,26,kurtosis,meas,21.572337867467198
4,26,kurtosis,ref,21.572337867467198
4,26,skewness,meas,3.7718109373737123
4,26,skewness,ref,3.7718109373737123
4,26,KL,NA,0
4,26,hellinger,NA,0
4,26,euclidean,NA,0
5,17,mean,meas,0.2019034561639551
