mos_into_deployment,pdf_resolution,statistic,plottype,value
0,47,mean,meas,0.1495730131679784
0,47,mean,ref,0.19498302469135803
0,47,sd,meas,0.12244116275976716
0,47,sd,ref,0.08099494148411272
0,47,kurtosis,meas,185.6487868949574
0,47,kurtosis,ref,16.610413962712656
0,47,skewness,meas,11.611078832629737
0,47,skewness,ref,3.2857604325730505
0,47,KL,NA,0.6788518144396927
0,47,hellinger,NA,0.46026808026667726
0,47,euclidean,NA,0.5235330692854703
1,8,mean,meas,0.15184516584886748
1,8,mean,ref,0.17111094674556213
1,8,sd,meas,0.047476888198404676
1,8,sd,ref,0.0422971267563541
1,8,kurtosis,meas,7.962827043554388
1,8,kurtosis,ref,10.651348853024151
1,8,skewness,meas,1.9131984676829654
1,8,skewness,ref,2.387057305432572
1,8,KL,NA,0.19622656682422018
1,8,hellinger,NA,0.24539190928074625
1,8,euclidean,NA,0.3399817752659805
2,8,mean,meas,0.16206902918696994
2,8,mean,ref,0.16584745762711864
2,8,sd,meas,0.05169140933313676
2,8,sd,ref,0.04483992470824634
2,8,kurtosis,meas,4.091985676247519
2,8,kurtosis,ref,5.309321331462696
2,8,skewness,meas,0.9122685808498914
2,8,skewness,ref,1.450809662284346
2,8,KL,NA,0.06880082590910419
2,8,hellinger,NA,0.17880937137773234
2,8,euclidean,NA,0.08943472735329004
3,16,mean,meas,0.26028549219601504
3,16,mean,ref,0.28065765765765766
3,16,sd,meas,0.13749882054327944
3,16,sd,ref,0.17383548503848498
3,16,kurtosis,meas,5.34891907260571
3,16,kurtosis,ref,5.355986628296546
3,16,skewness,meas,1.8110770922935078
3,16,skewness,ref,1.829584957698397
3,16,KL,NA,0.46768840010537394
3,16,hellinger,NA,0.20393377255648537
3,16,euclidean,NA,0.10676004322053301
4,13,mean,meas,0.23073861114659558
4,13,mean,ref,0.21652807283763278
4,13,sd,meas,0.05501549470429038
4,13,sd,ref,0.06529994194028828
4,13,kurtosis,meas,3.562044334427067
4,13,kurtosis,ref,10.862486223460015
4,13,skewness,meas,0.5196234654760427
4,13,skewness,ref,1.5721633929162844
4,13,KL,NA,0.10006767259222787
4,13,hellinger,NA,0.12307733122181315
4,13,euclidean,NA,0.12005465161012822
5,20,mean,meas,0.2335424477481405
5,20,mean,ref,0.2357524893314367
5,20,sd,meas,0.07005058359741012
5,20,sd,ref,0.06054024270998709
5,20,kurtosis,meas,56.48904608667992
5,20,kurtosis,ref,9.212614222653677
5,20,skewness,meas,5.070262598403667
5,20,skewness,ref,1.770601653149942
5,20,KL,NA,0.02995574745835465
5,20,hellinger,NA,0.07060333328406992
5,20,euclidean,NA,0.053974539749294954
6,12,mean,meas,0.22725016553415556
6,12,mean,ref,0.244373572593801
6,12,sd,meas,0.06911608546261214
6,12,sd,ref,0.08483108410165921
6,12,kurtosis,meas,5.668442149243732
6,12,kurtosis,ref,6.742101127302019
6,12,skewness,meas,1.4335155830402468
6,12,skewness,ref,1.5848550873537521
6,12,KL,NA,0.09039542653848312
6,12,hellinger,NA,0.12000492783808821
6,12,euclidean,NA,0.08647780420638475
7,17,mean,meas,0.21634675417186075
7,17,mean,ref,0.24366760563380283
7,17,sd,meas,0.09308098274482268
7,17,sd,ref,0.10597382088125103
7,17,kurtosis,meas,10.186368140025728
7,17,kurtosis,ref,8.325357283136002
7,17,skewness,meas,2.314520701005864
7,17,skewness,ref,2.107557718706554
7,17,KL,NA,0.16017761328246
7,17,hellinger,NA,0.18451186601442188
7,17,euclidean,NA,0.16517956313124385
8,40,mean,meas,0.18967494102278804
8,40,mean,ref,0.24796938775510205
8,40,sd,meas,0.11445979042757631
8,40,sd,ref,0.1190936597449647
8,40,kurtosis,meas,96.19149038800239
8,40,kurtosis,ref,9.954784124604759
8,40,skewness,meas,6.998050688167383
8,40,skewness,ref,2.4723166072609266
8,40,KL,NA,0.6334836402185767
8,40,hellinger,NA,0.3810876016865437
8,40,euclidean,NA,0.3895999776183269
9,23,mean,meas,0.20833194731070093
9,23,mean,ref,0.29096629213483144
9,23,sd,meas,0.12361653733178112
9,23,sd,ref,0.18078462833962863
9,23,kurtosis,meas,9.323003243796322
9,23,kurtosis,ref,8.648698785151382
9,23,skewness,meas,2.2052805076525113
9,23,skewness,ref,2.282369311795024
9,23,KL,NA,0.5694521899963002
9,23,hellinger,NA,0.35603210529298074
9,23,euclidean,NA,0.3270595528653858
10,23,mean,meas,0.1549951116845016
10,23,mean,ref,0.23094281729428173
10,23,sd,meas,0.06853152767708885
10,23,sd,ref,0.10116033967586646
10,23,kurtosis,meas,12.85412548524036
10,23,kurtosis,ref,24.68832573711329
10,23,skewness,meas,2.3487607573243956
10,23,skewness,ref,3.885589825588639
10,23,KL,NA,0.975845603328667
10,23,hellinger,NA,0.5430955785771496
10,23,euclidean,NA,0.55513983118966
11,164,mean,meas,0.16107446991609647
11,164,mean,ref,0.2386403641881639
11,164,sd,meas,0.32587265753855665
11,164,sd,ref,0.13178760294211617
11,164,kurtosis,meas,574.7390387645398
11,164,kurtosis,ref,15.63816324625923
11,164,skewness,meas,23.30777221793804
11,164,skewness,ref,3.2614898430084023
11,164,KL,NA,1.1559478726986205
11,164,hellinger,NA,0.5849321063949587
11,164,euclidean,NA,0.6483417628165302
12,16,mean,meas,0.13902317906288933
12,16,mean,ref,0.19805295007564297
12,16,sd,meas,0.05748243862551969
12,16,sd,ref,0.07640429889090758
12,16,kurtosis,meas,11.594452570059527
12,16,kurtosis,ref,22.347518531672847
12,16,skewness,meas,2.4156748915013795
12,16,skewness,ref,3.692533826822709
12,16,KL,NA,0.9138276895301926
12,16,hellinger,NA,0.5158924021779501
12,16,euclidean,NA,0.6345896003288034
13,14,mean,meas,0.14311527382484437
13,14,mean,ref,0.19446859903381641
13,14,sd,meas,0.05394954961272612
13,14,sd,ref,0.07925170501040903
13,14,kurtosis,meas,38.090605636816235
13,14,kurtosis,ref,16.382481413988025
13,14,skewness,meas,4.458396894471231
13,14,skewness,ref,3.3026034146681216
13,14,KL,NA,0.9986876302427303
13,14,hellinger,NA,0.49727580576106906
13,14,euclidean,NA,0.6882444191726506
14,0,mean,meas,0.1654996627828139
14,0,mean,ref,NA
14,0,sd,meas,0.04958051814713104
14,0,sd,ref,NA
14,0,kurtosis,meas,7.843243251173829
14,0,kurtosis,ref,NA
14,0,skewness,meas,1.3971180803843637
14,0,skewness,ref,NA
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,0.20204889049908795
15,0,mean,ref,NA
15,0,sd,meas,0.21071353640222426
15,0,sd,ref,NA
15,0,kurtosis,meas,139.49897320253558
15,0,kurtosis,ref,NA
15,0,skewness,meas,10.701733597528296
15,0,skewness,ref,NA
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,0.23694196853658767
16,0,mean,ref,NA
16,0,sd,meas,0.09886709882506693
16,0,sd,ref,NA
16,0,kurtosis,meas,87.82112431542845
16,0,kurtosis,ref,NA
16,0,skewness,meas,7.5214281369786296
16,0,skewness,ref,NA
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,0.21767417671298378
17,0,mean,ref,NA
17,0,sd,meas,0.051976771505083764
17,0,sd,ref,NA
17,0,kurtosis,meas,3.0660624500369287
17,0,kurtosis,ref,NA
17,0,skewness,meas,0.684779150300409
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,0.1847180561775986
18,0,mean,ref,NA
