mos_into_deployment,pdf_resolution,statistic,plottype,value
0,0,mean,meas,0.21248440160009385
0,0,mean,ref,NA
0,0,sd,meas,0.053688055992249975
0,0,sd,ref,NA
0,0,kurtosis,meas,16.204795194414476
0,0,kurtosis,ref,NA
0,0,skewness,meas,2.5385518753502843
0,0,skewness,ref,NA
0,0,KL,NA,NA
0,0,hellinger,NA,NA
0,0,euclidean,NA,NA
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,0,mean,meas,0.19645901444141867
2,0,mean,ref,NA
2,0,sd,meas,0.1667266641101672
2,0,sd,ref,NA
2,0,kurtosis,meas,110.33127713999403
2,0,kurtosis,ref,NA
2,0,skewness,meas,10.225683275053646
2,0,skewness,ref,NA
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,0.18129947052012774
3,0,mean,ref,NA
3,0,sd,meas,0.03744874220905015
3,0,sd,ref,NA
3,0,kurtosis,meas,4.977425581985412
3,0,kurtosis,ref,NA
3,0,skewness,meas,1.1398592446222482
3,0,skewness,ref,NA
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,0.18564746796484788
4,0,mean,ref,NA
4,0,sd,meas,0.027124664829780855
4,0,sd,ref,NA
4,0,kurtosis,meas,3.5059014850376458
4,0,kurtosis,ref,NA
4,0,skewness,meas,0.4372889078617525
4,0,skewness,ref,NA
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,0.1926994708028174
5,0,mean,ref,NA
5,0,sd,meas,0.035781599321346926
5,0,sd,ref,NA
5,0,kurtosis,meas,4.647953227127112
5,0,kurtosis,ref,NA
5,0,skewness,meas,1.0870943422200654
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,0.1892587408838253
6,0,mean,ref,NA
6,0,sd,meas,0.09524668686118293
6,0,sd,ref,NA
6,0,kurtosis,meas,234.24524725341183
6,0,kurtosis,ref,NA
6,0,skewness,meas,11.936484552925878
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,0.2482880845899512
7,0,mean,ref,NA
7,0,sd,meas,0.10742877335491162
7,0,sd,ref,NA
7,0,kurtosis,meas,6.920550045529669
7,0,kurtosis,ref,NA
7,0,skewness,meas,1.7027290839319698
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,38,mean,meas,0.19705958227880244
8,38,mean,ref,0.42266260162601627
8,38,sd,meas,0.07810552483514613
8,38,sd,ref,0.2638886313568836
8,38,kurtosis,meas,27.22118731157187
8,38,kurtosis,ref,9.568728246491075
8,38,skewness,meas,4.036548733865207
8,38,skewness,ref,2.2202555182376935
8,38,KL,NA,2.028702806026193
8,38,hellinger,NA,0.5540115959844167
8,38,euclidean,NA,0.4826058169489039
9,36,mean,meas,0.20199420210057553
9,36,mean,ref,0.4328510028653295
9,36,sd,meas,0.08736408510694182
9,36,sd,ref,0.26760418130904845
9,36,kurtosis,meas,14.908741421591891
9,36,kurtosis,ref,10.234660756637712
9,36,skewness,meas,3.0535487732582753
9,36,skewness,ref,2.3646309868875637
9,36,KL,NA,1.6901774913161143
9,36,hellinger,NA,0.5419726126408481
9,36,euclidean,NA,0.48753573008842693
10,33,mean,meas,0.1978376516474379
10,33,mean,ref,0.3991244695898161
10,33,sd,meas,0.04886465624408311
10,33,sd,ref,0.18826762431814115
10,33,kurtosis,meas,5.620128478121303
10,33,kurtosis,ref,12.323736072744522
10,33,skewness,meas,1.3300330452131572
10,33,skewness,ref,2.252154886431653
10,33,KL,NA,3.936628669144616
10,33,hellinger,NA,0.6263068633640643
10,33,euclidean,NA,0.5425724333624525
11,35,mean,meas,0.19086332802961364
11,35,mean,ref,0.3643443396226415
11,35,sd,meas,0.09945848076429642
11,35,sd,ref,0.1635160113502946
11,35,kurtosis,meas,145.49405890816442
11,35,kurtosis,ref,7.825284619187926
11,35,skewness,meas,10.09950507101872
11,35,skewness,ref,1.6955614786044386
11,35,KL,NA,2.61595408801568
11,35,hellinger,NA,0.6049989279252208
11,35,euclidean,NA,0.5128864234186729
12,22,mean,meas,0.16825341619512668
12,22,mean,ref,0.334093415007657
12,22,sd,meas,0.03990460129449091
12,22,sd,ref,0.16633438539075387
12,22,kurtosis,meas,8.197567261444194
12,22,kurtosis,ref,8.444653010029253
12,22,skewness,meas,1.859793375109539
12,22,skewness,ref,1.9846578388746132
12,22,KL,NA,2.8374527680561377
12,22,hellinger,NA,0.6148342513040862
12,22,euclidean,NA,0.5145040191361807
13,0,mean,meas,NA
13,0,mean,ref,0.3037425149700599
13,0,sd,meas,NA
13,0,sd,ref,0.13349561427008605
13,0,kurtosis,meas,NA
13,0,kurtosis,ref,5.073909075583105
13,0,skewness,meas,NA
13,0,skewness,ref,1.265037038612458
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,NA
14,0,mean,ref,0.3364691943127962
14,0,sd,meas,NA
14,0,sd,ref,0.14553438004193928
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,3.3705174826760387
14,0,skewness,meas,NA
14,0,skewness,ref,0.8980511354425371
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.48331699346405227
15,0,sd,meas,NA
15,0,sd,ref,0.3074206043716902
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,8.186613814369396
15,0,skewness,meas,NA
15,0,skewness,ref,1.6971969527052468
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.6331265432098765
16,0,sd,meas,NA
16,0,sd,ref,0.16704869591218316
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,3.405450809113039
16,0,skewness,meas,NA
16,0,skewness,ref,0.2466866594018257
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,36,mean,meas,0.295598364667688
17,36,mean,ref,0.4223258110014104
17,36,sd,meas,0.1470749103198972
17,36,sd,ref,0.1592428844238602
17,36,kurtosis,meas,82.83163063756474
17,36,kurtosis,ref,3.409715516137351
17,36,skewness,meas,7.702486615909205
17,36,skewness,ref,0.7599488040945931
17,36,KL,NA,2.112237710281311
17,36,hellinger,NA,0.44306707126606026
17,36,euclidean,NA,0.2809969323149452
18,21,mean,meas,0.2820016681469286
18,21,mean,ref,0.3841105527638191
18,21,sd,meas,0.09624298307029203
18,21,sd,ref,0.18433023465667958
18,21,kurtosis,meas,10.328831222671754
18,21,kurtosis,ref,5.2560555054125
18,21,skewness,meas,2.2187374410146004
18,21,skewness,ref,1.3883124335711399
18,21,KL,NA,0.47579026873648805
18,21,hellinger,NA,0.2832822145752983
18,21,euclidean,NA,0.21094725820683
19,31,mean,meas,0.323156709151412
19,31,mean,ref,0.4579888111888112
19,31,sd,meas,0.16054264330223603
19,31,sd,ref,0.20381607265197174
19,31,kurtosis,meas,12.481852346261244
19,31,kurtosis,ref,7.060700175448771
19,31,skewness,meas,2.547708687019527
19,31,skewness,ref,1.4282958359586455
19,31,KL,NA,0.5817243847184935
19,31,hellinger,NA,0.34243454591400196
19,31,euclidean,NA,0.281492609663943
20,31,mean,meas,0.3524310657906293
20,31,mean,ref,0.471965625
20,31,sd,meas,0.20521942991778594
20,31,sd,ref,0.2255170974844806
20,31,kurtosis,meas,7.478950401773631
20,31,kurtosis,ref,6.547315801631605
20,31,skewness,meas,2.0964285543125913
20,31,skewness,ref,1.4559907826849972
20,31,KL,NA,0.4336052345538798
20,31,hellinger,NA,0.30391910681913187
20,31,euclidean,NA,0.24708893000812834
21,36,mean,meas,0.4084432702789332
21,36,mean,ref,0.4988326300984529
21,36,sd,meas,0.2595156423483914
21,36,sd,ref,0.28443044418919783
21,36,kurtosis,meas,6.0880297851772145
21,36,kurtosis,ref,6.488821187878806
21,36,skewness,meas,1.7632466118273176
21,36,skewness,ref,1.6759691049019707
21,36,KL,NA,0.25317190029721504
21,36,hellinger,NA,0.22548850817772384
21,36,euclidean,NA,0.185204709516849
22,28,mean,meas,0.3453408540689607
22,28,mean,ref,0.40568232044198893
22,28,sd,meas,0.15534491296309005
22,28,sd,ref,0.19643551457983793
22,28,kurtosis,meas,6.096486133637918
22,28,kurtosis,ref,8.670912538314136
22,28,skewness,meas,1.6654590416969948
22,28,skewness,ref,1.8877680547541942
22,28,KL,NA,0.17399920992939305
22,28,hellinger,NA,0.17615464082374205
22,28,euclidean,NA,0.14246810825114709
23,27,mean,meas,0.35030658363181977
23,27,mean,ref,0.38126347305389224
23,27,sd,meas,0.19339083579771532
23,27,sd,ref,0.18670275435534375
23,27,kurtosis,meas,6.949138678543747
23,27,kurtosis,ref,7.327055384385024
23,27,skewness,meas,1.7806550669205055
23,27,skewness,ref,1.838386686407785
23,27,KL,NA,0.13360109213480326
23,27,hellinger,NA,0.18436495013804488
23,27,euclidean,NA,0.1633868994067801
24,26,mean,meas,0.26480871938322226
24,26,mean,ref,0.3411553672316384
24,26,sd,meas,0.13125648167049472
24,26,sd,ref,0.1676540643812206
24,26,kurtosis,meas,11.300684335021238
24,26,kurtosis,ref,8.567144988093723
24,26,skewness,meas,2.448823538707846
24,26,skewness,ref,2.0322318080344832
24,26,KL,NA,0.3123742191713355
24,26,hellinger,NA,0.255573888970451
24,26,euclidean,NA,0.2513614492609151
25,33,mean,meas,0.2117843035581676
25,33,mean,ref,0.28643211678832114
25,33,sd,meas,0.07651506994475692
25,33,sd,ref,0.14995404799759005
25,33,kurtosis,meas,25.56147265427638
25,33,kurtosis,ref,23.092509712881444
25,33,skewness,meas,3.5491804963797264
25,33,skewness,ref,3.3316485657936887
25,33,KL,NA,0.5263003926071851
25,33,hellinger,NA,0.2822544169176064
25,33,euclidean,NA,0.24333365353968
26,17,mean,meas,0.2047158363057104
26,17,mean,ref,0.28860224089635855
26,17,sd,meas,0.053594884858554105
26,17,sd,ref,0.12642957026030566
26,17,kurtosis,meas,4.3667770225362394
26,17,kurtosis,ref,4.491130324840517
26,17,skewness,meas,1.2129466547490333
26,17,skewness,ref,1.2400154967350954
26,17,KL,NA,1.96980576063241
26,17,hellinger,NA,0.3749439503355038
26,17,euclidean,NA,0.25492627146320357
27,17,mean,meas,0.19760158408076303
27,17,mean,ref,0.3390444763271162
27,17,sd,meas,0.05076148911910399
27,17,sd,ref,0.12350367404159597
27,17,kurtosis,meas,3.2824529473836868
27,17,kurtosis,ref,4.062798189143928
27,17,skewness,meas,0.7637459967305379
27,17,skewness,ref,0.8139976203813376
27,17,KL,NA,3.7071932162063796
27,17,hellinger,NA,0.5597108443559305
27,17,euclidean,NA,0.4342910825363418
28,18,mean,meas,0.23071044393019668
28,18,mean,ref,0.38284788732394365
28,18,sd,meas,0.055142233723323414
28,18,sd,ref,0.1398562105226809
28,18,kurtosis,meas,4.43093163749326
28,18,kurtosis,ref,3.219698181525903
28,18,skewness,meas,0.9818143626105369
28,18,skewness,ref,0.6246138032663819
28,18,KL,NA,3.5546952494115023
28,18,hellinger,NA,0.5350958836251749
28,18,euclidean,NA,0.4036135365065326
29,19,mean,meas,0.24266932119395546
29,19,mean,ref,0.4048995433789954
29,19,sd,meas,0.062299877476557616
29,19,sd,ref,0.1646067624204646
29,19,kurtosis,meas,4.521886707671078
29,19,kurtosis,ref,3.8853314555082927
29,19,skewness,meas,1.0040477517091775
29,19,skewness,ref,0.9617731887215798
29,19,KL,NA,2.454849369982055
29,19,hellinger,NA,0.5022775955770884
29,19,euclidean,NA,0.365632627057354
30,18,mean,meas,0.24851369768472148
30,18,mean,ref,0.31700599700149923
30,18,sd,meas,0.07528063228159373
30,18,sd,ref,0.1656112527911949
30,18,kurtosis,meas,10.274674088920088
30,18,kurtosis,ref,3.843728694958489
30,18,skewness,meas,1.8031487777252388
30,18,skewness,ref,1.150701488729679
30,18,KL,NA,0.7949960084036566
30,18,hellinger,NA,0.3156853877081983
30,18,euclidean,NA,0.2318296655008597
31,29,mean,meas,0.2925340876879087
31,29,mean,ref,0.43688906009244993
31,29,sd,meas,0.1564210729375051
31,29,sd,ref,0.20548812712512854
31,29,kurtosis,meas,10.11054516670394
31,29,kurtosis,ref,7.470003521658066
31,29,skewness,meas,2.3522359884697566
31,29,skewness,ref,1.631737787020094
31,29,KL,NA,0.6297299038407103
31,29,hellinger,NA,0.35861806478117325
31,29,euclidean,NA,0.2888562812254046
32,33,mean,meas,0.2550048230039231
32,33,mean,ref,0.41908419497784344
32,33,sd,meas,0.1481620383961044
32,33,sd,ref,0.21197994560474145
32,33,kurtosis,meas,21.10153700031899
32,33,kurtosis,ref,5.859224032654381
32,33,skewness,meas,3.3269850080408654
32,33,skewness,ref,1.496082941692025
32,33,KL,NA,0.9515806793059836
32,33,hellinger,NA,0.41341196012594605
32,33,euclidean,NA,0.37070961409271813
33,38,mean,meas,0.329439478432105
33,38,mean,ref,0.45133776091081595
33,38,sd,meas,0.19156327450680743
33,38,sd,ref,0.24245023745058256
33,38,kurtosis,meas,12.684063809299301
33,38,kurtosis,ref,5.869881813016809
33,38,skewness,meas,2.3407110247420575
33,38,skewness,ref,1.5993542769418145
33,38,KL,NA,0.4344841020812322
33,38,hellinger,NA,0.3026323153263494
33,38,euclidean,NA,0.2567288062021177
34,0,mean,meas,0.3125262761573834
34,0,mean,ref,NA
34,0,sd,meas,0.19803785009180308
34,0,sd,ref,NA
34,0,kurtosis,meas,9.357303507892917
34,0,kurtosis,ref,NA
34,0,skewness,meas,2.344859276307484
34,0,skewness,ref,NA
34,0,KL,NA,NA
34,0,hellinger,NA,NA
34,0,euclidean,NA,NA
35,0,mean,meas,0.21597060438162505
35,0,mean,ref,NA
35,0,sd,meas,0.07570398826464014
35,0,sd,ref,NA
35,0,kurtosis,meas,16.19122454602975
35,0,kurtosis,ref,NA
35,0,skewness,meas,2.7209935947940767
35,0,skewness,ref,NA
35,0,KL,NA,NA
35,0,hellinger,NA,NA
35,0,euclidean,NA,NA
36,0,mean,meas,0.19664840694562155
36,0,mean,ref,NA
36,0,sd,meas,0.07808078279576028
36,0,sd,ref,NA
36,0,kurtosis,meas,131.56579115635375
36,0,kurtosis,ref,NA
36,0,skewness,meas,9.348121924848554
36,0,skewness,ref,NA
36,0,KL,NA,NA
36,0,hellinger,NA,NA
36,0,euclidean,NA,NA
37,0,mean,meas,0.18958437968898603
37,0,mean,ref,NA
37,0,sd,meas,0.061458433711981966
37,0,sd,ref,NA
37,0,kurtosis,meas,11.36118859415104
37,0,kurtosis,ref,NA
37,0,skewness,meas,2.169510292026578
37,0,skewness,ref,NA
37,0,KL,NA,NA
37,0,hellinger,NA,NA
37,0,euclidean,NA,NA
38,0,mean,meas,0.1949356757988521
38,0,mean,ref,NA
38,0,sd,meas,0.049665737247396105
38,0,sd,ref,NA
38,0,kurtosis,meas,2.994529439105942
38,0,kurtosis,ref,NA
38,0,skewness,meas,0.7525989657333961
38,0,skewness,ref,NA
38,0,KL,NA,NA
38,0,hellinger,NA,NA
38,0,euclidean,NA,NA
39,0,mean,meas,0.2599063161455256
39,0,mean,ref,NA
39,0,sd,meas,0.05913439137156489
39,0,sd,ref,NA
39,0,kurtosis,meas,3.987143318361597
39,0,kurtosis,ref,NA
39,0,skewness,meas,0.6751028597295571
39,0,skewness,ref,NA
39,0,KL,NA,NA
39,0,hellinger,NA,NA
39,0,euclidean,NA,NA
