mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.1862283098396214
0,11,mean,ref,0.1862283098396214
0,11,sd,meas,0.06024227730678378
0,11,sd,ref,0.06024227730678378
0,11,kurtosis,meas,4.60456130170358
0,11,kurtosis,ref,4.60456130170358
0,11,skewness,meas,0.6763047051483245
0,11,skewness,ref,0.6763047051483245
0,11,KL,NA,0
0,11,hellinger,NA,0
0,11,euclidean,NA,0
1,18,mean,meas,0.19237111769936077
1,18,mean,ref,0.19237111769936077
1,18,sd,meas,0.07658391810558048
1,18,sd,ref,0.07658391810558048
1,18,kurtosis,meas,16.231517242886518
1,18,kurtosis,ref,16.231517242886518
1,18,skewness,meas,2.226290157831982
1,18,skewness,ref,2.226290157831982
1,18,KL,NA,0
1,18,hellinger,NA,0
1,18,euclidean,NA,0
2,10,mean,meas,0.18473718322159297
2,10,mean,ref,0.18473718322159297
2,10,sd,meas,0.06689206323241342
2,10,sd,ref,0.06689206323241342
2,10,kurtosis,meas,6.021024579962506
2,10,kurtosis,ref,6.021024579962506
2,10,skewness,meas,1.5951466351410115
2,10,skewness,ref,1.5951466351410115
2,10,KL,NA,0
2,10,hellinger,NA,0
2,10,euclidean,NA,0
3,16,mean,meas,0.23395681945963967
3,16,mean,ref,0.23395681945963967
3,16,sd,meas,0.12308364144621238
3,16,sd,ref,0.12308364144621238
3,16,kurtosis,meas,6.9784929716160375
3,16,kurtosis,ref,6.9784929716160375
3,16,skewness,meas,1.9724907934862377
3,16,skewness,ref,1.9724907934862377
3,16,KL,NA,0
3,16,hellinger,NA,0
3,16,euclidean,NA,0
4,23,mean,meas,0.21825147363158262
4,23,mean,ref,0.21825147363158262
4,23,sd,meas,0.12193972650721402
4,23,sd,ref,0.12193972650721402
4,23,kurtosis,meas,12.809830631238892
4,23,kurtosis,ref,12.809830631238892
4,23,skewness,meas,2.562233983565389
4,23,skewness,ref,2.562233983565389
4,23,KL,NA,0
4,23,hellinger,NA,0
4,23,euclidean,NA,0
5,17,mean,meas,0.23290079814102174
5,17,mean,ref,0.23290079814102174
5,17,sd,meas,0.14150037555440714
5,17,sd,ref,0.14150037555440714
5,17,kurtosis,meas,9.455277575517533
5,17,kurtosis,ref,9.455277575517533
5,17,skewness,meas,2.483562493116213
5,17,skewness,ref,2.483562493116213
5,17,KL,NA,0
5,17,hellinger,NA,0
5,17,euclidean,NA,0
6,20,mean,meas,0.2053424956111081
6,20,mean,ref,0.2053424956111081
6,20,sd,meas,0.09848275941923955
6,20,sd,ref,0.09848275941923955
