mos_into_deployment,pdf_resolution,statistic,plottype,value
0,11,mean,meas,0.12471175962477749
0,11,mean,ref,0.12471175962477749
0,11,sd,meas,0.0945700893473107
0,11,sd,ref,0.0945700893473107
0,11,kurtosis,meas,17.451226841931952
0,11,kurtosis,ref,17.451226841931952
0,11,skewness,meas,-2.4292598152898615
0,11,skewness,ref,-2.4292598152898615
0,11,KL,NA,0
0,11,hellinger,NA,0
0,11,euclidean,NA,0
1,7,mean,meas,0.10629385288328408
1,7,mean,ref,0.10629385288328408
1,7,sd,meas,0.031913704652019044
1,7,sd,ref,0.031913704652019044
1,7,kurtosis,meas,11.66545319369734
1,7,kurtosis,ref,11.66545319369734
1,7,skewness,meas,2.1397280544155945
1,7,skewness,ref,2.1397280544155945
1,7,KL,NA,0
1,7,hellinger,NA,0
1,7,euclidean,NA,0
2,3,mean,meas,0.08076877889865132
2,3,mean,ref,0.08076877889865132
2,3,sd,meas,0.01799851596268867
2,3,sd,ref,0.01799851596268867
2,3,kurtosis,meas,4.988507095324882
2,3,kurtosis,ref,4.988507095324882
2,3,skewness,meas,1.225422908296263
2,3,skewness,ref,1.225422908296263
2,3,KL,NA,0
2,3,hellinger,NA,0
2,3,euclidean,NA,0
3,5,mean,meas,0.10992236823588207
3,5,mean,ref,0.10992236823588207
3,5,sd,meas,0.039310067086415
3,5,sd,ref,0.039310067086415
3,5,kurtosis,meas,3.886783579746616
3,5,kurtosis,ref,3.886783579746616
3,5,skewness,meas,1.1152462087413393
3,5,skewness,ref,1.1152462087413393
3,5,KL,NA,0
3,5,hellinger,NA,0
3,5,euclidean,NA,0
4,7,mean,meas,0.1777845359838628
4,7,mean,ref,0.1777845359838628
4,7,sd,meas,0.051445642375804006
4,7,sd,ref,0.051445642375804006
4,7,kurtosis,meas,4.139436724680714
4,7,kurtosis,ref,4.139436724680714
4,7,skewness,meas,0.8500223820424252
4,7,skewness,ref,0.8500223820424252
4,7,KL,NA,0
4,7,hellinger,NA,0
4,7,euclidean,NA,0
5,0,mean,meas,0.1468782995525816
5,0,mean,ref,0.1468782995525816
5,0,sd,meas,NA
5,0,sd,ref,NA
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,NA
5,0,skewness,meas,NA
5,0,skewness,ref,NA
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,0,mean,meas,NA
6,0,mean,ref,NA
6,0,sd,meas,NA
6,0,sd,ref,NA
6,0,kurtosis,meas,NA
6,0,kurtosis,ref,NA
6,0,skewness,meas,NA
6,0,skewness,ref,NA
6,0,KL,NA,NA
6,0,hellinger,NA,NA
6,0,euclidean,NA,NA
7,0,mean,meas,NA
7,0,mean,ref,NA
7,0,sd,meas,NA
7,0,sd,ref,NA
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,NA
7,0,skewness,meas,NA
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,NA
8,0,sd,meas,NA
8,0,sd,ref,NA
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,NA
8,0,skewness,meas,NA
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,NA
9,0,mean,ref,NA
9,0,sd,meas,NA
9,0,sd,ref,NA
9,0,kurtosis,meas,NA
9,0,kurtosis,ref,NA
9,0,skewness,meas,NA
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,NA
10,0,mean,ref,NA
10,0,sd,meas,NA
10,0,sd,ref,NA
10,0,kurtosis,meas,NA
10,0,kurtosis,ref,NA
10,0,skewness,meas,NA
10,0,skewness,ref,NA
10,0,KL,NA,NA
10,0,hellinger,NA,NA
10,0,euclidean,NA,NA
11,0,mean,meas,NA
11,0,mean,ref,NA
11,0,sd,meas,NA
11,0,sd,ref,NA
11,0,kurtosis,meas,NA
11,0,kurtosis,ref,NA
11,0,skewness,meas,NA
11,0,skewness,ref,NA
11,0,KL,NA,NA
11,0,hellinger,NA,NA
11,0,euclidean,NA,NA
12,0,mean,meas,NA
12,0,mean,ref,0.12471175962477749
12,0,sd,meas,NA
12,0,sd,ref,0.0945700893473107
12,0,kurtosis,meas,NA
12,0,kurtosis,ref,17.451226841931952
12,0,skewness,meas,NA
12,0,skewness,ref,-2.4292598152898615
12,0,KL,NA,NA
12,0,hellinger,NA,NA
12,0,euclidean,NA,NA
13,0,mean,meas,NA
13,0,mean,ref,0.10629385288328408
13,0,sd,meas,NA
13,0,sd,ref,0.031913704652019044
13,0,kurtosis,meas,NA
13,0,kurtosis,ref,11.66545319369734
13,0,skewness,meas,NA
13,0,skewness,ref,2.1397280544155945
13,0,KL,NA,NA
13,0,hellinger,NA,NA
13,0,euclidean,NA,NA
14,0,mean,meas,NA
14,0,mean,ref,0.08076877889865132
14,0,sd,meas,NA
14,0,sd,ref,0.01799851596268867
14,0,kurtosis,meas,NA
14,0,kurtosis,ref,4.988507095324882
14,0,skewness,meas,NA
14,0,skewness,ref,1.225422908296263
14,0,KL,NA,NA
14,0,hellinger,NA,NA
14,0,euclidean,NA,NA
15,0,mean,meas,NA
15,0,mean,ref,0.10992236823588207
15,0,sd,meas,NA
15,0,sd,ref,0.039310067086415
15,0,kurtosis,meas,NA
15,0,kurtosis,ref,3.886783579746616
15,0,skewness,meas,NA
15,0,skewness,ref,1.1152462087413393
15,0,KL,NA,NA
15,0,hellinger,NA,NA
15,0,euclidean,NA,NA
16,0,mean,meas,NA
16,0,mean,ref,0.1777845359838628
16,0,sd,meas,NA
16,0,sd,ref,0.051445642375804006
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,4.139436724680714
16,0,skewness,meas,NA
16,0,skewness,ref,0.8500223820424252
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,NA
17,0,mean,ref,0.1468782995525816
17,0,sd,meas,NA
17,0,sd,ref,NA
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,NA
17,0,skewness,meas,NA
17,0,skewness,ref,NA
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,NA
18,0,sd,meas,NA
18,0,sd,ref,NA
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,NA
18,0,skewness,meas,NA
18,0,skewness,ref,NA
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,NA
19,0,mean,ref,NA
19,0,sd,meas,NA
19,0,sd,ref,NA
19,0,kurtosis,meas,NA
19,0,kurtosis,ref,NA
19,0,skewness,meas,NA
19,0,skewness,ref,NA
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,NA
20,0,mean,ref,NA
20,0,sd,meas,NA
20,0,sd,ref,NA
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,NA
20,0,skewness,meas,NA
20,0,skewness,ref,NA
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,NA
21,0,mean,ref,NA
21,0,sd,meas,NA
21,0,sd,ref,NA
21,0,kurtosis,meas,NA
21,0,kurtosis,ref,NA
21,0,skewness,meas,NA
21,0,skewness,ref,NA
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,NA
22,0,mean,ref,NA
22,0,sd,meas,NA
22,0,sd,ref,NA
22,0,kurtosis,meas,NA
22,0,kurtosis,ref,NA
22,0,skewness,meas,NA
22,0,skewness,ref,NA
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,NA
23,0,mean,ref,NA
23,0,sd,meas,NA
23,0,sd,ref,NA
23,0,kurtosis,meas,NA
23,0,kurtosis,ref,NA
23,0,skewness,meas,NA
23,0,skewness,ref,NA
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,0.12471175962477749
24,0,sd,meas,NA
24,0,sd,ref,0.0945700893473107
24,0,kurtosis,meas,NA
24,0,kurtosis,ref,17.451226841931952
24,0,skewness,meas,NA
24,0,skewness,ref,-2.4292598152898615
24,0,KL,NA,NA
24,0,hellinger,NA,NA
24,0,euclidean,NA,NA
25,0,mean,meas,NA
25,0,mean,ref,0.10629385288328408
25,0,sd,meas,NA
25,0,sd,ref,0.031913704652019044
25,0,kurtosis,meas,NA
25,0,kurtosis,ref,11.66545319369734
25,0,skewness,meas,NA
25,0,skewness,ref,2.1397280544155945
25,0,KL,NA,NA
25,0,hellinger,NA,NA
25,0,euclidean,NA,NA
26,0,mean,meas,NA
26,0,mean,ref,0.08076877889865132
26,0,sd,meas,NA
26,0,sd,ref,0.01799851596268867
26,0,kurtosis,meas,NA
26,0,kurtosis,ref,4.988507095324882
26,0,skewness,meas,NA
26,0,skewness,ref,1.225422908296263
26,0,KL,NA,NA
26,0,hellinger,NA,NA
26,0,euclidean,NA,NA
27,0,mean,meas,NA
27,0,mean,ref,0.10992236823588207
27,0,sd,meas,NA
27,0,sd,ref,0.039310067086415
27,0,kurtosis,meas,NA
27,0,kurtosis,ref,3.886783579746616
27,0,skewness,meas,NA
27,0,skewness,ref,1.1152462087413393
27,0,KL,NA,NA
27,0,hellinger,NA,NA
27,0,euclidean,NA,NA
28,10,mean,meas,0.1610739440245933
28,10,mean,ref,0.1777845359838628
28,10,sd,meas,0.050633390899152475
28,10,sd,ref,0.051445642375804006
28,10,kurtosis,meas,13.120961072009845
28,10,kurtosis,ref,4.139436724680714
28,10,skewness,meas,2.5784251553568307
28,10,skewness,ref,0.8500223820424252
28,10,KL,NA,0.17530957469096392
28,10,hellinger,NA,0.20773204818233645
28,10,euclidean,NA,0.28257368672510297
29,0,mean,meas,0.20326984878272877
29,0,mean,ref,0.1468782995525816
29,0,sd,meas,0.0862893236368643
29,0,sd,ref,NA
29,0,kurtosis,meas,6.262411172430407
29,0,kurtosis,ref,NA
29,0,skewness,meas,1.5809277399679802
29,0,skewness,ref,NA
29,0,KL,NA,NA
29,0,hellinger,NA,NA
29,0,euclidean,NA,NA
30,0,mean,meas,0.23281345113025764
30,0,mean,ref,NA
30,0,sd,meas,0.09483839505395811
30,0,sd,ref,NA
30,0,kurtosis,meas,3.57420602637596
30,0,kurtosis,ref,NA
30,0,skewness,meas,0.8923093434591223
30,0,skewness,ref,NA
30,0,KL,NA,NA
30,0,hellinger,NA,NA
30,0,euclidean,NA,NA
31,0,mean,meas,0.25135558853257495
31,0,mean,ref,NA
31,0,sd,meas,0.10344546778739587
31,0,sd,ref,NA
31,0,kurtosis,meas,4.740481527331285
31,0,kurtosis,ref,NA
31,0,skewness,meas,1.0137627357895844
31,0,skewness,ref,NA
31,0,KL,NA,NA
31,0,hellinger,NA,NA
31,0,euclidean,NA,NA
32,0,mean,meas,0.24624603666514103
32,0,mean,ref,NA
32,0,sd,meas,0.10196027710983925
32,0,sd,ref,NA
32,0,kurtosis,meas,5.495908928594907
32,0,kurtosis,ref,NA
32,0,skewness,meas,1.3637434082833055
32,0,skewness,ref,NA
32,0,KL,NA,NA
32,0,hellinger,NA,NA
32,0,euclidean,NA,NA
33,0,mean,meas,0.22053884774927882
33,0,mean,ref,NA
33,0,sd,meas,0.09995686834623844
33,0,sd,ref,NA
33,0,kurtosis,meas,6.906373084248921
33,0,kurtosis,ref,NA
33,0,skewness,meas,1.6312571745934847
33,0,skewness,ref,NA
33,0,KL,NA,NA
33,0,hellinger,NA,NA
33,0,euclidean,NA,NA
34,0,mean,meas,0.187950298071655
34,0,mean,ref,NA
34,0,sd,meas,0.07006355884579323
34,0,sd,ref,NA
34,0,kurtosis,meas,5.729919079185923
34,0,kurtosis,ref,NA
34,0,skewness,meas,1.366834541501624
34,0,skewness,ref,NA
34,0,KL,NA,NA
34,0,hellinger,NA,NA
34,0,euclidean,NA,NA
35,0,mean,meas,0.1545769944495248
35,0,mean,ref,NA
35,0,sd,meas,0.04236974521237666
35,0,sd,ref,NA
35,0,kurtosis,meas,10.424347082822976
35,0,kurtosis,ref,NA
35,0,skewness,meas,1.6186783797081563
