mos_into_deployment,pdf_resolution,statistic,plottype,value
0,255,mean,meas,0.31233050059786316
0,255,mean,ref,0.2634100392156863
0,255,sd,meas,0.057144343269784965
0,255,sd,ref,0.14541061282872994
0,255,kurtosis,meas,4.250781644428386
0,255,kurtosis,ref,5.382409791796448
0,255,skewness,meas,-1.400458782893144
0,255,skewness,ref,1.5286096718187858
0,255,KL,NA,1.0049828367922766
0,255,hellinger,NA,1.0358753390720175
0,255,euclidean,NA,0.13235641495647485
1,246,mean,meas,0.2736421180284751
1,246,mean,ref,0.20660565040650405
1,246,sd,meas,0.09182414307204477
1,246,sd,ref,0.1100930420282982
1,246,kurtosis,meas,3.67278780499111
1,246,kurtosis,ref,5.4312457336323225
1,246,skewness,meas,-1.1750510895491728
1,246,skewness,ref,1.7869979388438386
1,246,KL,NA,1.2868036653715285
1,246,hellinger,NA,1.0904904805216638
1,246,euclidean,NA,0.12266411860013227
2,268,mean,meas,0.266448297539682
2,268,mean,ref,0.17908462686567164
2,268,sd,meas,0.11337126562904247
2,268,sd,ref,0.07750284822753838
2,268,kurtosis,meas,2.9195992240342195
2,268,kurtosis,ref,12.114707618698732
2,268,skewness,meas,-0.9791739422311404
2,268,skewness,ref,2.6681971044106736
2,268,KL,NA,1.6109771849590793
2,268,hellinger,NA,1.1585343861722575
2,268,euclidean,NA,0.14475272628381636
3,237,mean,meas,0.20561357974599967
3,237,mean,ref,0.13890818565400845
3,237,sd,meas,0.07508644720870271
3,237,sd,ref,0.052009384164645955
3,237,kurtosis,meas,2.4391227672080102
3,237,kurtosis,ref,12.947328275418233
3,237,skewness,meas,-0.721881211682667
3,237,skewness,ref,3.0939648316695894
3,237,KL,NA,2.0073009957413506
3,237,hellinger,NA,1.2399218288937432
3,237,euclidean,NA,0.1801116282287171
4,246,mean,meas,0.1347579288061191
4,246,mean,ref,0.11100890243902439
4,246,sd,meas,0.05784811410580774
4,246,sd,ref,0.02517331611243472
4,246,kurtosis,meas,4.114381087395828
4,246,kurtosis,ref,12.670294609899699
4,246,skewness,meas,-0.9662124008096323
4,246,skewness,ref,2.7301103218829113
4,246,KL,NA,2.1014938045940874
4,246,hellinger,NA,1.1967200283827657
4,246,euclidean,NA,0.15495153271061932
6,675,mean,meas,0.08944895377179518
6,675,mean,ref,0.07167197037037037
6,675,sd,meas,0.013996309253328064
6,675,sd,ref,0.008235697833952942
6,675,kurtosis,meas,3.626206216141311
6,675,kurtosis,ref,4.6814658456420055
6,675,skewness,meas,0.35441274316370275
6,675,skewness,ref,0.6795438188475633
6,675,KL,NA,1.5914153868397447
6,675,hellinger,NA,1.11576320288644
6,675,euclidean,NA,0.06836665289783926
7,715,mean,meas,0.14049053012354293
7,715,mean,ref,0.1254847972027972
7,715,sd,meas,0.052967018832347584
7,715,sd,ref,0.055181119993212485
7,715,kurtosis,meas,8.448624058113493
7,715,kurtosis,ref,5.355274218869188
7,715,skewness,meas,1.7705816456766728
7,715,skewness,ref,1.2260006282948173
7,715,KL,NA,0.16929658281999557
7,715,hellinger,NA,0.5306108656113391
7,715,euclidean,NA,0.03053395095653805
8,694,mean,meas,0.1707058061924627
8,694,mean,ref,0.1689506916426513
8,694,sd,meas,0.058716537664911535
8,694,sd,ref,0.07381137551465286
8,694,kurtosis,meas,5.349295621324216
8,694,kurtosis,ref,19.641203769535547
8,694,skewness,meas,0.2815657128784238
8,694,skewness,ref,3.3187293647101885
8,694,KL,NA,0.4856477138900319
8,694,hellinger,NA,0.6572364381173151
8,694,euclidean,NA,0.05967087098330796
9,736,mean,meas,0.18751953195250848
9,736,mean,ref,0.18455423913043478
9,736,sd,meas,0.10101688353926021
9,736,sd,ref,0.10508707709682301
9,736,kurtosis,meas,4.776096418795319
9,736,kurtosis,ref,9.486915777831452
9,736,skewness,meas,0.6563858651104999
9,736,skewness,ref,2.3340651726719797
9,736,KL,NA,0.3681991602815553
9,736,hellinger,NA,0.5665244265099861
9,736,euclidean,NA,0.04698612224043059
10,616,mean,meas,0.2680486725723316
10,616,mean,ref,0.2553926461038961
10,616,sd,meas,0.12995862749310516
10,616,sd,ref,0.13400056096222135
10,616,kurtosis,meas,3.744501087125301
10,616,kurtosis,ref,8.644161434028327
10,616,skewness,meas,0.19901106363690482
10,616,skewness,ref,1.7903019224945809
10,616,KL,NA,0.18839861841056807
10,616,hellinger,NA,0.4255312553991062
10,616,euclidean,NA,0.02462905896204194
11,700,mean,meas,0.24346692314123217
11,700,mean,ref,0.20774387142857142
11,700,sd,meas,0.10360280836864261
11,700,sd,ref,0.11511586074040134
11,700,kurtosis,meas,3.2903567442603925
11,700,kurtosis,ref,12.152177642771889
11,700,skewness,meas,0.5609720980371707
11,700,skewness,ref,2.5714378318589577
11,700,KL,NA,0.31004488478552356
11,700,hellinger,NA,0.5490937614872765
11,700,euclidean,NA,0.044409337178569
12,693,mean,meas,0.292964694249762
12,693,mean,ref,0.2895377489177489
12,693,sd,meas,0.11144256463688833
12,693,sd,ref,0.17246740323030968
12,693,kurtosis,meas,7.371898366629412
12,693,kurtosis,ref,8.50678571889929
12,693,skewness,meas,1.1087400819632336
12,693,skewness,ref,1.9918819987277412
12,693,KL,NA,0.17325287751306326
12,693,hellinger,NA,0.48449322121514443
12,693,euclidean,NA,0.03218758513628046
13,581,mean,meas,0.2709144155780093
13,581,mean,ref,0.26117881239242685
13,581,sd,meas,0.142948926935747
13,581,sd,ref,0.14548466148254463
13,581,kurtosis,meas,4.583084763452572
13,581,kurtosis,ref,6.659886660900367
13,581,skewness,meas,-0.23109705302226424
13,581,skewness,ref,1.7015906077086183
13,581,KL,NA,0.4615463517245411
13,581,hellinger,NA,0.6531620693480199
13,581,euclidean,NA,0.04399336044920055
14,697,mean,meas,0.19244922359445382
14,697,mean,ref,0.17214674318507892
14,697,sd,meas,0.08858846542507871
14,697,sd,ref,0.09981329761848176
14,697,kurtosis,meas,5.783956636020451
14,697,kurtosis,ref,10.466131759299742
14,697,skewness,meas,0.46897931533340054
14,697,skewness,ref,2.539507103416679
14,697,KL,NA,0.6163514895306029
14,697,hellinger,NA,0.797991603604406
14,697,euclidean,NA,0.07525274714567617
15,698,mean,meas,0.17388556960805387
15,698,mean,ref,0.15182684813753583
15,698,sd,meas,0.0715559646954806
15,698,sd,ref,0.0507984974340577
15,698,kurtosis,meas,6.618849107661605
15,698,kurtosis,ref,26.20326396549924
15,698,skewness,meas,-0.4891001791644316
15,698,skewness,ref,3.6555777870528217
15,698,KL,NA,0.7661294392104941
15,698,hellinger,NA,0.841217150437309
15,698,euclidean,NA,0.07756684248518211
16,740,mean,meas,0.14269531317590323
16,740,mean,ref,0.12414504054054054
16,740,sd,meas,0.05162752171156606
16,740,sd,ref,0.034143973315957095
16,740,kurtosis,meas,4.676213320207848
16,740,kurtosis,ref,14.275455622099878
16,740,skewness,meas,-0.15944033000784413
16,740,skewness,ref,2.433947456164352
16,740,KL,NA,0.6125923263159239
16,740,hellinger,NA,0.7507611496526102
16,740,euclidean,NA,0.05349436129777236
17,559,mean,meas,0.11239928217820785
17,559,mean,ref,0.09333384615384616
17,559,sd,meas,0.0466347657425074
17,559,sd,ref,0.036468077321076334
17,559,kurtosis,meas,7.5151346398121515
17,559,kurtosis,ref,78.10668294569481
17,559,skewness,meas,1.1565617642885373
17,559,skewness,ref,6.716855800253137
17,559,KL,NA,0.6230375201919611
17,559,hellinger,NA,0.7309942497067295
17,559,euclidean,NA,0.0859690005629494
18,742,mean,meas,0.08815281313924031
18,742,mean,ref,0.06685254716981132
18,742,sd,meas,0.021470623575968396
18,742,sd,ref,0.00880662446081689
18,742,kurtosis,meas,32.126520349809184
18,742,kurtosis,ref,4.791238963574333
18,742,skewness,meas,2.9152532640910636
18,742,skewness,ref,0.7846684721547017
18,742,KL,NA,2.243049269166053
18,742,hellinger,NA,1.2578208032070073
18,742,euclidean,NA,0.11935885280304873
19,744,mean,meas,0.09572790008549785
19,744,mean,ref,0.07786162634408603
19,744,sd,meas,0.02930557785834388
19,744,sd,ref,0.020344114334734983
19,744,kurtosis,meas,4.951369149845558
19,744,kurtosis,ref,5.381506718801249
19,744,skewness,meas,-0.6970576677140735
19,744,skewness,ref,1.4566172524002567
19,744,KL,NA,0.7270968367006327
19,744,hellinger,NA,0.8671425401753208
19,744,euclidean,NA,0.06297130550849181
20,688,mean,meas,0.11418518975814738
20,688,mean,ref,0.11787473837209303
20,688,sd,meas,0.07407153820201941
20,688,sd,ref,0.0771439415101526
20,688,kurtosis,meas,11.13038304751237
20,688,kurtosis,ref,184.96353833878905
20,688,skewness,meas,-0.8126443758350607
20,688,skewness,ref,10.879344018750569
20,688,KL,NA,0.8133172360135335
20,688,hellinger,NA,0.7539985263568006
20,688,euclidean,NA,0.1213982845132457
21,719,mean,meas,0.1578220680548826
21,719,mean,ref,0.1597579137691238
21,719,sd,meas,0.07921212949936512
21,719,sd,ref,0.10040100221224763
21,719,kurtosis,meas,7.613654295096851
21,719,kurtosis,ref,23.650399612386597
21,719,skewness,meas,0.7237710924987003
21,719,skewness,ref,3.6832252191121984
21,719,KL,NA,0.23933953559092663
21,719,hellinger,NA,0.5006732875971093
21,719,euclidean,NA,0.037598048306394086
22,675,mean,meas,0.23539714335559542
22,675,mean,ref,0.23775798518518518
22,675,sd,meas,0.11611597297526897
22,675,sd,ref,0.16762709137546
22,675,kurtosis,meas,2.776980300848565
22,675,kurtosis,ref,5.6062966916587955
22,675,skewness,meas,-0.07544040128399267
22,675,skewness,ref,1.5995036526796906
22,675,KL,NA,0.26536576613085705
22,675,hellinger,NA,0.5809704699524706
22,675,euclidean,NA,0.031933401926876145
23,740,mean,meas,0.2517135801991793
23,740,mean,ref,0.23614874324324325
23,740,sd,meas,0.10012978235663285
23,740,sd,ref,0.12900163158974487
23,740,kurtosis,meas,3.479075054396562
23,740,kurtosis,ref,6.465205102015289
23,740,skewness,meas,0.23460423956691268
23,740,skewness,ref,1.411167970183365
23,740,KL,NA,0.09703515060875541
23,740,hellinger,NA,0.38633423836544073
23,740,euclidean,NA,0.02264090824507662
24,75,mean,meas,0.21601683345181824
24,75,mean,ref,0.1650856
24,75,sd,meas,0.06166461510851324
24,75,sd,ref,0.06815146208580145
24,75,kurtosis,meas,2.8254479337060348
24,75,kurtosis,ref,9.14429654999935
24,75,skewness,meas,0.378971049196952
24,75,skewness,ref,2.259676354766003
24,75,KL,NA,0.5615171373669093
24,75,hellinger,NA,0.7318524185328021
24,75,euclidean,NA,0.12860283123018257
32,630,mean,meas,0.16283494906913001
32,630,mean,ref,0.14503222222222223
32,630,sd,meas,0.06439297626485832
32,630,sd,ref,0.0651861120652448
32,630,kurtosis,meas,8.18844476985396
32,630,kurtosis,ref,10.116919970993251
32,630,skewness,meas,1.2925481612134757
32,630,skewness,ref,2.47464564971111
32,630,KL,NA,0.8957010358285473
32,630,hellinger,NA,0.9137794472822118
32,630,euclidean,NA,0.10353224920063296
33,650,mean,meas,0.18786830211564423
33,650,mean,ref,0.18406527692307692
33,650,sd,meas,0.1049287887866078
33,650,sd,ref,0.10696209753213899
33,650,kurtosis,meas,4.364945444398913
33,650,kurtosis,ref,10.46245996025513
33,650,skewness,meas,-0.0787786644809677
33,650,skewness,ref,2.3878166497902127
33,650,KL,NA,0.4569895829062062
33,650,hellinger,NA,0.6366264733937054
33,650,euclidean,NA,0.05420447279997022
34,645,mean,meas,0.23142228132207118
34,645,mean,ref,0.23283353488372094
34,645,sd,meas,0.110662382756424
34,645,sd,ref,0.12935868606021136
34,645,kurtosis,meas,3.161045365445869
34,645,kurtosis,ref,5.453120899549907
34,645,skewness,meas,-0.2968332917744503
34,645,skewness,ref,1.56378255912803
34,645,KL,NA,0.375118125826006
34,645,hellinger,NA,0.6039817095037832
34,645,euclidean,NA,0.0355862143148151
35,683,mean,meas,0.22825298077198808
35,683,mean,ref,0.25059238653001464
35,683,sd,meas,0.09060257292615388
35,683,sd,ref,0.13275353214651314
35,683,kurtosis,meas,3.436368472652536
35,683,kurtosis,ref,9.28647452301266
35,683,skewness,meas,0.44490109682342727
35,683,skewness,ref,1.880786424058827
35,683,KL,NA,0.11788322896943434
35,683,hellinger,NA,0.4005229415373882
35,683,euclidean,NA,0.0185384670224543
36,675,mean,meas,0.2134515722074667
36,675,mean,ref,0.21175114074074075
36,675,sd,meas,0.08877252930741149
36,675,sd,ref,0.12346037702672487
36,675,kurtosis,meas,5.05441896098228
36,675,kurtosis,ref,13.184406582396534
36,675,skewness,meas,0.9035313008752837
36,675,skewness,ref,2.7149008778343857
36,675,KL,NA,0.19368942654413351
36,675,hellinger,NA,0.4618923606147907
36,675,euclidean,NA,0.029895191735496304
37,578,mean,meas,0.19226065469321707
37,578,mean,ref,0.19747756055363322
37,578,sd,meas,0.08710058753708493
37,578,sd,ref,0.10306940401557314
37,578,kurtosis,meas,6.309081662590927
37,578,kurtosis,ref,8.104804938933167
37,578,skewness,meas,0.8873135516861763
37,578,skewness,ref,2.0676070081650257
37,578,KL,NA,0.19676801102244604
37,578,hellinger,NA,0.46548260497576055
37,578,euclidean,NA,0.028116854319133862
38,652,mean,meas,0.15609766637332767
38,652,mean,ref,0.14561208588957056
38,652,sd,meas,0.0575757162719679
38,652,sd,ref,0.05818450258408403
38,652,kurtosis,meas,9.066504725911486
38,652,kurtosis,ref,13.223587792093696
38,652,skewness,meas,0.44362411954518427
38,652,skewness,ref,2.8917507369597497
38,652,KL,NA,0.8123707153671464
38,652,hellinger,NA,0.901668110091585
38,652,euclidean,NA,0.0989356821151325
39,629,mean,meas,0.14612483124093806
39,629,mean,ref,0.13528515103338631
39,629,sd,meas,0.09932231774778179
39,629,sd,ref,0.0495764704583347
39,629,kurtosis,meas,361.3800331980837
39,629,kurtosis,ref,17.57876152786999
39,629,skewness,meas,15.94218300168253
39,629,skewness,ref,3.355599930948489
39,629,KL,NA,1.1469350124371038
39,629,hellinger,NA,0.9296708743926251
39,629,euclidean,NA,0.212906824699796
40,533,mean,meas,0.11874175263810424
40,533,mean,ref,0.10806131332082551
40,533,sd,meas,0.04163100375280132
40,533,sd,ref,0.03328541917228854
40,533,kurtosis,meas,5.423107149198672
40,533,kurtosis,ref,21.73707133230748
40,533,skewness,meas,-1.3070026183053767
40,533,skewness,ref,3.5091460570393442
40,533,KL,NA,1.199921377557726
40,533,hellinger,NA,0.9959775833114125
40,533,euclidean,NA,0.11064261009159079
41,0,mean,meas,0.1198459536365863
41,0,mean,ref,0.0943
41,0,sd,meas,NA
41,0,sd,ref,NA
41,0,kurtosis,meas,NA
41,0,kurtosis,ref,NA
41,0,skewness,meas,NA
41,0,skewness,ref,NA
41,0,KL,NA,NA
41,0,hellinger,NA,NA
41,0,euclidean,NA,NA
