mos_into_deployment,pdf_resolution,statistic,plottype,value
0,37,mean,meas,0.22097590581380488
0,37,mean,ref,0.22097590581380488
0,37,sd,meas,0.16583466598123373
0,37,sd,ref,0.16583466598123373
0,37,kurtosis,meas,30.764289294179157
0,37,kurtosis,ref,30.764289294179157
0,37,skewness,meas,4.380199746169697
0,37,skewness,ref,4.380199746169697
0,37,KL,NA,0
0,37,hellinger,NA,0
0,37,euclidean,NA,0
1,27,mean,meas,0.22688769230805264
1,27,mean,ref,0.22688769230805264
1,27,sd,meas,0.16477092077125
1,27,sd,ref,0.16477092077125
1,27,kurtosis,meas,18.344896771977467
1,27,kurtosis,ref,18.344896771977467
1,27,skewness,meas,3.4477067070381815
1,27,skewness,ref,3.4477067070381815
1,27,KL,NA,0
1,27,hellinger,NA,0
1,27,euclidean,NA,0
2,25,mean,meas,0.2131655584254681
2,25,mean,ref,0.2131655584254681
2,25,sd,meas,0.12247087222249778
2,25,sd,ref,0.12247087222249778
2,25,kurtosis,meas,19.80432677896882
2,25,kurtosis,ref,19.80432677896882
2,25,skewness,meas,3.2363807357263195
2,25,skewness,ref,3.2363807357263195
2,25,KL,NA,0
2,25,hellinger,NA,0
2,25,euclidean,NA,0
3,26,mean,meas,0.20402534973818381
3,26,mean,ref,0.20402534973818381
3,26,sd,meas,0.11877170780789427
3,26,sd,ref,0.11877170780789427
3,26,kurtosis,meas,25.026687541922442
3,26,kurtosis,ref,25.026687541922442
3,26,skewness,meas,3.864674949444375
3,26,skewness,ref,3.864674949444375
3,26,KL,NA,0
3,26,hellinger,NA,0
3,26,euclidean,NA,0
4,18,mean,meas,0.19208085302196462
4,18,mean,ref,0.19208085302196462
4,18,sd,meas,0.10244665173431727
4,18,sd,ref,0.10244665173431727
4,18,kurtosis,meas,17.018411446967114
4,18,kurtosis,ref,17.018411446967114
4,18,skewness,meas,3.1180879639270946
4,18,skewness,ref,3.1180879639270946
4,18,KL,NA,0
4,18,hellinger,NA,0
