mos_into_deployment,pdf_resolution,statistic,plottype,value
0,14,mean,meas,0.18928591301702888
0,14,mean,ref,0.18928591301702888
0,14,sd,meas,0.05916271413741072
0,14,sd,ref,0.05916271413741072
0,14,kurtosis,meas,26.5573531073636
0,14,kurtosis,ref,26.5573531073636
0,14,skewness,meas,3.3683940530318703
0,14,skewness,ref,3.3683940530318703
0,14,KL,NA,0
0,14,hellinger,NA,0
0,14,euclidean,NA,0
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,2,mean,meas,0.05306265468924213
2,2,mean,ref,0.05306265468924213
2,2,sd,meas,0.002472503355921753
2,2,sd,ref,0.002472503355921753
2,2,kurtosis,meas,4.566096445491441
2,2,kurtosis,ref,4.566096445491441
2,2,skewness,meas,-1.5959916798082747
2,2,skewness,ref,-1.5959916798082747
2,2,KL,NA,0
2,2,hellinger,NA,0
2,2,euclidean,NA,0
3,56,mean,meas,0.16638503624045578
3,56,mean,ref,0.16638503624045578
3,56,sd,meas,0.23502099820460093
3,56,sd,ref,0.23502099820460093
3,56,kurtosis,meas,56.009006899222
3,56,kurtosis,ref,56.009006899222
3,56,skewness,meas,6.021942170843627
3,56,skewness,ref,6.021942170843627
3,56,KL,NA,0
3,56,hellinger,NA,0
3,56,euclidean,NA,0
4,5,mean,meas,0.2242681098144562
4,5,mean,ref,0.2242681098144562
4,5,sd,meas,0.032243232809285774
4,5,sd,ref,0.032243232809285774
4,5,kurtosis,meas,3.3085613777475866
4,5,kurtosis,ref,3.3085613777475866
4,5,skewness,meas,0.16915334224801698
4,5,skewness,ref,0.16915334224801698
4,5,KL,NA,0
4,5,hellinger,NA,0
4,5,euclidean,NA,0
5,43,mean,meas,0.209356449246265
5,43,mean,ref,0.209356449246265
5,43,sd,meas,0.08533263057485845
5,43,sd,ref,0.08533263057485845
5,43,kurtosis,meas,444.73441144492926
5,43,kurtosis,ref,444.73441144492926
5,43,skewness,meas,18.969239364485585
5,43,skewness,ref,18.969239364485585
5,43,KL,NA,0
5,43,hellinger,NA,0
5,43,euclidean,NA,0
6,13,mean,meas,0.21249052287096054
6,13,mean,ref,0.21249052287096054
6,13,sd,meas,0.08057461261223907
6,13,sd,ref,0.08057461261223907
6,13,kurtosis,meas,10.345531247904852
6,13,kurtosis,ref,10.345531247904852
6,13,skewness,meas,2.1490700875056605
6,13,skewness,ref,2.1490700875056605
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,0,mean,meas,NA
7,0,mean,ref,NA
7,0,sd,meas,NA
7,0,sd,ref,NA
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,NA
7,0,skewness,meas,NA
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,NA
8,0,sd,meas,NA
8,0,sd,ref,NA
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,NA
8,0,skewness,meas,NA
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,NA
9,0,mean,ref,NA
9,0,sd,meas,NA
9,0,sd,ref,NA
9,0,kurtosis,meas,NA
9,0,kurtosis,ref,NA
9,0,skewness,meas,NA
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,NA
10,0,mean,ref,NA
10,0,sd,meas,NA
10,0,sd,ref,NA
10,0,kurtosis,meas,NA
10,0,kurtosis,ref,NA
10,0,skewness,meas,NA
