mos_into_deployment,pdf_resolution,statistic,plottype,value
0,14,mean,meas,0.18928591301702888
0,14,mean,ref,0.18928591301702888
0,14,sd,meas,0.05916271413741072
0,14,sd,ref,0.05916271413741072
0,14,kurtosis,meas,26.5573531073636
0,14,kurtosis,ref,26.5573531073636
0,14,skewness,meas,3.3683940530318703
0,14,skewness,ref,3.3683940530318703
0,14,KL,NA,0
0,14,hellinger,NA,0
0,14,euclidean,NA,0
1,NA,mean,meas,NA
1,NA,mean,ref,NA
1,NA,sd,meas,NA
1,NA,sd,ref,NA
1,NA,kurtosis,meas,NA
1,NA,kurtosis,ref,NA
1,NA,skewness,meas,NA
1,NA,skewness,ref,NA
1,NA,KL,NA,NA
1,NA,hellinger,NA,NA
1,NA,euclidean,NA,NA
2,2,mean,meas,0.05359516419450129
2,2,mean,ref,0.05359516419450129
2,2,sd,meas,0.0026675901032581855
2,2,sd,ref,0.0026675901032581855
2,2,kurtosis,meas,4.441686877719778
2,2,kurtosis,ref,4.441686877719778
2,2,skewness,meas,-1.2112506527701654
2,2,skewness,ref,-1.2112506527701654
2,2,KL,NA,0
2,2,hellinger,NA,0
2,2,euclidean,NA,0
3,56,mean,meas,0.16638503624045578
3,56,mean,ref,0.16638503624045578
3,56,sd,meas,0.23502099820460093
3,56,sd,ref,0.23502099820460093
3,56,kurtosis,meas,56.009006899222
3,56,kurtosis,ref,56.009006899222
3,56,skewness,meas,6.021942170843627
3,56,skewness,ref,6.021942170843627
3,56,KL,NA,0
3,56,hellinger,NA,0
3,56,euclidean,NA,0
4,5,mean,meas,0.2242681098144562
4,5,mean,ref,0.2242681098144562
4,5,sd,meas,0.032243232809285774
4,5,sd,ref,0.032243232809285774
4,5,kurtosis,meas,3.3085613777475866
4,5,kurtosis,ref,3.3085613777475866
4,5,skewness,meas,0.16915334224801698
4,5,skewness,ref,0.16915334224801698
4,5,KL,NA,0
4,5,hellinger,NA,0
4,5,euclidean,NA,0
5,44,mean,meas,0.20714440361793846
5,44,mean,ref,0.20714440361793846
5,44,sd,meas,0.08449821250108021
5,44,sd,ref,0.08449821250108021
5,44,kurtosis,meas,444.69327164965205
5,44,kurtosis,ref,444.69327164965205
5,44,skewness,meas,18.751157291094938
5,44,skewness,ref,18.751157291094938
5,44,KL,NA,0
5,44,hellinger,NA,0
5,44,euclidean,NA,0
6,13,mean,meas,0.20818747646182517
6,13,mean,ref,0.20818747646182517
6,13,sd,meas,0.07758613557302804
6,13,sd,ref,0.07758613557302804
6,13,kurtosis,meas,9.39820558169076
6,13,kurtosis,ref,9.39820558169076
6,13,skewness,meas,1.9732908049778206
6,13,skewness,ref,1.9732908049778206
6,13,KL,NA,0
6,13,hellinger,NA,0
6,13,euclidean,NA,0
7,0,mean,meas,NA
7,0,mean,ref,NA
7,0,sd,meas,NA
7,0,sd,ref,NA
7,0,kurtosis,meas,NA
7,0,kurtosis,ref,NA
7,0,skewness,meas,NA
7,0,skewness,ref,NA
7,0,KL,NA,NA
7,0,hellinger,NA,NA
7,0,euclidean,NA,NA
8,0,mean,meas,NA
8,0,mean,ref,NA
8,0,sd,meas,NA
8,0,sd,ref,NA
8,0,kurtosis,meas,NA
8,0,kurtosis,ref,NA
8,0,skewness,meas,NA
8,0,skewness,ref,NA
8,0,KL,NA,NA
8,0,hellinger,NA,NA
8,0,euclidean,NA,NA
9,0,mean,meas,NA
9,0,mean,ref,NA
9,0,sd,meas,NA
9,0,sd,ref,NA
9,0,kurtosis,meas,NA
9,0,kurtosis,ref,NA
9,0,skewness,meas,NA
9,0,skewness,ref,NA
9,0,KL,NA,NA
9,0,hellinger,NA,NA
9,0,euclidean,NA,NA
10,0,mean,meas,NA
10,0,mean,ref,NA
10,0,sd,meas,NA
10,0,sd,ref,NA
10,0,kurtosis,meas,NA
10,0,kurtosis,ref,NA
