mos_into_deployment,pdf_resolution,statistic,plottype,value
0,21,mean,meas,0.3498262081412516
0,21,mean,ref,0.27413066216216214
0,21,sd,meas,0.06162979826549438
0,21,sd,ref,0.15029188338114294
0,21,kurtosis,meas,3.1915580831379455
0,21,kurtosis,ref,6.590293078335321
0,21,skewness,meas,0.608333544655185
0,21,skewness,ref,1.6352184915186159
0,21,KL,NA,3.9195421276947178
0,21,hellinger,NA,0.5626505101481514
0,21,euclidean,NA,0.4546094615089952
1,16,mean,meas,0.33335788314649684
1,16,mean,ref,0.20464428998505232
1,16,sd,meas,0.06564186801216126
1,16,sd,ref,0.11259246337949042
1,16,kurtosis,meas,2.4102816108415
1,16,kurtosis,ref,9.041467051940083
1,16,skewness,meas,-0.2786340426829742
1,16,skewness,ref,2.2480963379407313
1,16,KL,NA,6.223159490128017
1,16,hellinger,NA,0.6584187117998546
1,16,euclidean,NA,0.6071214124275214
2,0,mean,meas,NA
2,0,mean,ref,0.17986114401076717
2,0,sd,meas,NA
2,0,sd,ref,0.08561496415798486
2,0,kurtosis,meas,NA
2,0,kurtosis,ref,18.245128611876012
2,0,skewness,meas,NA
2,0,skewness,ref,3.2319217327091074
2,0,KL,NA,NA
2,0,hellinger,NA,NA
2,0,euclidean,NA,NA
3,0,mean,meas,NA
3,0,mean,ref,0.13608377622377624
3,0,sd,meas,NA
3,0,sd,ref,0.048909211009527685
3,0,kurtosis,meas,NA
3,0,kurtosis,ref,22.156382050755433
3,0,skewness,meas,NA
3,0,skewness,ref,3.9715528665616593
3,0,KL,NA,NA
3,0,hellinger,NA,NA
3,0,euclidean,NA,NA
4,0,mean,meas,NA
4,0,mean,ref,0.11208815468113975
4,0,sd,meas,NA
4,0,sd,ref,0.02649518417301361
4,0,kurtosis,meas,NA
4,0,kurtosis,ref,13.190115098980195
4,0,skewness,meas,NA
4,0,skewness,ref,2.860713032292381
4,0,KL,NA,NA
4,0,hellinger,NA,NA
4,0,euclidean,NA,NA
5,0,mean,meas,NA
5,0,mean,ref,0.08452632538569425
5,0,sd,meas,NA
5,0,sd,ref,0.025272962602857548
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,35.21031571192064
5,0,skewness,meas,NA
5,0,skewness,ref,4.404391402118029
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,4,mean,meas,0.08716115917587677
6,4,mean,ref,0.07167197037037037
6,4,sd,meas,0.018235571040919763
6,4,sd,ref,0.008235697833952942
6,4,kurtosis,meas,4.185995833246719
6,4,kurtosis,ref,4.6814658456420055
6,4,skewness,meas,0.808302778456956
6,4,skewness,ref,0.6795438188475633
6,4,KL,NA,0.2129218738183547
6,4,hellinger,NA,0.2885184268019552
6,4,euclidean,NA,0.28285080732840573
7,10,mean,meas,0.13633923759396874
7,10,mean,ref,0.1254847972027972
7,10,sd,meas,0.06261955197447407
7,10,sd,ref,0.055181119993212485
7,10,kurtosis,meas,8.41224470075166
7,10,kurtosis,ref,5.355274218869188
7,10,skewness,meas,1.9621408592579812
7,10,skewness,ref,1.2260006282948173
7,10,KL,NA,0.059442373660893465
7,10,hellinger,NA,0.13811150440907594
7,10,euclidean,NA,0.15599277734709874
8,17,mean,meas,0.17865685166012366
8,17,mean,ref,0.1689506916426513
8,17,sd,meas,0.07753576869392872
8,17,sd,ref,0.07381137551465286
8,17,kurtosis,meas,4.342347190978382
8,17,kurtosis,ref,19.641203769535547
8,17,skewness,meas,0.38919617661813066
8,17,skewness,ref,3.3187293647101885
8,17,KL,NA,0.372384080607158
8,17,hellinger,NA,0.3082225741826173
8,17,euclidean,NA,0.37604688080205173
9,18,mean,meas,0.19910031598663286
9,18,mean,ref,0.18455423913043478
9,18,sd,meas,0.08595147269048771
9,18,sd,ref,0.10508707709682301
9,18,kurtosis,meas,2.576129765232961
9,18,kurtosis,ref,9.486915777831452
9,18,skewness,meas,0.5440232011545832
9,18,skewness,ref,2.3340651726719797
9,18,KL,NA,0.509297680982583
9,18,hellinger,NA,0.2988635706487155
9,18,euclidean,NA,0.3726677151552564
10,21,mean,meas,0.2573360799633262
10,21,mean,ref,0.2553926461038961
10,21,sd,meas,0.08307497558561858
10,21,sd,ref,0.13400056096222135
10,21,kurtosis,meas,2.6757543902941503
10,21,kurtosis,ref,8.644161434028327
10,21,skewness,meas,0.1755680934815635
10,21,skewness,ref,1.7903019224945809
10,21,KL,NA,0.5575223529238855
10,21,hellinger,NA,0.2536336977781899
10,21,euclidean,NA,0.21435931992173746
11,20,mean,meas,0.2930330590148316
11,20,mean,ref,0.20774387142857142
11,20,sd,meas,0.07369195645247831
11,20,sd,ref,0.11511586074040134
11,20,kurtosis,meas,2.8199099045624236
11,20,kurtosis,ref,12.152177642771889
11,20,skewness,meas,0.1376218290465038
11,20,skewness,ref,2.5714378318589577
11,20,KL,NA,1.5477458785128153
11,20,hellinger,NA,0.5108118114320062
11,20,euclidean,NA,0.4956791614113922
12,25,mean,meas,0.3114125709859379
12,25,mean,ref,0.28528350140056025
12,25,sd,meas,0.07956939414874895
12,25,sd,ref,0.17181777798680578
12,25,kurtosis,meas,4.115453090246926
12,25,kurtosis,ref,8.597164037012492
12,25,skewness,meas,0.46745437622647656
12,25,skewness,ref,2.008169972291561
12,25,KL,NA,1.0510574435218945
12,25,hellinger,NA,0.3791788686046213
12,25,euclidean,NA,0.30357343921195723
13,19,mean,meas,0.31144137052960225
13,19,mean,ref,0.25122605919003116
13,19,sd,meas,0.09134442358901984
13,19,sd,ref,0.14269554808602877
13,19,kurtosis,meas,2.8392265688381753
13,19,kurtosis,ref,7.035414563881393
13,19,skewness,meas,-0.2873111822738308
13,19,skewness,ref,1.7817271454958996
13,19,KL,NA,0.9156179776538738
13,19,hellinger,NA,0.389509622748371
13,19,euclidean,NA,0.3523768334705907
14,15,mean,meas,0.21726922963559117
14,15,mean,ref,0.17214674318507892
14,15,sd,meas,0.10965667620305897
14,15,sd,ref,0.09981329761848176
14,15,kurtosis,meas,3.4803921476626614
14,15,kurtosis,ref,10.466131759299742
14,15,skewness,meas,0.09533377645326473
14,15,skewness,ref,2.539507103416679
14,15,KL,NA,0.8056815102149781
14,15,hellinger,NA,0.42150954997939794
14,15,euclidean,NA,0.5123144094395674
15,13,mean,meas,0.20698612291817625
15,13,mean,ref,0.15182684813753583
15,13,sd,meas,0.13005690908707243
15,13,sd,ref,0.0507984974340577
15,13,kurtosis,meas,2.9461570403387847
15,13,kurtosis,ref,26.20326396549924
15,13,skewness,meas,-0.7603700797345341
15,13,skewness,ref,3.6555777870528217
15,13,KL,NA,1.2268772910803276
15,13,hellinger,NA,0.5866534642922292
15,13,euclidean,NA,0.6031033469716186
16,0,mean,meas,NA
16,0,mean,ref,0.12414504054054054
16,0,sd,meas,NA
16,0,sd,ref,0.034143973315957095
16,0,kurtosis,meas,NA
16,0,kurtosis,ref,14.275455622099878
16,0,skewness,meas,NA
16,0,skewness,ref,2.433947456164352
16,0,KL,NA,NA
16,0,hellinger,NA,NA
16,0,euclidean,NA,NA
17,0,mean,meas,NA
17,0,mean,ref,0.09333384615384616
17,0,sd,meas,NA
17,0,sd,ref,0.036468077321076334
17,0,kurtosis,meas,NA
17,0,kurtosis,ref,78.10668294569481
17,0,skewness,meas,NA
17,0,skewness,ref,6.716855800253137
17,0,KL,NA,NA
17,0,hellinger,NA,NA
17,0,euclidean,NA,NA
18,0,mean,meas,NA
18,0,mean,ref,0.06685013458950202
18,0,sd,meas,NA
18,0,sd,ref,0.008800933773857994
18,0,kurtosis,meas,NA
18,0,kurtosis,ref,4.798024676058597
18,0,skewness,meas,NA
18,0,skewness,ref,0.7859428292342877
18,0,KL,NA,NA
18,0,hellinger,NA,NA
18,0,euclidean,NA,NA
19,0,mean,meas,NA
19,0,mean,ref,0.07786162634408603
19,0,sd,meas,NA
19,0,sd,ref,0.020344114334734983
19,0,kurtosis,meas,NA
19,0,kurtosis,ref,5.381506718801249
19,0,skewness,meas,NA
19,0,skewness,ref,1.4566172524002567
19,0,KL,NA,NA
19,0,hellinger,NA,NA
19,0,euclidean,NA,NA
20,0,mean,meas,NA
20,0,mean,ref,0.11985012676056338
20,0,sd,meas,NA
20,0,sd,ref,0.07832701614535668
20,0,kurtosis,meas,NA
20,0,kurtosis,ref,167.9856044458456
20,0,skewness,meas,NA
20,0,skewness,ref,10.143323688575974
20,0,KL,NA,NA
20,0,hellinger,NA,NA
20,0,euclidean,NA,NA
21,0,mean,meas,NA
21,0,mean,ref,0.15793093117408907
21,0,sd,meas,NA
21,0,sd,ref,0.09945286533081951
21,0,kurtosis,meas,NA
21,0,kurtosis,ref,24.11040410304533
21,0,skewness,meas,NA
21,0,skewness,ref,3.724763866701283
21,0,KL,NA,NA
21,0,hellinger,NA,NA
21,0,euclidean,NA,NA
22,0,mean,meas,NA
22,0,mean,ref,0.24468201117318436
22,0,sd,meas,NA
22,0,sd,ref,0.17025056607816474
22,0,kurtosis,meas,NA
22,0,kurtosis,ref,5.147687862242692
22,0,skewness,meas,NA
22,0,skewness,ref,1.5002440880693737
22,0,KL,NA,NA
22,0,hellinger,NA,NA
22,0,euclidean,NA,NA
23,0,mean,meas,NA
23,0,mean,ref,0.23614874324324325
23,0,sd,meas,NA
23,0,sd,ref,0.12900163158974487
23,0,kurtosis,meas,NA
23,0,kurtosis,ref,6.465205102015289
23,0,skewness,meas,NA
23,0,skewness,ref,1.411167970183365
23,0,KL,NA,NA
23,0,hellinger,NA,NA
23,0,euclidean,NA,NA
24,0,mean,meas,NA
24,0,mean,ref,0.1901714447592068
24,0,sd,meas,NA
24,0,sd,ref,0.11844120945755268
