mos_into_deployment,pdf_resolution,statistic,plottype,value
0,28,mean,meas,0.29657413914119996
0,28,mean,ref,0.29657413914119996
0,28,sd,meas,0.21134116202429531
0,28,sd,ref,0.21134116202429531
0,28,kurtosis,meas,8.257949715073401
0,28,kurtosis,ref,8.257949715073401
0,28,skewness,meas,2.172865761920857
0,28,skewness,ref,2.172865761920857
0,28,KL,NA,0
0,28,hellinger,NA,0
0,28,euclidean,NA,0
1,26,mean,meas,0.27147628461204054
1,26,mean,ref,0.27147628461204054
1,26,sd,meas,0.17299696670685458
1,26,sd,ref,0.17299696670685458
1,26,kurtosis,meas,10.001613737427256
1,26,kurtosis,ref,10.001613737427256
1,26,skewness,meas,2.34975567485591
1,26,skewness,ref,2.34975567485591
1,26,KL,NA,0
1,26,hellinger,NA,0
1,26,euclidean,NA,0
2,28,mean,meas,0.19790861720637973
2,28,mean,ref,0.19790861720637973
2,28,sd,meas,0.09211325256724719
2,28,sd,ref,0.09211325256724719
2,28,kurtosis,meas,53.389293016460805
2,28,kurtosis,ref,53.389293016460805
2,28,skewness,meas,4.956143839180307
2,28,skewness,ref,4.956143839180307
2,28,KL,NA,0
2,28,hellinger,NA,0
2,28,euclidean,NA,0
3,16,mean,meas,0.23130992644717868
3,16,mean,ref,0.23130992644717868
3,16,sd,meas,0.1322828133206262
3,16,sd,ref,0.1322828133206262
3,16,kurtosis,meas,7.99938677863141
3,16,kurtosis,ref,7.99938677863141
3,16,skewness,meas,2.120314753390404
3,16,skewness,ref,2.120314753390404
3,16,KL,NA,0
3,16,hellinger,NA,0
3,16,euclidean,NA,0
4,42,mean,meas,0.2141537127777776
4,42,mean,ref,0.2141537127777776
4,42,sd,meas,0.13857423984532985
4,42,sd,ref,0.13857423984532985
4,42,kurtosis,meas,93.84867900276127
4,42,kurtosis,ref,93.84867900276127
4,42,skewness,meas,7.354099599154338
4,42,skewness,ref,7.354099599154338
4,42,KL,NA,0
4,42,hellinger,NA,0
4,42,euclidean,NA,0
5,18,mean,meas,0.22813376042768616
5,18,mean,ref,0.22813376042768616
5,18,sd,meas,0.09687521354413015
5,18,sd,ref,0.09687521354413015
5,18,kurtosis,meas,9.19537121095301
5,18,kurtosis,ref,9.19537121095301
5,18,skewness,meas,1.6657697393518807
5,18,skewness,ref,1.6657697393518807
5,18,KL,NA,0
5,18,hellinger,NA,0
5,18,euclidean,NA,0
6,17,mean,meas,0.2863450575640159
6,17,mean,ref,0.2863450575640159
6,17,sd,meas,0.15097447631668387
6,17,sd,ref,0.15097447631668387
6,17,kurtosis,meas,6.434571304374943
6,17,kurtosis,ref,6.434571304374943
6,17,skewness,meas,1.9106152705127049
6,17,skewness,ref,1.9106152705127049
6,17,KL,NA,0
6,17,hellinger,NA,0
6,17,euclidean,NA,0
7,12,mean,meas,0.256923798339158
7,12,mean,ref,0.256923798339158
7,12,sd,meas,0.08267525349293114
7,12,sd,ref,0.08267525349293114
7,12,kurtosis,meas,3.3627232648743037
7,12,kurtosis,ref,3.3627232648743037
7,12,skewness,meas,0.45802267486176645
7,12,skewness,ref,0.45802267486176645
7,12,KL,NA,0
7,12,hellinger,NA,0
7,12,euclidean,NA,0
8,17,mean,meas,0.2682408543342874
8,17,mean,ref,0.2682408543342874
8,17,sd,meas,0.0897467054729597
8,17,sd,ref,0.0897467054729597
8,17,kurtosis,meas,7.495871216632818
8,17,kurtosis,ref,7.495871216632818
8,17,skewness,meas,1.366968051105908
8,17,skewness,ref,1.366968051105908
8,17,KL,NA,0
8,17,hellinger,NA,0
8,17,euclidean,NA,0
9,19,mean,meas,0.28452766017637143
9,19,mean,ref,0.28452766017637143
9,19,sd,meas,0.1229951144603003
9,19,sd,ref,0.1229951144603003
9,19,kurtosis,meas,8.416026094375283
9,19,kurtosis,ref,8.416026094375283
9,19,skewness,meas,2.02161124137498
9,19,skewness,ref,2.02161124137498
9,19,KL,NA,0
9,19,hellinger,NA,0
9,19,euclidean,NA,0
10,28,mean,meas,0.29505565716903975
10,28,mean,ref,0.29505565716903975
10,28,sd,meas,0.17190018219128841
10,28,sd,ref,0.17190018219128841
10,28,kurtosis,meas,11.581130676633482
10,28,kurtosis,ref,11.581130676633482
10,28,skewness,meas,2.5083181615668084
10,28,skewness,ref,2.5083181615668084
10,28,KL,NA,0
10,28,hellinger,NA,0
10,28,euclidean,NA,0
11,27,mean,meas,0.28848979796642876
11,27,mean,ref,0.28848979796642876
11,27,sd,meas,0.21208681731280954
11,27,sd,ref,0.21208681731280954
11,27,kurtosis,meas,10.615746574371228
11,27,kurtosis,ref,10.615746574371228
11,27,skewness,meas,2.6587391119454384
11,27,skewness,ref,2.6587391119454384
11,27,KL,NA,0
11,27,hellinger,NA,0
11,27,euclidean,NA,0
12,28,mean,meas,0.29001208999406125
12,28,mean,ref,0.29657413914119996
12,28,sd,meas,0.18099685826356374
12,28,sd,ref,0.21134116202429531
12,28,kurtosis,meas,9.454748799374501
12,28,kurtosis,ref,8.257949715073401
12,28,skewness,meas,2.256310305249808
12,28,skewness,ref,2.172865761920857
12,28,KL,NA,0.1583020916113591
12,28,hellinger,NA,0.1549890422701557
12,28,euclidean,NA,0.10108319740057654
13,44,mean,meas,0.2504733380635598
13,44,mean,ref,0.27147628461204054
13,44,sd,meas,0.15467151137210167
13,44,sd,ref,0.17299696670685458
13,44,kurtosis,meas,50.6234683505201
13,44,kurtosis,ref,10.001613737427256
13,44,skewness,meas,5.304479779873973
13,44,skewness,ref,2.34975567485591
13,44,KL,NA,0.36507022236011
13,44,hellinger,NA,0.17114860299128223
13,44,euclidean,NA,0.058944293995271874
14,28,mean,meas,0.2307885985781314
14,28,mean,ref,0.19790861720637973
14,28,sd,meas,0.12237947944982315
14,28,sd,ref,0.09211325256724719
14,28,kurtosis,meas,16.84497790947735
14,28,kurtosis,ref,53.389293016460805
14,28,skewness,meas,2.9426614361157446
14,28,skewness,ref,4.956143839180307
14,28,KL,NA,0.0860800162033095
14,28,hellinger,NA,0.16356189738378454
14,28,euclidean,NA,0.0988350046586445
15,16,mean,meas,0.20312376918935096
15,16,mean,ref,0.23130992644717868
15,16,sd,meas,0.09576817007950651
15,16,sd,ref,0.1322828133206262
15,16,kurtosis,meas,11.048401658186108
15,16,kurtosis,ref,7.99938677863141
15,16,skewness,meas,2.473443453280337
15,16,skewness,ref,2.120314753390404
15,16,KL,NA,0.1828855380912281
15,16,hellinger,NA,0.19421299892781013
15,16,euclidean,NA,0.23034827146768475
16,42,mean,meas,0.20208136763528217
16,42,mean,ref,0.2141537127777776
16,42,sd,meas,0.07924853993989996
16,42,sd,ref,0.13857423984532985
16,42,kurtosis,meas,32.986364184105604
16,42,kurtosis,ref,93.84867900276127
16,42,skewness,meas,3.636053474531961
16,42,skewness,ref,7.354099599154338
16,42,KL,NA,0.13206518287731883
16,42,hellinger,NA,0.1403638578178545
16,42,euclidean,NA,0.10843612881133674
17,18,mean,meas,0.2100194243921545
