mos_into_deployment,pdf_resolution,statistic,plottype,value
0,46,mean,meas,0.15135702740767093
0,46,mean,ref,0.15135702740767093
0,46,sd,meas,0.12529637710563873
0,46,sd,ref,0.12529637710563873
0,46,kurtosis,meas,177.81034745911145
0,46,kurtosis,ref,177.81034745911145
0,46,skewness,meas,11.381043868048673
0,46,skewness,ref,11.381043868048673
0,46,KL,NA,0
0,46,hellinger,NA,0
0,46,euclidean,NA,0
1,8,mean,meas,0.15339727828855362
1,8,mean,ref,0.15339727828855362
1,8,sd,meas,0.04776477236253276
1,8,sd,ref,0.04776477236253276
1,8,kurtosis,meas,8.20066949374772
1,8,kurtosis,ref,8.20066949374772
1,8,skewness,meas,1.9304669444681013
1,8,skewness,ref,1.9304669444681013
1,8,KL,NA,0
1,8,hellinger,NA,0
1,8,euclidean,NA,0
2,7,mean,meas,0.16289196746555573
2,7,mean,ref,0.16289196746555573
2,7,sd,meas,0.05138768291933476
2,7,sd,ref,0.05138768291933476
2,7,kurtosis,meas,4.296681042350608
2,7,kurtosis,ref,4.296681042350608
2,7,skewness,meas,1.0239578819277335
2,7,skewness,ref,1.0239578819277335
2,7,KL,NA,0
2,7,hellinger,NA,0
2,7,euclidean,NA,0
3,13,mean,meas,0.24930252026695912
3,13,mean,ref,0.24930252026695912
3,13,sd,meas,0.131634167461843
3,13,sd,ref,0.131634167461843
3,13,kurtosis,meas,6.3871539121988725
3,13,kurtosis,ref,6.3871539121988725
3,13,skewness,meas,2.0222761471561737
3,13,skewness,ref,2.0222761471561737
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,6,mean,meas,0.23265092518470745
4,6,mean,ref,0.23265092518470745
4,6,sd,meas,0.05041846588460538
4,6,sd,ref,0.05041846588460538
4,6,kurtosis,meas,2.647494932569664
4,6,kurtosis,ref,2.647494932569664
4,6,skewness,meas,0.40342914627650056
4,6,skewness,ref,0.40342914627650056
4,6,KL,NA,0
4,6,hellinger,NA,0
4,6,euclidean,NA,0
5,6,mean,meas,0.2309202484879192
5,6,mean,ref,0.2309202484879192
5,6,sd,meas,0.05451965893327085
5,6,sd,ref,0.05451965893327085
5,6,kurtosis,meas,3.8682886804834227
