mos_into_deployment,pdf_resolution,statistic,plottype,value
0,46,mean,meas,0.1495730131679784
0,46,mean,ref,0.1495730131679784
0,46,sd,meas,0.12244116275976717
0,46,sd,ref,0.12244116275976717
0,46,kurtosis,meas,185.64878689495742
0,46,kurtosis,ref,185.64878689495742
0,46,skewness,meas,11.61107883262974
0,46,skewness,ref,11.61107883262974
0,46,KL,NA,0
0,46,hellinger,NA,0
0,46,euclidean,NA,0
1,8,mean,meas,0.15184516584886748
1,8,mean,ref,0.15184516584886748
1,8,sd,meas,0.047476888198404676
1,8,sd,ref,0.047476888198404676
1,8,kurtosis,meas,7.962827043554388
1,8,kurtosis,ref,7.962827043554388
1,8,skewness,meas,1.9131984676829654
1,8,skewness,ref,1.9131984676829654
1,8,KL,NA,0
1,8,hellinger,NA,0
1,8,euclidean,NA,0
2,8,mean,meas,0.16206902918696994
2,8,mean,ref,0.16206902918696994
2,8,sd,meas,0.05169140933313676
2,8,sd,ref,0.05169140933313676
2,8,kurtosis,meas,4.091985676247519
2,8,kurtosis,ref,4.091985676247519
2,8,skewness,meas,0.9122685808498914
2,8,skewness,ref,0.9122685808498914
2,8,KL,NA,0
2,8,hellinger,NA,0
2,8,euclidean,NA,0
3,13,mean,meas,0.26028549219601504
3,13,mean,ref,0.26028549219601504
3,13,sd,meas,0.13749882054327944
3,13,sd,ref,0.13749882054327944
3,13,kurtosis,meas,5.34891907260571
3,13,kurtosis,ref,5.34891907260571
3,13,skewness,meas,1.8110770922935078
3,13,skewness,ref,1.8110770922935078
3,13,KL,NA,0
3,13,hellinger,NA,0
3,13,euclidean,NA,0
4,8,mean,meas,0.23073861114659558
4,8,mean,ref,0.23073861114659558
4,8,sd,meas,0.05501549470429038
4,8,sd,ref,0.05501549470429038
4,8,kurtosis,meas,3.562044334427067
4,8,kurtosis,ref,3.562044334427067
4,8,skewness,meas,0.5196234654760427
4,8,skewness,ref,0.5196234654760427
4,8,KL,NA,0
4,8,hellinger,NA,0
4,8,euclidean,NA,0
5,20,mean,meas,0.2335424477481405
5,20,mean,ref,0.2335424477481405
5,20,sd,meas,0.07005058359741012
5,20,sd,ref,0.07005058359741012
5,20,kurtosis,meas,56.48904608667992
5,20,kurtosis,ref,56.48904608667992
5,20,skewness,meas,5.070262598403667
5,20,skewness,ref,5.070262598403667
5,20,KL,NA,0
5,20,hellinger,NA,0
5,20,euclidean,NA,0
6,10,mean,meas,0.22725016553415556
6,10,mean,ref,0.22725016553415556
6,10,sd,meas,0.06911608546261214
6,10,sd,ref,0.06911608546261214
6,10,kurtosis,meas,5.668442149243732
6,10,kurtosis,ref,5.668442149243732
6,10,skewness,meas,1.4335155830402468
6,10,skewness,ref,1.4335155830402468
6,10,KL,NA,0
6,10,hellinger,NA,0
6,10,euclidean,NA,0
7,14,mean,meas,0.21634675417186075
7,14,mean,ref,0.21634675417186075
7,14,sd,meas,0.09308098274482268
7,14,sd,ref,0.09308098274482268
7,14,kurtosis,meas,10.186368140025728
7,14,kurtosis,ref,10.186368140025728
7,14,skewness,meas,2.314520701005864
7,14,skewness,ref,2.314520701005864
7,14,KL,NA,0
7,14,hellinger,NA,0
7,14,euclidean,NA,0
8,40,mean,meas,0.18967494102278804
8,40,mean,ref,0.18967494102278804
8,40,sd,meas,0.11445979042757631
8,40,sd,ref,0.11445979042757631
8,40,kurtosis,meas,96.19149038800239
8,40,kurtosis,ref,96.19149038800239
8,40,skewness,meas,6.998050688167383
8,40,skewness,ref,6.998050688167383
8,40,KL,NA,0
8,40,hellinger,NA,0
8,40,euclidean,NA,0
9,17,mean,meas,0.20833194731070093
9,17,mean,ref,0.20833194731070093
9,17,sd,meas,0.12361653733178112
9,17,sd,ref,0.12361653733178112
9,17,kurtosis,meas,9.323003243796322
9,17,kurtosis,ref,9.323003243796322
9,17,skewness,meas,2.2052805076525113
9,17,skewness,ref,2.2052805076525113
9,17,KL,NA,0
9,17,hellinger,NA,0
9,17,euclidean,NA,0
10,14,mean,meas,0.1549951116845016
10,14,mean,ref,0.1549951116845016
10,14,sd,meas,0.06853152767708885
10,14,sd,ref,0.06853152767708885
10,14,kurtosis,meas,12.85412548524036
10,14,kurtosis,ref,12.85412548524036
10,14,skewness,meas,2.3487607573243956
10,14,skewness,ref,2.3487607573243956
10,14,KL,NA,0
10,14,hellinger,NA,0
10,14,euclidean,NA,0
11,164,mean,meas,0.16107446991609647
11,164,mean,ref,0.16107446991609647
11,164,sd,meas,0.32587265753855665
11,164,sd,ref,0.32587265753855665
11,164,kurtosis,meas,574.7390387645398
11,164,kurtosis,ref,574.7390387645398
11,164,skewness,meas,23.30777221793804
11,164,skewness,ref,23.30777221793804
11,164,KL,NA,0
11,164,hellinger,NA,0
11,164,euclidean,NA,0
12,46,mean,meas,0.13902317906288933
12,46,mean,ref,0.1495730131679784
12,46,sd,meas,0.05748243862551969
12,46,sd,ref,0.12244116275976717
12,46,kurtosis,meas,11.594452570059527
12,46,kurtosis,ref,185.64878689495742
12,46,skewness,meas,2.4156748915013795
12,46,skewness,ref,11.61107883262974
12,46,KL,NA,0.04577378629422551
12,46,hellinger,NA,0.0729361234295333
12,46,euclidean,NA,0.06685031029465906
13,14,mean,meas,0.14311527382484437
13,14,mean,ref,0.15184516584886748
13,14,sd,meas,0.05394954961272612
